"lsoa11cd","date","lsoa11nm","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,741,734,1475,0,10,20.52,71.9
"E01026792",2011,"Norwich 005B","Total",1445,695,750,1445,0,12,35.61,40.6
"E01026793",2011,"Norwich 005C","Total",1817,861,956,1817,0,14,29.22,62.2
"E01026794",2011,"Norwich 005D","Total",2065,1029,1036,2021,44,9,75.62,27.3
"E01026796",2011,"Norwich 005F","Total",1643,789,854,1636,7,11,37.28,44.1
"E01026797",2011,"Norwich 001A","Total",2402,1243,1159,2400,2,18,363.68,6.6
"E01026798",2011,"Norwich 001B","Total",1533,781,752,1533,0,11,22.57,67.9
"E01026799",2011,"Norwich 001C","Total",1459,728,731,1459,0,8,24.09,60.6
"E01026800",2011,"Norwich 001D","Total",1991,1036,955,1991,0,19,35.78,55.6
"E01026801",2011,"Norwich 001E","Total",1606,778,828,1560,46,14,36.43,44.1
"E01026802",2011,"Norwich 001F","Total",1605,783,822,1536,69,11,84.64,19
"E01026803",2011,"Norwich 004A","Total",1438,653,785,1388,50,4,23.26,61.8
"E01026804",2011,"Norwich 004B","Total",1429,679,750,1429,0,7,58.52,24.4
"E01026805",2011,"Norwich 004C","Total",1421,681,740,1421,0,7,31.88,44.6
"E01026806",2011,"Norwich 004D","Total",1503,942,561,1127,376,9,45.95,32.7
"E01026807",2011,"Norwich 004E","Total",1252,614,638,1252,0,8,22.39,55.9
"E01026808",2011,"Norwich 004F","Total",1320,653,667,1320,0,1,21.72,60.8
"E01026809",2011,"Norwich 004G","Total",1492,754,738,1483,9,7,26.24,56.9
"E01026810",2011,"Norwich 012A","Total",1389,640,749,1374,15,35,123.43,11.3
"E01026811",2011,"Norwich 012B","Total",1544,747,797,1525,19,50,97.92,15.8
"E01026812",2011,"Norwich 012C","Total",1425,698,727,1425,0,36,94.02,15.2
"E01026813",2011,"Norwich 012D","Total",1426,694,732,1426,0,31,91.75,15.5
"E01026814",2011,"Norwich 012E","Total",1522,738,784,1502,20,21,42.49,35.8
"E01026815",2011,"Norwich 012F","Total",1475,681,794,1450,25,56,45.75,32.2
"E01026816",2011,"Norwich 013A","Total",1741,837,904,1699,42,10,28.22,61.7
"E01026817",2011,"Norwich 013B","Total",1415,670,745,1415,0,12,61.81,22.9
"E01026818",2011,"Norwich 013C","Total",1462,708,754,1462,0,10,65.13,22.4
"E01026819",2011,"Norwich 013D","Total",1439,690,749,1439,0,10,20.61,69.8
"E01026820",2011,"Norwich 013E","Total",1727,822,905,1727,0,8,45.39,38
"E01026821",2011,"Norwich 013F","Total",1542,727,815,1542,0,8,98.09,15.7
"E01026822",2011,"Norwich 007A","Total",2031,1037,994,1958,73,18,75.71,26.8
"E01026823",2011,"Norwich 007B","Total",1906,1015,891,1800,106,26,46.52,41
"E01026824",2011,"Norwich 007C","Total",1471,724,747,1471,0,8,23.41,62.8
"E01026825",2011,"Norwich 007D","Total",1276,659,617,1276,0,9,24.19,52.7
"E01026826",2011,"Norwich 007E","Total",1456,724,732,1406,50,2,34.14,42.6
"E01026827",2011,"Norwich 007F","Total",1501,722,779,1501,0,2,32.64,46
"E01026828",2011,"Norwich 002A","Total",1744,842,902,1744,0,10,120.07,14.5
"E01026829",2011,"Norwich 002B","Total",2093,1031,1062,2063,30,7,37.79,55.4
"E01026830",2011,"Norwich 002C","Total",1276,649,627,1252,24,7,29.22,43.7
"E01026831",2011,"Norwich 002D","Total",1242,647,595,1242,0,9,15.76,78.8
"E01026832",2011,"Norwich 002E","Total",1415,689,726,1415,0,5,22.58,62.7
"E01026833",2011,"Norwich 002F","Total",1382,723,659,1382,0,3,23.91,57.8
