"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,115,69,32,74,21,45,57,177,89,335,252,73,90,28,12,6,34.1,32
"E01026792",2011,"Norwich 005B","Total",1445,122,47,24,75,10,26,36,102,115,281,279,95,118,75,22,18,39.2,38
"E01026793",2011,"Norwich 005C","Total",1817,196,111,61,145,21,54,60,171,140,373,231,64,110,56,17,7,31.4,28
"E01026794",2011,"Norwich 005D","Total",2065,160,64,51,98,13,46,40,151,214,473,400,120,121,72,27,15,37,35
"E01026796",2011,"Norwich 005F","Total",1643,102,41,27,97,26,28,85,323,105,257,243,60,107,88,39,15,35.8,29
"E01026797",2011,"Norwich 001A","Total",2402,223,97,42,88,16,42,38,201,329,671,376,87,102,65,18,7,33.6,31
"E01026798",2011,"Norwich 001B","Total",1533,127,61,37,102,27,45,46,117,124,343,250,75,120,53,6,0,34.7,33
"E01026799",2011,"Norwich 001C","Total",1459,126,48,37,90,12,31,29,98,145,351,272,66,92,44,14,4,35.4,33
"E01026800",2011,"Norwich 001D","Total",1991,195,68,41,120,22,51,50,210,231,408,327,78,109,55,17,9,33.3,30
"E01026801",2011,"Norwich 001E","Total",1606,78,33,24,64,21,35,49,74,86,280,361,120,184,128,51,18,45.1,46
"E01026802",2011,"Norwich 001F","Total",1605,115,47,20,56,9,23,79,132,151,344,296,82,140,86,18,7,38.5,36
"E01026803",2011,"Norwich 004A","Total",1438,108,45,26,68,18,30,33,84,92,244,225,69,153,189,35,19,43.4,42
"E01026804",2011,"Norwich 004B","Total",1429,74,45,31,88,15,32,36,82,62,240,274,87,171,157,27,8,43.8,45
"E01026805",2011,"Norwich 004C","Total",1421,97,50,33,83,19,40,41,81,78,234,249,59,125,199,23,10,42,42
"E01026806",2011,"Norwich 004D","Total",1503,49,22,16,53,12,25,46,105,129,347,306,102,186,84,11,10,43,42
"E01026807",2011,"Norwich 004E","Total",1252,102,53,37,79,16,31,15,61,105,288,230,79,84,58,11,3,36.7,36
"E01026808",2011,"Norwich 004F","Total",1320,128,73,45,99,18,48,47,88,85,269,226,49,75,48,19,3,33.3,31
"E01026809",2011,"Norwich 004G","Total",1492,122,40,23,54,10,27,39,114,131,281,230,66,166,159,19,11,41.3,40
"E01026810",2011,"Norwich 012A","Total",1389,53,43,23,63,17,27,29,83,48,208,275,102,191,146,54,27,47.5,50
"E01026811",2011,"Norwich 012B","Total",1544,55,40,17,65,20,34,26,47,43,192,366,126,217,188,73,35,51,54
"E01026812",2011,"Norwich 012C","Total",1425,68,44,25,67,20,24,28,78,53,267,306,130,158,115,25,17,44.6,46
