"lsoa11cd","date","lsoa11nm","Rural Urban","Marital Status: All usual residents aged 16+; measures: Value","Marital Status: Single (never married or never registered a same-sex civil partnership); measures: Value","Marital Status: Married; measures: Value","Marital Status: In a registered same-sex civil partnership; measures: Value","Marital Status: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Marital Status: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Marital Status: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1164,507,398,4,35,161,59
"E01026792",2011,"Norwich 005B","Total",1167,366,549,1,32,140,79
"E01026793",2011,"Norwich 005C","Total",1283,552,496,3,36,129,67
"E01026794",2011,"Norwich 005D","Total",1679,615,744,4,47,184,85
"E01026796",2011,"Norwich 005F","Total",1350,687,400,0,28,133,102
"E01026797",2011,"Norwich 001A","Total",1936,839,755,5,55,215,67
"E01026798",2011,"Norwich 001B","Total",1179,460,446,2,48,165,58
"E01026799",2011,"Norwich 001C","Total",1146,449,477,6,25,131,58
"E01026800",2011,"Norwich 001D","Total",1545,732,448,7,65,215,78
"E01026801",2011,"Norwich 001E","Total",1386,411,725,4,19,113,114
"E01026802",2011,"Norwich 001F","Total",1358,587,483,4,45,173,66
"E01026803",2011,"Norwich 004A","Total",1173,388,450,0,26,157,152
"E01026804",2011,"Norwich 004B","Total",1176,324,627,4,26,93,102
"E01026805",2011,"Norwich 004C","Total",1139,357,503,4,42,112,121
"E01026806",2011,"Norwich 004D","Total",1351,509,568,2,40,151,81
"E01026807",2011,"Norwich 004E","Total",965,363,377,4,36,138,47
"E01026808",2011,"Norwich 004F","Total",957,428,312,8,38,123,48
"E01026809",2011,"Norwich 004G","Total",1243,492,446,0,29,167,109
"E01026810",2011,"Norwich 012A","Total",1190,307,641,2,16,101,123
"E01026811",2011,"Norwich 012B","Total",1347,277,791,4,24,88,163
"E01026812",2011,"Norwich 012C","Total",1201,294,711,0,22,100,74
"E01026813",2011,"Norwich 012D","Total",1239,243,780,4,14,87,111
"E01026814",2011,"Norwich 012E","Total",1255,503,495,2,20,102,133
"E01026815",2011,"Norwich 012F","Total",1235,435,598,1,19,103,79
"E01026816",2011,"Norwich 013A","Total",1506,731,400,5,43,211,116
"E01026817",2011,"Norwich 013B","Total",1177,372,469,2,35,151,148
"E01026818",2011,"Norwich 013C","Total",1147,415,456,3,46,143,84
"E01026819",2011,"Norwich 013D","Total",1098,496,348,5,37,164,48
"E01026820",2011,"Norwich 013E","Total",1340,455,533,2,34,169,147
"E01026821",2011,"Norwich 013F","Total",1254,405,534,4,24,137,150
"E01026822",2011,"Norwich 007A","Total",1890,1052,417,7,54,214,146
"E01026823",2011,"Norwich 007B","Total",1797,1089,381,8,43,205,71
"E01026824",2011,"Norwich 007C","Total",1306,649,323,2,42,204,86
"E01026825",2011,"Norwich 007D","Total",1139,653,256,0,35,139,56
"E01026826",2011,"Norwich 007E","Total",1279,688,209,4,38,205,135
"E01026827",2011,"Norwich 007F","Total",1303,568,297,5,35,249,149
"E01026828",2011,"Norwich 002A","Total",1271,501,502,0,42,161,65
"E01026829",2011,"Norwich 002B","Total",1617,806,506,7,46,176,76
"E01026830",2011,"Norwich 002C","Total",1096,477,348,4,33,148,86
"E01026831",2011,"Norwich 002D","Total",1075,636,252,3,37,119,28
"E01026832",2011,"Norwich 002E","Total",1012,394,412,2,30,115,59
"E01026833",2011,"Norwich 002F","Total",1079,484,319,2,46,160,68
"E01026834",2011,"Norwich 002G","Total",1153,415,448,0,30,168,92
"E01026835",2011,"Norwich 009A","Total",1312,791,306,4,25,112,74
"E01026836",2011,"Norwich 009B","Total",1302,688,452,2,27,104,29
"E01026837",2011,"Norwich 009C","Total",1283,665,411,4,26,114,63
"E01026838",2011,"Norwich 009D","Total",1278,622,501,2,17,91,45
"E01026839",2011,"Norwich 009E","Total",1414,984,290,4,10,103,23
"E01026840",2011,"Norwich 009F","Total",1426,893,339,5,39,121,29
"E01026841",2011,"Norwich 003A","Total",1258,703,366,4,33,113,39
"E01026842",2011,"Norwich 003B","Total",1426,720,479,11,33,144,39
"E01026843",2011,"Norwich 003C","Total",1576,654,534,5,44,213,126
"E01026844",2011,"Norwich 003D","Total",1370,642,470,4,49,145,60
"E01026845",2011,"Norwich 003E","Total",1339,784,367,4,32,125,27
"E01026846",2011,"Norwich 003F","Total",1395,811,345,4,47,152,36
"E01026848",2011,"Norwich 015A","Total",1561,734,376,8,43,266,134
"E01026849",2011,"Norwich 015B","Total",1557,759,539,9,38,152,60
"E01026850",2011,"Norwich 015C","Total",1558,788,470,12,55,172,61
"E01026852",2011,"Norwich 011A","Total",1106,313,556,4,20,94,119
"E01026853",2011,"Norwich 011B","Total",1542,661,436,9,53,254,129
"E01026855",2011,"Norwich 011D","Total",1395,741,419,5,33,125,72
"E01026856",2011,"Norwich 011E","Total",1630,1103,313,4,32,142,36
"E01026857",2011,"Norwich 011F","Total",1336,582,464,6,18,116,150
"E01026858",2011,"Norwich 010A","Total",1281,583,387,1,23,142,145
"E01026859",2011,"Norwich 010B","Total",1236,554,486,2,26,104,64
"E01026860",2011,"Norwich 010C","Total",4178,3579,410,0,20,84,85
"E01026861",2011,"Norwich 010D","Total",1253,651,417,1,26,91,67
"E01026862",2011,"Norwich 010E","Total",1074,461,428,0,28,72,85
"E01026863",2011,"Norwich 006A","Total",1570,788,556,3,34,118,71
"E01026864",2011,"Norwich 006B","Total",1226,395,609,0,30,127,65
"E01026865",2011,"Norwich 006C","Total",1492,730,484,4,34,169,71
"E01026866",2011,"Norwich 006D","Total",1365,740,427,0,32,119,47
"E01026867",2011,"Norwich 006E","Total",1154,540,403,2,24,130,55
"E01026868",2011,"Norwich 006F","Total",1182,596,377,6,28,131,44
"E01026869",2011,"Norwich 006G","Total",1075,428,399,4,38,149,57
