"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,262,71,191,352,16,167,68,65,34,73,34,32,7,96,82,14,47,10,19,2,16
"E01026792",2011,"Norwich 005B","Total",627,180,80,100,412,52,209,86,87,36,77,41,35,1,74,47,27,35,10,8,1,16
"E01026793",2011,"Norwich 005C","Total",625,102,46,56,446,39,192,56,107,29,92,25,61,6,123,85,38,77,21,21,4,31
"E01026794",2011,"Norwich 005D","Total",844,210,56,154,571,44,298,120,126,52,129,72,51,6,100,60,40,63,16,5,1,41
"E01026796",2011,"Norwich 005F","Total",650,196,88,108,334,48,142,49,66,27,50,15,34,1,94,61,33,120,12,67,3,38
"E01026797",2011,"Norwich 001A","Total",1070,341,73,268,639,42,299,119,142,38,194,109,80,5,104,72,32,90,19,3,0,68
"E01026798",2011,"Norwich 001B","Total",670,250,68,182,384,32,178,65,88,25,74,37,35,2,100,74,26,36,15,1,2,18
"E01026799",2011,"Norwich 001C","Total",626,181,42,139,401,26,200,72,85,43,88,45,40,3,87,61,26,44,15,0,3,26
"E01026800",2011,"Norwich 001D","Total",901,364,93,271,451,31,167,61,84,22,127,72,53,2,126,104,22,86,31,3,1,51
"E01026801",2011,"Norwich 001E","Total",684,180,94,86,474,90,264,110,97,57,71,39,27,5,49,30,19,30,8,0,1,21
"E01026802",2011,"Norwich 001F","Total",785,329,88,241,414,58,177,70,84,23,89,50,34,5,90,57,33,42,6,2,1,33
"E01026803",2011,"Norwich 004A","Total",638,212,113,99,395,84,129,42,55,32,77,35,37,5,105,60,45,31,9,2,2,18
"E01026804",2011,"Norwich 004B","Total",633,187,111,76,414,95,197,88,79,30,52,27,22,3,70,43,27,32,11,0,3,18
"E01026805",2011,"Norwich 004C","Total",639,207,120,87,412,86,162,59,67,36,62,24,36,2,102,68,34,20,9,2,0,9
"E01026806",2011,"Norwich 004D","Total",508,131,67,64,350,76,178,87,53,38,54,26,25,3,42,21,21,27,8,0,1,18
"E01026807",2011,"Norwich 004E","Total",523,152,69,83,320,22,152,61,67,24,91,50,34,7,55,42,13,51,13,1,0,37
"E01026808",2011,"Norwich 004F","Total",516,154,68,86,325,21,126,40,62,24,73,29,38,6,105,86,19,37,18,1,2,16
"E01026809",2011,"Norwich 004G","Total",762,335,120,215,398,79,140,58,51,31,86,35,48,3,93,60,33,29,8,0,3,18
"E01026810",2011,"Norwich 012A","Total",635,205,127,78,388,98,207,98,80,29,39,19,15,5,44,24,20,42,11,11,2,18
"E01026811",2011,"Norwich 012B","Total",723,243,170,73,451,130,253,106,106,41,38,20,17,1,30,10,20,29,9,2,0,18
"E01026812",2011,"Norwich 012C","Total",639,178,81,97,438,86,256,107,115,34,53,36,16,1,43,17,26,23,8,1,1,13
"E01026813",2011,"Norwich 012D","Total",635,172,125,47,439,142,234,98,97,39,37,15,15,7,26,11,15,24,8,3,1,12
"E01026814",2011,"Norwich 012E","Total",653,203,116,87,372,65,168,56,74,38,60,26,31,3,79,39,40,78,6,34,5,33
"E01026815",2011,"Norwich 012F","Total",648,206,92,114,385,64,223,83,117,23,60,41,16,3,38,31,7,57,4,21,5,27
"E01026816",2011,"Norwich 013A","Total",934,446,134,312,404,33,150,79,58,13,142,108,32,2,79,58,21,84,12,3,3,66
