"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: count of Household; All households; measures: Value","Household Composition: No adults in employment in household; measures: Value","Household Composition: No adults in employment in household: With dependent children; measures: Value","Household Composition: No adults in employment in household: No dependent children; measures: Value","Household Composition: Dependent children in household: All ages; measures: Value","Household Composition: Dependent children in household: Age 0 to 4; measures: Value","Household Composition: One person in household with a long-term health problem or disability; measures: Value","Household Composition: One person in household with a long-term health problem or disability: With dependent children; measures: Value","Household Composition: One person in household with a long-term health problem or disability: No dependent children; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,284,68,216,189,92,207,36,171
"E01026792",2011,"Norwich 005B","Total",627,241,39,202,179,95,173,30,143
"E01026793",2011,"Norwich 005C","Total",625,241,85,156,274,141,188,59,129
"E01026794",2011,"Norwich 005D","Total",844,235,52,183,253,128,196,38,158
"E01026796",2011,"Norwich 005F","Total",650,281,55,226,173,75,209,55,154
"E01026797",2011,"Norwich 001A","Total",1070,243,46,197,313,178,209,43,166
"E01026798",2011,"Norwich 001B","Total",670,237,44,193,212,92,177,35,142
"E01026799",2011,"Norwich 001C","Total",626,190,47,143,201,102,167,35,132
"E01026800",2011,"Norwich 001D","Total",901,358,83,275,272,155,259,51,208
"E01026801",2011,"Norwich 001E","Total",684,227,11,216,162,61,179,26,153
"E01026802",2011,"Norwich 001F","Total",785,261,24,237,181,89,226,30,196
"E01026803",2011,"Norwich 004A","Total",638,310,45,265,161,80,212,29,183
"E01026804",2011,"Norwich 004B","Total",633,275,27,248,155,63,172,29,143
"E01026805",2011,"Norwich 004C","Total",639,286,41,245,180,77,220,39,181
"E01026806",2011,"Norwich 004D","Total",508,181,8,173,107,38,140,9,131
"E01026807",2011,"Norwich 004E","Total",523,144,30,114,156,71,113,25,88
"E01026808",2011,"Norwich 004F","Total",516,221,78,143,204,91,154,46,108
"E01026809",2011,"Norwich 004G","Total",762,373,52,321,167,95,266,32,234
"E01026810",2011,"Norwich 012A","Total",635,281,15,266,130,46,190,20,170
"E01026811",2011,"Norwich 012B","Total",723,339,3,336,142,46,195,19,176
"E01026812",2011,"Norwich 012C","Total",639,206,8,198,156,55,138,16,122
"E01026813",2011,"Norwich 012D","Total",635,286,6,280,131,41,151,11,140
"E01026814",2011,"Norwich 012E","Total",653,273,27,246,150,61,201,29,172
"E01026815",2011,"Norwich 012F","Total",648,212,8,204,168,50,125,16,109
"E01026816",2011,"Norwich 013A","Total",934,277,31,246,160,77,223,28,195
"E01026817",2011,"Norwich 013B","Total",706,332,36,296,152,73,238,28,210
"E01026818",2011,"Norwich 013C","Total",626,235,53,182,205,82,194,46,148
"E01026819",2011,"Norwich 013D","Total",625,235,55,180,208,81,194,46,148
"E01026820",2011,"Norwich 013E","Total",755,354,58,296,227,104,274,61,213
"E01026821",2011,"Norwich 013F","Total",712,316,38,278,182,79,250,39,211
"E01026822",2011,"Norwich 007A","Total",1228,549,36,513,116,72,357,21,336
"E01026823",2011,"Norwich 007B","Total",1099,329,19,310,92,44,279,14,265
"E01026824",2011,"Norwich 007C","Total",868,406,33,373,117,74,299,26,273
"E01026825",2011,"Norwich 007D","Total",718,237,23,214,107,53,212,22,190
"E01026826",2011,"Norwich 007E","Total",864,397,39,358,122,63,313,25,288
"E01026827",2011,"Norwich 007F","Total",931,526,61,465,146,81,366,27,339
"E01026828",2011,"Norwich 002A","Total",664,235,66,169,264,137,208,57,151
"E01026829",2011,"Norwich 002B","Total",857,280,91,189,274,154,211,49,162
"E01026830",2011,"Norwich 002C","Total",682,308,35,273,133,71,196,20,176
"E01026831",2011,"Norwich 002D","Total",632,121,9,112,110,54,100,17,83
"E01026832",2011,"Norwich 002E","Total",498,190,62,128,212,96,141,47,94
"E01026833",2011,"Norwich 002F","Total",696,331,62,269,197,103,223,36,187
"E01026834",2011,"Norwich 002G","Total",644,266,52,214,216,94,213,42,171
"E01026835",2011,"Norwich 009A","Total",643,139,19,120,129,57,98,6,92
"E01026836",2011,"Norwich 009B","Total",646,135,6,129,171,62,107,19,88
"E01026837",2011,"Norwich 009C","Total",735,197,11,186,127,58,138,11,127
"E01026838",2011,"Norwich 009D","Total",645,163,11,152,175,69,100,12,88
"E01026839",2011,"Norwich 009E","Total",668,129,12,117,125,58,91,14,77
"E01026840",2011,"Norwich 009F","Total",759,144,19,125,143,60,107,24,83
"E01026841",2011,"Norwich 003A","Total",726,140,20,120,149,86,131,17,114
"E01026842",2011,"Norwich 003B","Total",818,163,18,145,152,91,148,18,130
"E01026843",2011,"Norwich 003C","Total",902,300,48,252,221,110,260,35,225
"E01026844",2011,"Norwich 003D","Total",823,279,61,218,220,112,216,44,172
"E01026845",2011,"Norwich 003E","Total",786,121,25,96,169,94,121,20,101
"E01026846",2011,"Norwich 003F","Total",811,189,30,159,161,91,158,17,141
"E01026848",2011,"Norwich 015A","Total",1015,485,97,388,233,107,348,41,307
"E01026849",2011,"Norwich 015B","Total",913,202,8,194,134,69,163,13,150
"E01026850",2011,"Norwich 015C","Total",952,238,33,205,184,110,171,20,151
"E01026852",2011,"Norwich 011A","Total",598,184,2,182,128,49,139,15,124
"E01026853",2011,"Norwich 011B","Total",1011,454,31,423,146,84,356,22,334
"E01026855",2011,"Norwich 011D","Total",773,227,9,218,117,55,156,12,144
"E01026856",2011,"Norwich 011E","Total",847,195,18,177,134,51,150,15,135
"E01026857",2011,"Norwich 011F","Total",751,326,15,311,125,31,198,12,186
"E01026858",2011,"Norwich 010A","Total",745,409,47,362,155,66,262,27,235
"E01026859",2011,"Norwich 010B","Total",640,251,63,188,244,115,162,48,114
"E01026860",2011,"Norwich 010C","Total",470,226,18,208,85,34,120,17,103
"E01026861",2011,"Norwich 010D","Total",549,235,58,177,179,64,144,36,108
"E01026862",2011,"Norwich 010E","Total",497,195,32,163,155,47,155,34,121
"E01026863",2011,"Norwich 006A","Total",771,246,33,213,167,86,162,27,135
"E01026864",2011,"Norwich 006B","Total",657,208,38,170,203,97,157,29,128
