"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All lone parent housholds with dependent children; measures: Value","Family Type: Lone parent in part-time employment: Total; measures: Value","Family Type: Lone parent in full-time employment: Total; measures: Value","Family Type: Lone parent not in employment: Total; measures: Value","Family Type: Male lone parent: Total; measures: Value","Family Type: Male lone parent: In part-time employment; measures: Value","Family Type: Male lone parent: In full-time employment; measures: Value","Family Type: Male lone parent: Not in employment; measures: Value","Family Type: Female lone parent: Total; measures: Value","Family Type: Female lone parent: In part-time employment; measures: Value","Family Type: Female lone parent: In full-time employment; measures: Value","Family Type: Female lone parent: Not in employment; measures: Value"
"E01026791",2011,"Norwich 005A","Total",82,21,7,54,6,0,2,4,76,21,5,50
"E01026792",2011,"Norwich 005B","Total",47,10,7,30,2,0,1,1,45,10,6,29
"E01026793",2011,"Norwich 005C","Total",84,20,10,54,9,1,5,3,75,19,5,51
"E01026794",2011,"Norwich 005D","Total",60,28,7,25,5,3,1,1,55,25,6,24
"E01026796",2011,"Norwich 005F","Total",61,14,6,41,6,1,3,2,55,13,3,39
"E01026797",2011,"Norwich 001A","Total",72,21,20,31,10,2,5,3,62,19,15,28
"E01026798",2011,"Norwich 001B","Total",74,22,15,37,4,1,2,1,70,21,13,36
"E01026799",2011,"Norwich 001C","Total",60,13,12,35,9,2,4,3,51,11,8,32
"E01026800",2011,"Norwich 001D","Total",104,31,14,59,25,3,3,19,79,28,11,40
"E01026801",2011,"Norwich 001E","Total",30,14,10,6,6,1,4,1,24,13,6,5
"E01026802",2011,"Norwich 001F","Total",57,26,12,19,5,0,1,4,52,26,11,15
"E01026803",2011,"Norwich 004A","Total",59,16,7,36,2,1,1,0,57,15,6,36
"E01026804",2011,"Norwich 004B","Total",43,19,6,18,3,1,1,1,40,18,5,17
"E01026805",2011,"Norwich 004C","Total",67,26,12,29,6,0,2,4,61,26,10,25
"E01026806",2011,"Norwich 004D","Total",21,6,9,6,2,0,2,0,19,6,7,6
"E01026807",2011,"Norwich 004E","Total",41,11,17,13,4,0,4,0,37,11,13,13
"E01026808",2011,"Norwich 004F","Total",85,25,13,47,8,0,2,6,77,25,11,41
"E01026809",2011,"Norwich 004G","Total",59,16,6,37,6,1,2,3,53,15,4,34
"E01026810",2011,"Norwich 012A","Total",23,7,7,9,2,0,2,0,21,7,5,9
