"lsoa11cd","date","lsoa11nm","Rural Urban","Country of Birth: All usual residents; measures: Value","Country of Birth: United Kingdom; measures: Value","Country of Birth: England; measures: Value","Country of Birth: Northern Ireland; measures: Value","Country of Birth: Scotland; measures: Value","Country of Birth: Wales; measures: Value","Country of Birth: United Kingdom not otherwise specified; measures: Value","Country of Birth: Ireland; measures: Value","Country of Birth: Other EU; measures: Value","Country of Birth: Other EU: Member countries in March 2001; measures: Value","Country of Birth: Other EU: Accession countries April 2001 to March 2011; measures: Value","Country of Birth: Other countries; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,1280,1256,6,13,5,0,8,67,20,47,120
"E01026792",2011,"Norwich 005B","Total",1445,1289,1259,6,20,4,0,6,44,18,26,106
"E01026793",2011,"Norwich 005C","Total",1817,1611,1596,2,9,4,0,8,66,27,39,132
"E01026794",2011,"Norwich 005D","Total",2065,1824,1770,9,32,11,2,5,51,20,31,185
"E01026796",2011,"Norwich 005F","Total",1643,1426,1410,2,10,3,1,11,65,31,34,141
"E01026797",2011,"Norwich 001A","Total",2402,2026,1969,9,34,14,0,6,195,27,168,175
"E01026798",2011,"Norwich 001B","Total",1533,1369,1347,1,16,4,1,1,80,11,69,83
"E01026799",2011,"Norwich 001C","Total",1459,1313,1293,3,10,7,0,10,90,13,77,46
"E01026800",2011,"Norwich 001D","Total",1991,1706,1677,4,19,6,0,8,143,16,127,134
"E01026801",2011,"Norwich 001E","Total",1606,1479,1432,12,18,17,0,8,62,14,48,57
"E01026802",2011,"Norwich 001F","Total",1605,1440,1407,7,17,9,0,5,80,21,59,80
"E01026803",2011,"Norwich 004A","Total",1438,1366,1339,2,17,8,0,4,33,10,23,35
"E01026804",2011,"Norwich 004B","Total",1429,1353,1332,7,10,4,0,5,26,13,13,45
"E01026805",2011,"Norwich 004C","Total",1421,1362,1339,4,16,3,0,4,25,9,16,30
"E01026806",2011,"Norwich 004D","Total",1503,1404,1377,4,16,7,0,7,30,24,6,62
"E01026807",2011,"Norwich 004E","Total",1252,1149,1126,3,17,3,0,7,41,18,23,55
"E01026808",2011,"Norwich 004F","Total",1320,1215,1198,2,11,4,0,2,55,18,37,48
"E01026809",2011,"Norwich 004G","Total",1492,1428,1408,3,12,5,0,4,29,11,18,31
"E01026810",2011,"Norwich 012A","Total",1389,1247,1207,7,23,10,0,11,29,20,9,102
"E01026811",2011,"Norwich 012B","Total",1544,1395,1325,9,43,18,0,12,58,44,14,79
"E01026812",2011,"Norwich 012C","Total",1425,1246,1191,4,29,22,0,8,42,30,12,129
"E01026813",2011,"Norwich 012D","Total",1426,1270,1188,10,44,28,0,6,42,22,20,108
"E01026814",2011,"Norwich 012E","Total",1522,1367,1332,7,18,10,0,7,53,28,25,95
"E01026815",2011,"Norwich 012F","Total",1475,1270,1206,6,36,22,0,16,47,27,20,142
"E01026816",2011,"Norwich 013A","Total",1741,1503,1455,4,32,12,0,7,87,46,41,144
"E01026817",2011,"Norwich 013B","Total",1415,1293,1244,7,26,14,2,3,55,26,29,64
"E01026818",2011,"Norwich 013C","Total",1462,1337,1310,8,13,6,0,6,50,22,28,69
"E01026819",2011,"Norwich 013D","Total",1439,1320,1294,4,17,5,0,3,36,17,19,80
"E01026820",2011,"Norwich 013E","Total",1727,1555,1539,4,9,3,0,6,47,20,27,119
"E01026821",2011,"Norwich 013F","Total",1542,1442,1417,0,19,6,0,6,39,23,16,55
"E01026822",2011,"Norwich 007A","Total",2031,1657,1589,10,40,18,0,14,144,67,77,216
"E01026823",2011,"Norwich 007B","Total",1906,1570,1513,11,29,17,0,13,99,65,34,224
"E01026824",2011,"Norwich 007C","Total",1471,1225,1193,4,25,3,0,12,91,23,68,143
"E01026825",2011,"Norwich 007D","Total",1276,1132,1105,3,9,15,0,4,63,23,40,77
"E01026826",2011,"Norwich 007E","Total",1456,1247,1213,3,24,7,0,5,66,31,35,138
"E01026827",2011,"Norwich 007F","Total",1501,1320,1286,14,13,7,0,11,80,15,65,90
"E01026828",2011,"Norwich 002A","Total",1744,1591,1567,2,17,5,0,4,57,9,48,92
"E01026829",2011,"Norwich 002B","Total",2093,1786,1757,0,21,8,0,14,184,36,148,109
"E01026830",2011,"Norwich 002C","Total",1276,1101,1083,4,10,4,0,9,87,12,75,79
"E01026831",2011,"Norwich 002D","Total",1242,1091,1060,9,15,7,0,6,75,24,51,70
"E01026832",2011,"Norwich 002E","Total",1415,1312,1288,4,15,5,0,5,65,9,56,33
"E01026833",2011,"Norwich 002F","Total",1382,1239,1213,6,14,6,0,6,81,17,64,56
"E01026834",2011,"Norwich 002G","Total",1503,1365,1350,2,9,4,0,2,73,14,59,63
"E01026835",2011,"Norwich 009A","Total",1502,1323,1277,11,17,17,1,13,79,55,24,87
"E01026836",2011,"Norwich 009B","Total",1566,1377,1333,9,24,11,0,14,68,60,8,107
"E01026837",2011,"Norwich 009C","Total",1471,1281,1236,6,27,11,1,13,72,47,25,105
"E01026838",2011,"Norwich 009D","Total",1551,1338,1280,18,26,13,1,9,66,57,9,138
"E01026839",2011,"Norwich 009E","Total",1596,1407,1371,12,19,5,0,15,78,52,26,96
"E01026840",2011,"Norwich 009F","Total",1611,1428,1381,5,24,18,0,15,83,65,18,85
"E01026841",2011,"Norwich 003A","Total",1453,1284,1255,5,17,6,1,6,74,16,58,89
"E01026842",2011,"Norwich 003B","Total",1648,1455,1423,3,19,10,0,7,73,15,58,113
"E01026843",2011,"Norwich 003C","Total",1905,1722,1679,3,26,14,0,7,78,29,49,98
"E01026844",2011,"Norwich 003D","Total",1741,1546,1516,2,22,6,0,7,88,21,67,100
"E01026845",2011,"Norwich 003E","Total",1561,1365,1330,4,17,13,1,3,120,24,96,73
"E01026846",2011,"Norwich 003F","Total",1626,1360,1320,3,29,8,0,10,112,39,73,144
"E01026848",2011,"Norwich 015A","Total",1856,1624,1573,6,32,13,0,7,130,31,99,95
"E01026849",2011,"Norwich 015B","Total",1738,1505,1455,6,27,17,0,10,78,38,40,145
"E01026850",2011,"Norwich 015C","Total",1827,1605,1551,11,28,15,0,7,103,36,67,112
