"lsoa11cd","date","lsoa11nm","Rural Urban","Passports Held: All usual residents; measures: Value","Passports Held: No passport; measures: Value","Passports Held: United Kingdom; measures: Value","Passports Held: Republic of Ireland; measures: Value","Passports Held: Other Europe: EU countries; measures: Value","Passports Held: Other Europe: Non EU countries; measures: Value","Passports Held: Africa; measures: Value","Passports Held: Middle East and Asia; measures: Value","Passports Held: North America and the Caribbean; measures: Value","Passports Held: Central America; measures: Value","Passports Held: South America; measures: Value","Passports Held: Antarctica and Oceania; measures: Value","Passports Held: British Overseas Territories; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,454,890,9,67,4,27,27,7,0,1,1,0
"E01026792",2011,"Norwich 005B","Total",1445,403,949,3,41,3,17,27,7,0,0,1,0
"E01026793",2011,"Norwich 005C","Total",1817,721,960,5,63,6,29,34,9,0,1,1,0
"E01026794",2011,"Norwich 005D","Total",2065,461,1435,4,41,6,19,103,3,1,6,4,0
"E01026796",2011,"Norwich 005F","Total",1643,485,1006,8,54,3,48,50,8,1,1,4,1
"E01026797",2011,"Norwich 001A","Total",2402,438,1682,5,181,8,33,54,13,0,5,7,0
"E01026798",2011,"Norwich 001B","Total",1533,525,895,0,83,0,10,23,2,0,0,2,0
"E01026799",2011,"Norwich 001C","Total",1459,487,865,7,92,0,5,2,0,0,0,3,0
"E01026800",2011,"Norwich 001D","Total",1991,632,1126,8,150,7,42,27,7,0,0,2,0
"E01026801",2011,"Norwich 001E","Total",1606,299,1232,6,50,1,14,5,6,0,0,1,0
"E01026802",2011,"Norwich 001F","Total",1605,355,1144,2,71,3,12,16,8,0,0,3,0
"E01026803",2011,"Norwich 004A","Total",1438,484,908,3,28,0,6,8,1,0,1,1,0
"E01026804",2011,"Norwich 004B","Total",1429,392,988,1,36,2,5,5,0,0,0,3,0
"E01026805",2011,"Norwich 004C","Total",1421,437,951,2,17,1,7,2,4,0,2,1,0
"E01026806",2011,"Norwich 004D","Total",1503,360,1092,4,24,0,6,16,4,0,0,1,0
"E01026807",2011,"Norwich 004E","Total",1252,327,862,7,34,1,8,9,7,0,1,0,0
"E01026808",2011,"Norwich 004F","Total",1320,556,689,1,51,11,5,4,3,0,0,7,0
"E01026809",2011,"Norwich 004G","Total",1492,536,916,2,27,1,4,3,3,0,0,2,0
"E01026810",2011,"Norwich 012A","Total",1389,228,1092,16,19,5,20,29,5,0,0,7,0
"E01026811",2011,"Norwich 012B","Total",1544,187,1279,13,44,2,2,16,12,2,0,7,0
"E01026812",2011,"Norwich 012C","Total",1425,147,1193,7,38,2,16,24,10,0,0,8,0
"E01026813",2011,"Norwich 012D","Total",1426,153,1210,4,29,1,6,36,11,0,3,1,0
"E01026814",2011,"Norwich 012E","Total",1522,413,1010,3,45,5,1,40,6,0,6,1,0
"E01026815",2011,"Norwich 012F","Total",1475,168,1186,12,41,5,14,44,18,0,4,10,0
"E01026816",2011,"Norwich 013A","Total",1741,356,1236,6,76,6,11,46,9,0,6,5,0
"E01026817",2011,"Norwich 013B","Total",1415,400,947,3,41,2,12,16,4,0,0,1,0
"E01026818",2011,"Norwich 013C","Total",1462,444,946,5,41,6,10,12,5,0,1,1,0
"E01026819",2011,"Norwich 013D","Total",1439,531,848,3,28,1,4,13,12,0,0,0,0
"E01026820",2011,"Norwich 013E","Total",1727,573,1062,1,46,2,16,24,8,0,0,2,0
"E01026821",2011,"Norwich 013F","Total",1542,506,971,5,37,0,1,22,1,0,2,5,0
"E01026822",2011,"Norwich 007A","Total",2031,369,1428,13,127,6,21,64,17,2,8,13,0
"E01026823",2011,"Norwich 007B","Total",1906,247,1436,20,86,11,18,92,22,1,2,15,0
"E01026824",2011,"Norwich 007C","Total",1471,379,923,14,79,5,18,45,13,1,6,6,0
"E01026825",2011,"Norwich 007D","Total",1276,277,895,3,56,3,12,25,10,0,0,5,0
"E01026826",2011,"Norwich 007E","Total",1456,445,881,4,66,9,18,33,8,3,1,7,0
"E01026827",2011,"Norwich 007F","Total",1501,462,918,8,78,2,25,17,7,0,2,2,0
"E01026828",2011,"Norwich 002A","Total",1744,709,916,5,63,3,17,27,2,1,2,4,0
"E01026829",2011,"Norwich 002B","Total",2093,685,1177,14,170,5,34,9,11,2,3,10,0
"E01026830",2011,"Norwich 002C","Total",1276,386,774,4,86,6,9,18,3,0,0,1,0
"E01026831",2011,"Norwich 002D","Total",1242,185,950,8,74,7,8,12,10,1,0,7,0
"E01026832",2011,"Norwich 002E","Total",1415,601,738,1,59,2,3,5,4,2,0,1,0
"E01026833",2011,"Norwich 002F","Total",1382,572,696,9,84,3,11,7,3,0,1,1,0
"E01026834",2011,"Norwich 002G","Total",1503,572,824,7,73,10,7,9,6,0,1,4,0
"E01026835",2011,"Norwich 009A","Total",1502,151,1240,13,71,7,4,22,16,0,1,10,0
"E01026836",2011,"Norwich 009B","Total",1566,121,1320,25,71,5,9,15,17,0,6,21,0
"E01026837",2011,"Norwich 009C","Total",1471,159,1186,22,60,5,3,24,8,8,2,8,0
"E01026838",2011,"Norwich 009D","Total",1551,130,1270,18,65,11,5,48,22,4,3,13,0
"E01026839",2011,"Norwich 009E","Total",1596,129,1342,16,73,3,1,22,21,1,1,13,0
"E01026840",2011,"Norwich 009F","Total",1611,183,1305,18,69,2,3,23,17,0,1,3,1
"E01026841",2011,"Norwich 003A","Total",1453,281,1066,8,72,4,5,12,9,0,1,6,0
"E01026842",2011,"Norwich 003B","Total",1648,309,1212,3,73,4,11,31,12,0,3,0,0
"E01026843",2011,"Norwich 003C","Total",1905,541,1265,5,71,13,10,9,5,0,2,3,0
"E01026844",2011,"Norwich 003D","Total",1741,532,1070,7,82,4,14,27,7,0,3,3,0
"E01026845",2011,"Norwich 003E","Total",1561,288,1130,6,111,3,10,9,9,0,4,7,0
"E01026846",2011,"Norwich 003F","Total",1626,334,1116,16,103,1,14,44,13,0,1,7,0
"E01026848",2011,"Norwich 015A","Total",1856,573,1124,9,114,4,5,24,7,0,1,3,0
"E01026849",2011,"Norwich 015B","Total",1738,223,1341,10,66,3,23,55,15,0,7,8,0
"E01026850",2011,"Norwich 015C","Total",1827,323,1349,7,89,8,9,38,10,0,1,10,0
"E01026852",2011,"Norwich 011A","Total",1295,182,1032,6,42,0,9,22,8,0,1,6,0
"E01026853",2011,"Norwich 011B","Total",1751,466,1085,3,89,12,8,84,16,0,0,5,0
"E01026855",2011,"Norwich 011D","Total",1568,183,1244,14,75,1,1,44,12,6,2,11,0
"E01026856",2011,"Norwich 011E","Total",1821,189,1483,9,82,9,12,22,17,1,4,8,0
"E01026857",2011,"Norwich 011F","Total",1515,170,1263,12,44,5,7,12,14,0,4,6,0
"E01026858",2011,"Norwich 010A","Total",1512,498,851,7,59,4,22,66,8,1,12,2,0
"E01026859",2011,"Norwich 010B","Total",1659,448,1119,13,40,3,15,22,4,2,0,11,0
"E01026860",2011,"Norwich 010C","Total",4313,268,2780,39,165,80,123,851,70,5,6,15,3
"E01026861",2011,"Norwich 010D","Total",1493,389,961,6,26,4,15,88,12,1,0,1,0
"E01026862",2011,"Norwich 010E","Total",1302,295,935,8,29,3,6,23,7,0,2,2,0
"E01026863",2011,"Norwich 006A","Total",1814,312,1328,27,95,4,16,35,9,1,4,5,0
"E01026864",2011,"Norwich 006B","Total",1547,412,1058,0,50,3,3,22,4,0,0,0,0
"E01026865",2011,"Norwich 006C","Total",1949,694,1067,11,96,3,23,51,16,0,0,2,0
"E01026866",2011,"Norwich 006D","Total",1574,281,1189,7,55,2,9,20,17,2,6,4,0
"E01026867",2011,"Norwich 006E","Total",1592,651,808,13,72,4,16,38,0,0,2,1,0
"E01026868",2011,"Norwich 006F","Total",1628,593,898,3,55,9,12,46,7,0,6,5,1
"E01026869",2011,"Norwich 006G","Total",1400,540,799,2,33,1,7,20,2,1,1,0,0
"E01033434",2011,"Norwich 011G","Total",1076,78,832,17,77,14,13,49,12,0,0,8,0
"E01033435",2011,"Norwich 005G","Total",1845,233,1228,12,92,9,59,215,20,0,8,9,0
"E01033436",2011,"Norwich 005H","Total",1393,475,770,6,40,3,31,67,5,1,0,2,0
"E01033437",2011,"Norwich 011H","Total",1378,381,850,6,85,5,7,49,7,0,2,3,1
"E01033438",2011,"Norwich 014A","Total",1397,233,1007,10,67,7,11,52,15,4,2,3,0
"E01033439",2011,"Norwich 014B","Total",1440,266,1004,4,88,8,22,39,11,0,1,6,0
"E01033440",2011,"Norwich 014C","Total",1070,154,696,14,74,12,27,91,13,1,1,4,0
"E01033441",2011,"Norwich 014D","Total",1229,100,867,15,83,7,31,117,9,1,6,13,0
