"lsoa11cd","date","lsoa11nm","Rural Urban","Main Language: All categories: English as a household language; measures: Value","Main Language: All people aged 16 and over in household have English as a main language (English or Welsh in Wales); measures: Value","Main Language: At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales); measures: Value","Main Language: No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales); measures: Value","Main Language: No people in household have English as a main language (English or Welsh in Wales); measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,605,15,11,30
"E01026792",2011,"Norwich 005B","Total",627,579,10,15,23
"E01026793",2011,"Norwich 005C","Total",625,567,18,11,29
"E01026794",2011,"Norwich 005D","Total",844,771,27,12,34
"E01026796",2011,"Norwich 005F","Total",650,591,25,5,29
"E01026797",2011,"Norwich 001A","Total",1070,938,32,8,92
"E01026798",2011,"Norwich 001B","Total",670,609,14,11,36
"E01026799",2011,"Norwich 001C","Total",626,584,10,3,29
"E01026800",2011,"Norwich 001D","Total",901,806,27,6,62
"E01026801",2011,"Norwich 001E","Total",684,652,10,1,21
"E01026802",2011,"Norwich 001F","Total",785,736,14,2,33
"E01026803",2011,"Norwich 004A","Total",638,622,7,2,7
"E01026804",2011,"Norwich 004B","Total",633,613,12,3,5
"E01026805",2011,"Norwich 004C","Total",639,630,1,3,5
"E01026806",2011,"Norwich 004D","Total",508,491,12,1,4
"E01026807",2011,"Norwich 004E","Total",523,501,6,6,10
"E01026808",2011,"Norwich 004F","Total",516,485,6,4,21
"E01026809",2011,"Norwich 004G","Total",762,739,7,0,16
"E01026810",2011,"Norwich 012A","Total",635,595,16,5,19
"E01026811",2011,"Norwich 012B","Total",723,685,16,2,20
"E01026812",2011,"Norwich 012C","Total",639,607,17,2,13
"E01026813",2011,"Norwich 012D","Total",635,611,11,3,10
"E01026814",2011,"Norwich 012E","Total",653,597,28,4,24
"E01026815",2011,"Norwich 012F","Total",648,601,22,5,20
"E01026816",2011,"Norwich 013A","Total",934,854,26,5,49
"E01026817",2011,"Norwich 013B","Total",706,671,17,2,16
"E01026818",2011,"Norwich 013C","Total",626,588,14,6,18
"E01026819",2011,"Norwich 013D","Total",625,599,4,8,14
"E01026820",2011,"Norwich 013E","Total",755,709,13,8,25
"E01026821",2011,"Norwich 013F","Total",712,680,13,6,13
"E01026822",2011,"Norwich 007A","Total",1228,1106,38,5,79
"E01026823",2011,"Norwich 007B","Total",1099,999,27,5,68
"E01026824",2011,"Norwich 007C","Total",868,788,15,3,62
"E01026825",2011,"Norwich 007D","Total",718,673,17,1,27
"E01026826",2011,"Norwich 007E","Total",864,790,20,5,49
"E01026827",2011,"Norwich 007F","Total",931,865,18,9,39
"E01026828",2011,"Norwich 002A","Total",664,619,13,6,26
"E01026829",2011,"Norwich 002B","Total",857,774,28,5,50
"E01026830",2011,"Norwich 002C","Total",682,612,12,3,55
"E01026831",2011,"Norwich 002D","Total",632,588,20,0,24
"E01026832",2011,"Norwich 002E","Total",498,470,9,3,16
"E01026833",2011,"Norwich 002F","Total",696,642,13,4,37
"E01026834",2011,"Norwich 002G","Total",644,604,8,4,28
"E01026835",2011,"Norwich 009A","Total",643,588,34,2,19
"E01026836",2011,"Norwich 009B","Total",646,595,34,3,14
"E01026837",2011,"Norwich 009C","Total",735,674,26,2,33
"E01026838",2011,"Norwich 009D","Total",645,592,34,1,18
"E01026839",2011,"Norwich 009E","Total",668,610,32,2,24
"E01026840",2011,"Norwich 009F","Total",759,697,35,1,26
"E01026841",2011,"Norwich 003A","Total",726,673,11,4,38
"E01026842",2011,"Norwich 003B","Total",818,750,27,3,38
"E01026843",2011,"Norwich 003C","Total",902,832,29,7,34
"E01026844",2011,"Norwich 003D","Total",823,764,15,5,39
"E01026845",2011,"Norwich 003E","Total",786,728,20,2,36
"E01026846",2011,"Norwich 003F","Total",811,717,29,8,57
"E01026848",2011,"Norwich 015A","Total",1015,950,11,5,49
"E01026849",2011,"Norwich 015B","Total",913,848,21,2,42
"E01026850",2011,"Norwich 015C","Total",952,889,18,5,40
"E01026852",2011,"Norwich 011A","Total",598,564,12,3,19
"E01026853",2011,"Norwich 011B","Total",1011,924,21,9,57
"E01026855",2011,"Norwich 011D","Total",773,710,21,3,39
"E01026856",2011,"Norwich 011E","Total",847,764,51,2,30
"E01026857",2011,"Norwich 011F","Total",751,702,36,2,11
"E01026858",2011,"Norwich 010A","Total",745,663,25,5,52
"E01026859",2011,"Norwich 010B","Total",640,599,19,3,19
"E01026860",2011,"Norwich 010C","Total",470,414,20,5,31
"E01026861",2011,"Norwich 010D","Total",549,492,28,2,27
"E01026862",2011,"Norwich 010E","Total",497,463,21,3,10
"E01026863",2011,"Norwich 006A","Total",771,706,28,6,31
"E01026864",2011,"Norwich 006B","Total",657,618,13,7,19
"E01026865",2011,"Norwich 006C","Total",805,737,22,9,37
"E01026866",2011,"Norwich 006D","Total",767,716,18,4,29
"E01026867",2011,"Norwich 006E","Total",562,508,16,6,32
"E01026868",2011,"Norwich 006F","Total",565,515,12,4,34
"E01026869",2011,"Norwich 006G","Total",657,622,10,9,16
"E01033434",2011,"Norwich 011G","Total",615,545,23,3,44
"E01033435",2011,"Norwich 005G","Total",705,564,50,25,66
"E01033436",2011,"Norwich 005H","Total",596,544,15,6,31
"E01033437",2011,"Norwich 011H","Total",786,722,13,3,48
"E01033438",2011,"Norwich 014A","Total",878,803,25,4,46
"E01033439",2011,"Norwich 014B","Total",763,669,30,3,61
"E01033440",2011,"Norwich 014C","Total",662,567,22,5,68
"E01033441",2011,"Norwich 014D","Total",773,661,21,0,91
