"lsoa11cd","date","lsoa11nm","Rural Urban","disability/health/care: All categories: Long-term health problem or disability; measures: Value","disability/health/care: Day-to-day activities limited a lot; measures: Value","disability/health/care: Day-to-day activities limited a little; measures: Value","disability/health/care: Day-to-day activities not limited; measures: Value","disability/health/care: Day-to-day activities limited a lot: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities limited a little: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities not limited: Age 16 to 64; measures: Value","disability/health/care: Very good health; measures: Value","disability/health/care: Good health; measures: Value","disability/health/care: Fair health; measures: Value","disability/health/care: Bad health; measures: Value","disability/health/care: Very bad health; measures: Value","disability/health/care: Provides no unpaid care; measures: Value","disability/health/care: Provides 1 to 19 hours unpaid care a week; measures: Value","disability/health/care: Provides 20 to 49 hours unpaid care a week; measures: Value","disability/health/care: Provides 50 or more hours unpaid care a week; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,140,160,1175,89,111,828,667,513,209,63,23,1354,70,12,39
"E01026792",2011,"Norwich 005B","Total",1445,139,143,1163,55,78,801,612,507,246,56,24,1294,87,22,42
"E01026793",2011,"Norwich 005C","Total",1817,160,186,1471,74,118,901,786,643,262,89,37,1645,76,25,71
"E01026794",2011,"Norwich 005D","Total",2065,211,169,1685,95,110,1239,943,691,277,103,51,1864,110,30,61
"E01026796",2011,"Norwich 005F","Total",1643,153,182,1308,66,91,944,754,532,267,75,15,1475,81,32,55
"E01026797",2011,"Norwich 001A","Total",2402,127,172,2103,70,113,1561,1182,870,251,76,23,2227,126,20,29
"E01026798",2011,"Norwich 001B","Total",1533,142,156,1235,89,100,811,600,578,244,92,19,1413,58,31,31
"E01026799",2011,"Norwich 001C","Total",1459,120,131,1208,70,93,829,576,593,210,62,18,1318,82,24,35
"E01026800",2011,"Norwich 001D","Total",1991,180,199,1612,99,140,1116,893,673,291,108,26,1858,54,28,51
"E01026801",2011,"Norwich 001E","Total",1606,146,163,1297,49,57,899,681,604,249,59,13,1408,134,24,40
"E01026802",2011,"Norwich 001F","Total",1605,140,173,1292,65,105,937,654,606,251,70,24,1450,101,17,37
"E01026803",2011,"Norwich 004A","Total",1438,209,183,1046,73,69,635,472,568,278,91,29,1283,81,27,47
"E01026804",2011,"Norwich 004B","Total",1429,130,177,1122,41,69,703,547,571,235,64,12,1246,115,20,48
"E01026805",2011,"Norwich 004C","Total",1421,156,191,1074,45,74,663,477,567,272,80,25,1264,81,26,50
"E01026806",2011,"Norwich 004D","Total",1503,141,194,1168,75,98,887,512,633,257,84,17,1327,117,28,31
"E01026807",2011,"Norwich 004E","Total",1252,70,128,1054,42,76,691,566,461,174,41,10,1141,71,16,24
"E01026808",2011,"Norwich 004F","Total",1320,122,153,1045,71,93,648,551,466,208,71,24,1193,69,21,37
"E01026809",2011,"Norwich 004G","Total",1492,200,215,1077,89,103,696,503,550,311,110,18,1328,82,33,49
"E01026810",2011,"Norwich 012A","Total",1389,141,162,1086,31,49,692,622,491,206,56,14,1205,127,18,39
"E01026811",2011,"Norwich 012B","Total",1544,126,193,1225,22,53,759,700,580,191,54,19,1345,158,16,25
"E01026812",2011,"Norwich 012C","Total",1425,83,140,1202,34,59,793,685,529,169,33,9,1235,149,16,25
"E01026813",2011,"Norwich 012D","Total",1426,98,167,1161,18,40,714,666,530,181,44,5,1245,126,15,40
"E01026814",2011,"Norwich 012E","Total",1522,159,193,1170,49,92,788,639,519,273,70,21,1356,90,17,59
"E01026815",2011,"Norwich 012F","Total",1475,89,132,1254,27,42,874,785,504,135,48,3,1316,120,14,25
"E01026816",2011,"Norwich 013A","Total",1741,158,189,1394,62,91,1071,760,650,253,58,20,1584,115,23,19
"E01026817",2011,"Norwich 013B","Total",1415,177,147,1091,74,65,695,569,518,233,76,19,1263,102,14,36
"E01026818",2011,"Norwich 013C","Total",1462,159,146,1157,89,84,769,579,541,244,77,21,1316,76,19,51
"E01026819",2011,"Norwich 013D","Total",1439,148,156,1135,89,89,771,585,504,241,82,27,1312,65,23,39
"E01026820",2011,"Norwich 013E","Total",1727,202,224,1301,88,104,797,711,603,290,95,28,1521,115,23,68
"E01026821",2011,"Norwich 013F","Total",1542,189,208,1145,61,106,725,561,566,297,95,23,1346,100,30,66
"E01026822",2011,"Norwich 007A","Total",2031,218,241,1572,130,127,1262,775,743,369,112,32,1881,93,23,34
"E01026823",2011,"Norwich 007B","Total",1906,161,182,1563,103,115,1340,877,668,230,97,34,1766,112,11,17
"E01026824",2011,"Norwich 007C","Total",1471,213,175,1083,113,113,827,542,510,272,127,20,1329,83,14,45
"E01026825",2011,"Norwich 007D","Total",1276,143,132,1001,75,98,823,509,459,209,72,27,1178,64,12,22
"E01026826",2011,"Norwich 007E","Total",1456,231,189,1036,118,97,796,513,518,286,106,33,1351,63,17,25
"E01026827",2011,"Norwich 007F","Total",1501,281,220,1000,129,120,687,479,487,333,165,37,1358,89,13,41
"E01026828",2011,"Norwich 002A","Total",1744,146,191,1407,77,117,881,690,666,281,88,19,1587,78,23,56
"E01026829",2011,"Norwich 002B","Total",2093,151,196,1746,86,120,1211,947,747,303,74,22,1939,91,30,33
"E01026830",2011,"Norwich 002C","Total",1276,142,156,978,65,88,671,471,477,221,95,12,1164,69,18,25
"E01026831",2011,"Norwich 002D","Total",1242,45,84,1113,30,54,909,601,466,141,28,6,1171,53,6,12
"E01026832",2011,"Norwich 002E","Total",1415,143,145,1127,75,89,670,598,515,200,85,17,1275,64,16,60
"E01026833",2011,"Norwich 002F","Total",1382,147,169,1066,68,102,714,505,511,260,86,20,1255,56,16,55
"E01026834",2011,"Norwich 002G","Total",1503,156,185,1162,85,95,749,579,541,264,92,27,1374,61,19,49
"E01026835",2011,"Norwich 009A","Total",1502,71,113,1318,22,55,1064,856,462,129,39,16,1394,85,12,11
"E01026836",2011,"Norwich 009B","Total",1566,55,91,1420,33,62,1080,914,498,118,27,9,1459,83,10,14
"E01026837",2011,"Norwich 009C","Total",1471,69,121,1281,31,65,1007,758,506,159,39,9,1324,114,17,16
"E01026838",2011,"Norwich 009D","Total",1551,59,111,1381,22,60,1035,902,462,156,25,6,1425,98,17,11
"E01026839",2011,"Norwich 009E","Total",1596,30,82,1484,15,54,1266,958,507,110,15,6,1488,84,10,14
"E01026840",2011,"Norwich 009F","Total",1611,50,97,1464,38,66,1210,882,556,135,32,6,1505,91,5,10
"E01026841",2011,"Norwich 003A","Total",1453,79,104,1270,47,69,1032,733,504,167,34,15,1363,59,13,18
"E01026842",2011,"Norwich 003B","Total",1648,79,142,1427,49,81,1136,777,619,198,46,8,1501,103,26,18
"E01026843",2011,"Norwich 003C","Total",1905,200,198,1507,90,109,1092,795,688,291,94,37,1719,122,12,52
"E01026844",2011,"Norwich 003D","Total",1741,135,162,1444,76,104,997,761,637,240,82,21,1569,103,21,48
"E01026845",2011,"Norwich 003E","Total",1561,58,97,1406,30,72,1145,816,564,144,26,11,1481,59,8,13
"E01026846",2011,"Norwich 003F","Total",1626,107,119,1400,67,80,1111,768,618,177,52,11,1523,69,10,24
"E01026848",2011,"Norwich 015A","Total",1856,273,218,1365,128,127,962,721,592,366,133,44,1720,69,29,38
"E01026849",2011,"Norwich 015B","Total",1738,111,142,1485,49,87,1200,859,610,218,42,9,1614,98,10,16
"E01026850",2011,"Norwich 015C","Total",1827,104,132,1591,49,91,1223,835,708,206,63,15,1673,124,9,21
"E01026852",2011,"Norwich 011A","Total",1295,108,129,1058,16,55,746,620,471,163,35,6,1123,148,5,19
"E01026853",2011,"Norwich 011B","Total",1751,229,230,1292,110,126,962,662,608,329,127,25,1620,89,17,25
"E01026855",2011,"Norwich 011D","Total",1568,80,135,1353,32,80,1074,807,524,178,49,10,1436,98,9,25
"E01026856",2011,"Norwich 011E","Total",1821,67,118,1636,38,88,1374,1037,570,166,40,8,1680,105,17,19
"E01026857",2011,"Norwich 011F","Total",1515,132,146,1237,24,54,886,782,454,201,54,24,1371,110,11,23
"E01026858",2011,"Norwich 010A","Total",1512,207,193,1112,68,94,756,586,482,301,112,31,1360,84,20,48
"E01026859",2011,"Norwich 010B","Total",1659,129,157,1373,66,70,885,798,568,208,67,18,1472,115,24,48
"E01026860",2011,"Norwich 010C","Total",4313,108,197,4008,46,133,3748,2475,1471,296,56,15,4130,137,17,29
"E01026861",2011,"Norwich 010D","Total",1493,149,153,1191,79,81,894,686,485,218,76,28,1341,66,31,55
"E01026862",2011,"Norwich 010E","Total",1302,121,130,1051,41,63,738,599,453,185,47,18,1146,94,20,42
"E01026863",2011,"Norwich 006A","Total",1814,130,148,1536,65,90,1196,880,636,221,56,21,1634,113,28,39
"E01026864",2011,"Norwich 006B","Total",1547,113,145,1289,55,77,865,652,622,190,62,21,1383,114,20,30
"E01026865",2011,"Norwich 006C","Total",1949,181,212,1556,97,129,1085,863,673,265,117,31,1782,94,24,49
