"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"E01026791",2011,"Norwich 005A","Total",696,694,2,0,698,661,37,110,183,197,206,2,0,0
"E01026792",2011,"Norwich 005B","Total",642,642,0,0,642,627,15,137,297,149,57,2,0,0
"E01026793",2011,"Norwich 005C","Total",655,655,0,0,655,625,30,69,290,246,43,3,4,0
"E01026794",2011,"Norwich 005D","Total",870,870,0,0,870,844,26,272,366,120,106,4,2,0
"E01026796",2011,"Norwich 005F","Total",674,674,0,0,674,650,24,48,350,164,106,4,2,0
"E01026797",2011,"Norwich 001A","Total",1145,1145,0,0,1145,1070,75,202,316,275,333,7,12,0
"E01026798",2011,"Norwich 001B","Total",699,698,1,0,700,670,30,28,180,239,243,4,5,1
"E01026799",2011,"Norwich 001C","Total",656,656,0,0,656,626,30,30,193,282,149,0,2,0
"E01026800",2011,"Norwich 001D","Total",945,945,0,0,945,901,44,69,211,222,394,39,8,2
"E01026801",2011,"Norwich 001E","Total",693,693,0,0,693,684,9,127,441,56,57,10,2,0
"E01026802",2011,"Norwich 001F","Total",808,808,0,0,808,785,23,39,149,203,349,25,8,35
"E01026803",2011,"Norwich 004A","Total",645,645,0,0,645,638,7,17,147,274,197,5,5,0
"E01026804",2011,"Norwich 004B","Total",651,651,0,0,651,633,18,150,277,156,59,2,7,0
"E01026805",2011,"Norwich 004C","Total",657,657,0,0,657,639,18,18,203,285,146,1,4,0
"E01026806",2011,"Norwich 004D","Total",516,516,0,0,516,508,8,143,266,91,8,1,7,0
"E01026807",2011,"Norwich 004E","Total",538,538,0,0,538,523,15,43,183,296,12,3,1,0
"E01026808",2011,"Norwich 004F","Total",531,531,0,0,531,516,15,22,133,239,129,7,1,0
"E01026809",2011,"Norwich 004G","Total",784,784,0,0,784,762,22,17,118,284,358,6,0,1
"E01026810",2011,"Norwich 012A","Total",658,658,0,0,658,635,23,296,220,75,41,14,11,1
"E01026811",2011,"Norwich 012B","Total",747,747,0,0,747,723,24,535,94,72,37,9,0,0
