"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All households; measures: Value","Tenure: Owned; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other; measures: Value","Tenure: Private rented; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,215,84,131,3,345,253,92,89,80,9,9
"E01026792",2011,"Norwich 005B","Total",627,339,151,188,8,213,139,74,63,53,10,4
"E01026793",2011,"Norwich 005C","Total",625,187,77,110,1,358,294,64,71,65,6,8
"E01026794",2011,"Norwich 005D","Total",844,440,137,303,6,269,97,172,125,111,14,4
"E01026796",2011,"Norwich 005F","Total",650,224,118,106,3,283,243,40,129,124,5,11
"E01026797",2011,"Norwich 001A","Total",1070,544,146,398,1,215,130,85,299,273,26,11
"E01026798",2011,"Norwich 001B","Total",670,213,72,141,2,368,324,44,85,81,4,2
"E01026799",2011,"Norwich 001C","Total",626,271,60,211,0,284,254,30,66,58,8,5
"E01026800",2011,"Norwich 001D","Total",901,236,91,145,7,493,422,71,155,149,6,10
"E01026801",2011,"Norwich 001E","Total",684,541,304,237,4,47,43,4,86,85,1,6
"E01026802",2011,"Norwich 001F","Total",785,446,222,224,3,168,98,70,164,150,14,4
"E01026803",2011,"Norwich 004A","Total",638,324,177,147,0,265,235,30,42,35,7,7
"E01026804",2011,"Norwich 004B","Total",633,437,252,185,0,161,158,3,33,27,6,2
"E01026805",2011,"Norwich 004C","Total",639,319,165,154,1,271,250,21,38,32,6,10
"E01026806",2011,"Norwich 004D","Total",508,444,252,192,2,19,18,1,36,27,9,7
"E01026807",2011,"Norwich 004E","Total",523,325,149,176,1,126,118,8,69,64,5,2
"E01026808",2011,"Norwich 004F","Total",516,158,46,112,2,316,307,9,34,31,3,6
"E01026809",2011,"Norwich 004G","Total",762,280,135,145,17,432,414,18,28,25,3,5
"E01026810",2011,"Norwich 012A","Total",635,458,291,167,1,105,65,40,68,64,4,3
"E01026811",2011,"Norwich 012B","Total",723,606,411,195,1,50,42,8,59,51,8,7
"E01026812",2011,"Norwich 012C","Total",639,532,313,219,5,14,12,2,81,76,5,7
"E01026813",2011,"Norwich 012D","Total",635,585,412,173,2,9,7,2,37,35,2,2
"E01026814",2011,"Norwich 012E","Total",653,292,170,122,2,253,248,5,92,81,11,14
"E01026815",2011,"Norwich 012F","Total",648,483,274,209,3,28,13,15,123,114,9,11
"E01026816",2011,"Norwich 013A","Total",934,426,172,254,1,227,113,114,269,250,19,11
"E01026817",2011,"Norwich 013B","Total",706,342,201,141,3,280,215,65,73,66,7,8
"E01026818",2011,"Norwich 013C","Total",626,270,119,151,1,312,295,17,35,29,6,8
"E01026819",2011,"Norwich 013D","Total",625,179,68,111,1,389,382,7,49,40,9,7
"E01026820",2011,"Norwich 013E","Total",755,294,141,153,0,400,360,40,52,45,7,9
"E01026821",2011,"Norwich 013F","Total",712,330,162,168,1,332,326,6,39,30,9,10
"E01026822",2011,"Norwich 007A","Total",1228,366,227,139,2,506,200,306,335,317,18,19
"E01026823",2011,"Norwich 007B","Total",1099,376,188,188,10,284,187,97,414,394,20,15
"E01026824",2011,"Norwich 007C","Total",868,212,103,109,4,473,449,24,164,149,15,15
"E01026825",2011,"Norwich 007D","Total",718,239,85,154,3,245,192,53,224,202,22,7
"E01026826",2011,"Norwich 007E","Total",864,144,64,80,5,495,289,206,212,198,14,8
"E01026827",2011,"Norwich 007F","Total",931,148,62,86,1,646,491,155,123,109,14,13
"E01026828",2011,"Norwich 002A","Total",664,220,71,149,1,393,351,42,45,42,3,5
"E01026829",2011,"Norwich 002B","Total",857,271,82,189,26,368,314,54,185,175,10,7
"E01026830",2011,"Norwich 002C","Total",682,216,92,124,0,336,271,65,123,117,6,7
"E01026831",2011,"Norwich 002D","Total",632,332,114,218,4,70,40,30,221,205,16,5
"E01026832",2011,"Norwich 002E","Total",498,180,64,116,2,290,270,20,24,21,3,2
"E01026833",2011,"Norwich 002F","Total",696,89,30,59,16,553,478,75,34,30,4,4
"E01026834",2011,"Norwich 002G","Total",644,234,98,136,2,340,253,87,63,57,6,5
"E01026835",2011,"Norwich 009A","Total",643,328,160,168,0,42,8,34,267,255,12,6
"E01026836",2011,"Norwich 009B","Total",646,402,199,203,4,13,8,5,225,215,10,2
"E01026837",2011,"Norwich 009C","Total",735,346,172,174,2,103,42,61,274,260,14,10
"E01026838",2011,"Norwich 009D","Total",645,428,211,217,2,8,2,6,199,189,10,8
"E01026839",2011,"Norwich 009E","Total",668,313,127,186,0,18,7,11,328,306,22,9
"E01026840",2011,"Norwich 009F","Total",759,431,190,241,3,39,26,13,281,263,18,5
