"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,6,655,60,21,2.2,4.7,2.5
"E01026792",2011,"Norwich 005B","Total",627,16,611,26,12,2.3,5,2.6
"E01026793",2011,"Norwich 005C","Total",625,6,619,42,27,2.9,5.2,2.9
"E01026794",2011,"Norwich 005D","Total",844,11,833,38,23,2.4,5.2,2.7
"E01026796",2011,"Norwich 005F","Total",650,9,641,61,29,2.5,5.3,2.9
"E01026797",2011,"Norwich 001A","Total",1070,35,1035,66,31,2.2,4.8,2.5
"E01026798",2011,"Norwich 001B","Total",670,17,653,68,29,2.3,4.6,2.4
"E01026799",2011,"Norwich 001C","Total",626,5,621,24,12,2.3,4.7,2.6
"E01026800",2011,"Norwich 001D","Total",901,16,885,95,42,2.2,4.6,2.4
"E01026801",2011,"Norwich 001E","Total",684,15,669,37,16,2.3,5.8,3
"E01026802",2011,"Norwich 001F","Total",785,40,745,63,18,2,4.8,2.4
"E01026803",2011,"Norwich 004A","Total",638,16,622,33,18,2.2,5,2.6
"E01026804",2011,"Norwich 004B","Total",633,9,624,16,18,2.3,5.5,2.8
"E01026805",2011,"Norwich 004C","Total",639,17,622,22,21,2.2,5.2,2.7
"E01026806",2011,"Norwich 004D","Total",508,14,494,9,5,2.2,5.5,2.9
"E01026807",2011,"Norwich 004E","Total",523,8,515,20,14,2.4,5.5,2.8
"E01026808",2011,"Norwich 004F","Total",516,9,507,42,25,2.6,4.8,2.6
"E01026809",2011,"Norwich 004G","Total",762,10,752,31,14,1.9,4.7,2.3
"E01026810",2011,"Norwich 012A","Total",635,4,631,10,6,2.2,6.2,3.1
"E01026811",2011,"Norwich 012B","Total",723,6,717,2,2,2.1,6.8,3.3
"E01026812",2011,"Norwich 012C","Total",639,11,628,4,4,2.2,6.4,3.3
"E01026813",2011,"Norwich 012D","Total",635,3,632,9,9,2.2,6.9,3.5
