"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"E01026791",2011,"Norwich 005A","Total",611,80,113,370,48,334,32,34,224,44,277,48,79,146,4
"E01026792",2011,"Norwich 005B","Total",662,72,140,387,63,342,20,35,236,51,320,52,105,151,12
"E01026793",2011,"Norwich 005C","Total",638,92,140,344,62,351,36,40,231,44,287,56,100,113,18
"E01026794",2011,"Norwich 005D","Total",1081,91,223,650,117,562,25,59,376,102,519,66,164,274,15
"E01026796",2011,"Norwich 005F","Total",604,115,156,277,56,309,32,52,179,46,295,83,104,98,10
"E01026797",2011,"Norwich 001A","Total",1406,81,214,953,158,792,31,58,582,121,614,50,156,371,37
"E01026798",2011,"Norwich 001B","Total",685,57,152,417,59,379,15,46,267,51,306,42,106,150,8
"E01026799",2011,"Norwich 001C","Total",723,49,147,460,67,388,14,33,289,52,335,35,114,171,15
"E01026800",2011,"Norwich 001D","Total",879,75,200,535,69,475,26,68,331,50,404,49,132,204,19
"E01026801",2011,"Norwich 001E","Total",813,82,177,474,80,427,30,49,281,67,386,52,128,193,13
