"lsoa11cd","date","lsoa11nm","Rural Urban","Residence Type: All categories: Residence type; measures: Value","Residence Type: Lives in a household; measures: Value","Residence Type: Lives in a communal establishment; measures: Value","Residence Type: Communal establishments with persons sleeping rough identified; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,1475,0,0
"E01026792",2011,"Norwich 005B","Total",1445,1445,0,0
"E01026793",2011,"Norwich 005C","Total",1817,1817,0,0
"E01026794",2011,"Norwich 005D","Total",2065,2021,44,0
"E01026796",2011,"Norwich 005F","Total",1643,1636,7,0
"E01026797",2011,"Norwich 001A","Total",2402,2400,2,0
"E01026798",2011,"Norwich 001B","Total",1533,1533,0,0
"E01026799",2011,"Norwich 001C","Total",1459,1459,0,0
"E01026800",2011,"Norwich 001D","Total",1991,1991,0,0
"E01026801",2011,"Norwich 001E","Total",1606,1560,46,0
"E01026802",2011,"Norwich 001F","Total",1605,1536,69,0
"E01026803",2011,"Norwich 004A","Total",1438,1388,50,0
"E01026804",2011,"Norwich 004B","Total",1429,1429,0,0
"E01026805",2011,"Norwich 004C","Total",1421,1421,0,0
"E01026806",2011,"Norwich 004D","Total",1503,1127,376,0
"E01026807",2011,"Norwich 004E","Total",1252,1252,0,0
"E01026808",2011,"Norwich 004F","Total",1320,1320,0,0
"E01026809",2011,"Norwich 004G","Total",1492,1483,9,0
"E01026810",2011,"Norwich 012A","Total",1389,1374,15,0
"E01026811",2011,"Norwich 012B","Total",1544,1525,19,0
"E01026812",2011,"Norwich 012C","Total",1425,1425,0,0
"E01026813",2011,"Norwich 012D","Total",1426,1426,0,0
"E01026814",2011,"Norwich 012E","Total",1522,1502,20,0
"E01026815",2011,"Norwich 012F","Total",1475,1450,25,0
"E01026816",2011,"Norwich 013A","Total",1741,1699,42,0
"E01026817",2011,"Norwich 013B","Total",1415,1415,0,0
"E01026818",2011,"Norwich 013C","Total",1462,1462,0,0
"E01026819",2011,"Norwich 013D","Total",1439,1439,0,0
"E01026820",2011,"Norwich 013E","Total",1727,1727,0,0
"E01026821",2011,"Norwich 013F","Total",1542,1542,0,0
"E01026822",2011,"Norwich 007A","Total",2031,1958,73,0
"E01026823",2011,"Norwich 007B","Total",1906,1800,106,1
"E01026824",2011,"Norwich 007C","Total",1471,1471,0,0
"E01026825",2011,"Norwich 007D","Total",1276,1276,0,0
"E01026826",2011,"Norwich 007E","Total",1456,1406,50,0
"E01026827",2011,"Norwich 007F","Total",1501,1501,0,0
"E01026828",2011,"Norwich 002A","Total",1744,1744,0,0
"E01026829",2011,"Norwich 002B","Total",2093,2063,30,0
"E01026830",2011,"Norwich 002C","Total",1276,1252,24,0
"E01026831",2011,"Norwich 002D","Total",1242,1242,0,0
"E01026832",2011,"Norwich 002E","Total",1415,1415,0,0
"E01026833",2011,"Norwich 002F","Total",1382,1382,0,0
"E01026834",2011,"Norwich 002G","Total",1503,1503,0,0
"E01026835",2011,"Norwich 009A","Total",1502,1453,49,0
"E01026836",2011,"Norwich 009B","Total",1566,1566,0,0
"E01026837",2011,"Norwich 009C","Total",1471,1448,23,0
"E01026838",2011,"Norwich 009D","Total",1551,1551,0,0
"E01026839",2011,"Norwich 009E","Total",1596,1592,4,0
"E01026840",2011,"Norwich 009F","Total",1611,1604,7,0
"E01026841",2011,"Norwich 003A","Total",1453,1428,25,0
"E01026842",2011,"Norwich 003B","Total",1648,1628,20,0
"E01026843",2011,"Norwich 003C","Total",1905,1871,34,0
"E01026844",2011,"Norwich 003D","Total",1741,1741,0,0
"E01026845",2011,"Norwich 003E","Total",1561,1561,0,0
"E01026846",2011,"Norwich 003F","Total",1626,1609,17,0
"E01026848",2011,"Norwich 015A","Total",1856,1823,33,0
"E01026849",2011,"Norwich 015B","Total",1738,1677,61,0
"E01026850",2011,"Norwich 015C","Total",1827,1827,0,0
"E01026852",2011,"Norwich 011A","Total",1295,1234,61,0
"E01026853",2011,"Norwich 011B","Total",1751,1746,5,0
"E01026855",2011,"Norwich 011D","Total",1568,1564,4,0
"E01026856",2011,"Norwich 011E","Total",1821,1821,0,0
"E01026857",2011,"Norwich 011F","Total",1515,1515,0,0
"E01026858",2011,"Norwich 010A","Total",1512,1508,4,0
"E01026859",2011,"Norwich 010B","Total",1659,1659,0,0
"E01026860",2011,"Norwich 010C","Total",4313,1098,3215,0
"E01026861",2011,"Norwich 010D","Total",1493,1493,0,0
"E01026862",2011,"Norwich 010E","Total",1302,1302,0,0
"E01026863",2011,"Norwich 006A","Total",1814,1814,0,0
"E01026864",2011,"Norwich 006B","Total",1547,1547,0,0
"E01026865",2011,"Norwich 006C","Total",1949,1949,0,0
"E01026866",2011,"Norwich 006D","Total",1574,1574,0,0
"E01026867",2011,"Norwich 006E","Total",1592,1592,0,0
"E01026868",2011,"Norwich 006F","Total",1628,1623,5,0
"E01026869",2011,"Norwich 006G","Total",1400,1400,0,0
"E01033434",2011,"Norwich 011G","Total",1076,1076,0,0
"E01033435",2011,"Norwich 005G","Total",1845,1845,0,0
"E01033436",2011,"Norwich 005H","Total",1393,1383,10,0
"E01033437",2011,"Norwich 011H","Total",1378,1334,44,0
"E01033438",2011,"Norwich 014A","Total",1397,1350,47,0
"E01033439",2011,"Norwich 014B","Total",1440,1357,83,0
"E01033440",2011,"Norwich 014C","Total",1070,1070,0,0
"E01033441",2011,"Norwich 014D","Total",1229,1229,0,0
