"lsoa11cd","date","lsoa11nm","Rural Urban","Area/Population Density: All usual residents; measures: Value","Area/Population Density: Area Hectares; measures: Value","Area/Population Density: Density (number of persons per hectare); measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,20.52,71.9
"E01026792",2011,"Norwich 005B","Total",1445,35.61,40.6
"E01026793",2011,"Norwich 005C","Total",1817,29.22,62.2
"E01026794",2011,"Norwich 005D","Total",2065,75.62,27.3
"E01026796",2011,"Norwich 005F","Total",1643,37.28,44.1
"E01026797",2011,"Norwich 001A","Total",2402,363.68,6.6
"E01026798",2011,"Norwich 001B","Total",1533,22.57,67.9
"E01026799",2011,"Norwich 001C","Total",1459,24.09,60.6
"E01026800",2011,"Norwich 001D","Total",1991,35.78,55.6
"E01026801",2011,"Norwich 001E","Total",1606,36.43,44.1
"E01026802",2011,"Norwich 001F","Total",1605,84.64,19
"E01026803",2011,"Norwich 004A","Total",1438,23.26,61.8
"E01026804",2011,"Norwich 004B","Total",1429,58.52,24.4
"E01026805",2011,"Norwich 004C","Total",1421,31.88,44.6
"E01026806",2011,"Norwich 004D","Total",1503,45.95,32.7
"E01026807",2011,"Norwich 004E","Total",1252,22.39,55.9
"E01026808",2011,"Norwich 004F","Total",1320,21.72,60.8
"E01026809",2011,"Norwich 004G","Total",1492,26.24,56.9
"E01026810",2011,"Norwich 012A","Total",1389,123.43,11.3
"E01026811",2011,"Norwich 012B","Total",1544,97.92,15.8
"E01026812",2011,"Norwich 012C","Total",1425,94.02,15.2
"E01026813",2011,"Norwich 012D","Total",1426,91.75,15.5
"E01026814",2011,"Norwich 012E","Total",1522,42.49,35.8
"E01026815",2011,"Norwich 012F","Total",1475,45.75,32.2
"E01026816",2011,"Norwich 013A","Total",1741,28.22,61.7
"E01026817",2011,"Norwich 013B","Total",1415,61.81,22.9
"E01026818",2011,"Norwich 013C","Total",1462,65.13,22.4
"E01026819",2011,"Norwich 013D","Total",1439,20.61,69.8
"E01026820",2011,"Norwich 013E","Total",1727,45.39,38
"E01026821",2011,"Norwich 013F","Total",1542,98.09,15.7
"E01026822",2011,"Norwich 007A","Total",2031,75.71,26.8
"E01026823",2011,"Norwich 007B","Total",1906,46.52,41
"E01026824",2011,"Norwich 007C","Total",1471,23.41,62.8
"E01026825",2011,"Norwich 007D","Total",1276,24.19,52.7
"E01026826",2011,"Norwich 007E","Total",1456,34.14,42.6
"E01026827",2011,"Norwich 007F","Total",1501,32.64,46
"E01026828",2011,"Norwich 002A","Total",1744,120.07,14.5
"E01026829",2011,"Norwich 002B","Total",2093,37.79,55.4
"E01026830",2011,"Norwich 002C","Total",1276,29.22,43.7
"E01026831",2011,"Norwich 002D","Total",1242,15.76,78.8
"E01026832",2011,"Norwich 002E","Total",1415,22.58,62.7
"E01026833",2011,"Norwich 002F","Total",1382,23.91,57.8
"E01026834",2011,"Norwich 002G","Total",1503,25.68,58.5
"E01026835",2011,"Norwich 009A","Total",1502,18.54,81
"E01026836",2011,"Norwich 009B","Total",1566,25.74,60.8
"E01026837",2011,"Norwich 009C","Total",1471,22.43,65.6
"E01026838",2011,"Norwich 009D","Total",1551,22.12,70.1
"E01026839",2011,"Norwich 009E","Total",1596,11.55,138.2
"E01026840",2011,"Norwich 009F","Total",1611,15.53,103.7
"E01026841",2011,"Norwich 003A","Total",1453,12.84,113.2
"E01026842",2011,"Norwich 003B","Total",1648,27.44,60.1
"E01026843",2011,"Norwich 003C","Total",1905,35.72,53.3
"E01026844",2011,"Norwich 003D","Total",1741,29.51,59
"E01026845",2011,"Norwich 003E","Total",1561,14.04,111.2
"E01026846",2011,"Norwich 003F","Total",1626,15.3,106.3
"E01026848",2011,"Norwich 015A","Total",1856,38.91,47.7
"E01026849",2011,"Norwich 015B","Total",1738,55.19,31.5
"E01026850",2011,"Norwich 015C","Total",1827,41.34,44.2
"E01026852",2011,"Norwich 011A","Total",1295,41.1,31.5
"E01026853",2011,"Norwich 011B","Total",1751,29.79,58.8
"E01026855",2011,"Norwich 011D","Total",1568,30.72,51
"E01026856",2011,"Norwich 011E","Total",1821,15.67,116.2
"E01026857",2011,"Norwich 011F","Total",1515,50.47,30
"E01026858",2011,"Norwich 010A","Total",1512,33.07,45.7
"E01026859",2011,"Norwich 010B","Total",1659,27.29,60.8
"E01026860",2011,"Norwich 010C","Total",4313,155.69,27.7
"E01026861",2011,"Norwich 010D","Total",1493,40.12,37.2
"E01026862",2011,"Norwich 010E","Total",1302,29.03,44.9
"E01026863",2011,"Norwich 006A","Total",1814,78.56,23.1
"E01026864",2011,"Norwich 006B","Total",1547,137.63,11.2
"E01026865",2011,"Norwich 006C","Total",1949,33.91,57.5
"E01026866",2011,"Norwich 006D","Total",1574,50.03,31.5
"E01026867",2011,"Norwich 006E","Total",1592,28,56.9
"E01026868",2011,"Norwich 006F","Total",1628,26.67,61
"E01026869",2011,"Norwich 006G","Total",1400,18.13,77.2
"E01033434",2011,"Norwich 011G","Total",1076,11.53,93.3
"E01033435",2011,"Norwich 005G","Total",1845,52,35.5
"E01033436",2011,"Norwich 005H","Total",1393,73.69,18.9
"E01033437",2011,"Norwich 011H","Total",1378,17.65,78.1
"E01033438",2011,"Norwich 014A","Total",1397,50.41,27.7
"E01033439",2011,"Norwich 014B","Total",1440,62.26,23.1
"E01033440",2011,"Norwich 014C","Total",1070,16.18,66.1
"E01033441",2011,"Norwich 014D","Total",1229,85.17,14.4
