"lsoa11cd","date","lsoa11nm","Rural Urban","Sex: All persons; measures: Value","Sex: Males; measures: Value","Sex: Females; measures: Value"
"E01026791",2011,"Norwich 005A","Total",10,6,4
"E01026792",2011,"Norwich 005B","Total",12,6,6
"E01026793",2011,"Norwich 005C","Total",14,8,6
"E01026794",2011,"Norwich 005D","Total",9,3,6
"E01026796",2011,"Norwich 005F","Total",11,6,5
"E01026797",2011,"Norwich 001A","Total",18,10,8
"E01026798",2011,"Norwich 001B","Total",11,6,5
"E01026799",2011,"Norwich 001C","Total",8,3,5
"E01026800",2011,"Norwich 001D","Total",19,8,11
"E01026801",2011,"Norwich 001E","Total",14,7,7
"E01026802",2011,"Norwich 001F","Total",11,4,7
"E01026803",2011,"Norwich 004A","Total",4,2,2
"E01026804",2011,"Norwich 004B","Total",7,3,4
"E01026805",2011,"Norwich 004C","Total",7,2,5
"E01026806",2011,"Norwich 004D","Total",9,3,6
"E01026807",2011,"Norwich 004E","Total",8,4,4
"E01026808",2011,"Norwich 004F","Total",1,0,1
"E01026809",2011,"Norwich 004G","Total",7,1,6
"E01026810",2011,"Norwich 012A","Total",35,20,15
"E01026811",2011,"Norwich 012B","Total",50,25,25
"E01026812",2011,"Norwich 012C","Total",36,19,17
"E01026813",2011,"Norwich 012D","Total",31,17,14
"E01026814",2011,"Norwich 012E","Total",21,10,11
"E01026815",2011,"Norwich 012F","Total",56,25,31
"E01026816",2011,"Norwich 013A","Total",10,9,1
"E01026817",2011,"Norwich 013B","Total",12,4,8
"E01026818",2011,"Norwich 013C","Total",10,4,6
"E01026819",2011,"Norwich 013D","Total",10,5,5
"E01026820",2011,"Norwich 013E","Total",8,4,4
"E01026821",2011,"Norwich 013F","Total",8,4,4
"E01026822",2011,"Norwich 007A","Total",18,9,9
"E01026823",2011,"Norwich 007B","Total",26,14,12
"E01026824",2011,"Norwich 007C","Total",8,4,4
"E01026825",2011,"Norwich 007D","Total",9,3,6
"E01026826",2011,"Norwich 007E","Total",2,2,0
"E01026827",2011,"Norwich 007F","Total",2,1,1
"E01026828",2011,"Norwich 002A","Total",10,3,7
"E01026829",2011,"Norwich 002B","Total",7,3,4
"E01026830",2011,"Norwich 002C","Total",7,4,3
"E01026831",2011,"Norwich 002D","Total",9,3,6
"E01026832",2011,"Norwich 002E","Total",5,3,2
"E01026833",2011,"Norwich 002F","Total",3,1,2
"E01026834",2011,"Norwich 002G","Total",3,1,2
"E01026835",2011,"Norwich 009A","Total",22,10,12
"E01026836",2011,"Norwich 009B","Total",41,19,22
"E01026837",2011,"Norwich 009C","Total",43,15,28
"E01026838",2011,"Norwich 009D","Total",26,11,15
"E01026839",2011,"Norwich 009E","Total",12,5,7
"E01026840",2011,"Norwich 009F","Total",21,10,11
"E01026841",2011,"Norwich 003A","Total",3,0,3
"E01026842",2011,"Norwich 003B","Total",10,5,5
"E01026843",2011,"Norwich 003C","Total",7,3,4
"E01026844",2011,"Norwich 003D","Total",7,3,4
"E01026845",2011,"Norwich 003E","Total",3,2,1
"E01026846",2011,"Norwich 003F","Total",12,3,9
"E01026848",2011,"Norwich 015A","Total",11,6,5
"E01026849",2011,"Norwich 015B","Total",23,11,12
"E01026850",2011,"Norwich 015C","Total",18,10,8
"E01026852",2011,"Norwich 011A","Total",32,15,17
"E01026853",2011,"Norwich 011B","Total",16,7,9
"E01026855",2011,"Norwich 011D","Total",24,14,10
"E01026856",2011,"Norwich 011E","Total",33,10,23
"E01026857",2011,"Norwich 011F","Total",32,16,16
"E01026858",2011,"Norwich 010A","Total",20,8,12
"E01026859",2011,"Norwich 010B","Total",17,6,11
"E01026860",2011,"Norwich 010C","Total",114,51,63
"E01026861",2011,"Norwich 010D","Total",11,3,8
"E01026862",2011,"Norwich 010E","Total",24,14,10
"E01026863",2011,"Norwich 006A","Total",19,7,12
"E01026864",2011,"Norwich 006B","Total",11,6,5
"E01026865",2011,"Norwich 006C","Total",12,6,6
"E01026866",2011,"Norwich 006D","Total",18,8,10
"E01026867",2011,"Norwich 006E","Total",15,6,9
"E01026868",2011,"Norwich 006F","Total",3,2,1
"E01026869",2011,"Norwich 006G","Total",1,1,0
"E01033434",2011,"Norwich 011G","Total",13,6,7
"E01033435",2011,"Norwich 005G","Total",20,7,13
"E01033436",2011,"Norwich 005H","Total",13,4,9
"E01033437",2011,"Norwich 011H","Total",13,6,7
"E01033438",2011,"Norwich 014A","Total",14,9,5
"E01033439",2011,"Norwich 014B","Total",10,5,5
"E01033440",2011,"Norwich 014C","Total",10,7,3
"E01033441",2011,"Norwich 014D","Total",8,6,2
