"lsoa11cd","date","lsoa11nm","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple: Total; measures: Value","Living Arrangement: Living in a couple: Married; measures: Value","Living Arrangement: Living in a couple: Cohabiting (opposite-sex); measures: Value","Living Arrangement: Living in a couple: In a registered same-sex civil partnership or cohabiting (same-sex); measures: Value","Living Arrangement: Not living in a couple: Total; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1164,542,384,142,16,622,407,8,25,125,57
"E01026792",2011,"Norwich 005B","Total",1167,702,538,154,10,465,256,11,27,98,73
"E01026793",2011,"Norwich 005C","Total",1283,686,478,198,10,597,406,15,30,84,62
"E01026794",2011,"Norwich 005D","Total",1635,998,712,276,10,637,413,9,36,121,58
"E01026796",2011,"Norwich 005F","Total",1343,504,380,122,2,839,603,15,20,101,100
"E01026797",2011,"Norwich 001A","Total",1934,1148,712,404,32,786,501,36,46,136,67
"E01026798",2011,"Norwich 001B","Total",1179,598,428,162,8,581,343,12,41,131,54
"E01026799",2011,"Norwich 001C","Total",1146,670,470,192,8,476,283,7,21,108,57
"E01026800",2011,"Norwich 001D","Total",1545,736,418,288,30,809,509,20,53,155,72
"E01026801",2011,"Norwich 001E","Total",1340,872,706,152,14,468,282,5,16,71,94
"E01026802",2011,"Norwich 001F","Total",1289,674,470,194,10,615,372,9,36,134,64
"E01026803",2011,"Norwich 004A","Total",1123,612,426,180,6,511,243,12,21,112,123
"E01026804",2011,"Norwich 004B","Total",1176,728,602,120,6,448,239,22,22,67,98
"E01026805",2011,"Norwich 004C","Total",1139,640,496,134,10,499,264,4,35,78,118
"E01026806",2011,"Norwich 004D","Total",976,638,522,106,10,338,174,9,14,67,74
"E01026807",2011,"Norwich 004E","Total",965,562,358,192,12,403,228,12,29,89,45
"E01026808",2011,"Norwich 004F","Total",957,472,296,150,26,485,309,14,32,89,41
"E01026809",2011,"Norwich 004G","Total",1234,628,434,188,6,606,350,4,26,130,96
"E01026810",2011,"Norwich 012A","Total",1175,726,628,96,2,449,249,7,15,71,107
"E01026811",2011,"Norwich 012B","Total",1328,880,776,92,12,448,210,12,17,64,145
"E01026812",2011,"Norwich 012C","Total",1201,814,702,108,4,387,214,9,16,77,71
"E01026813",2011,"Norwich 012D","Total",1239,856,768,78,10,383,203,11,6,55,108
"E01026814",2011,"Norwich 012E","Total",1255,616,482,124,10,639,404,10,16,78,131
"E01026815",2011,"Norwich 012F","Total",1210,716,584,130,2,494,328,11,17,72,66
"E01026816",2011,"Norwich 013A","Total",1465,684,372,286,26,781,478,24,34,161,84
"E01026817",2011,"Norwich 013B","Total",1177,632,452,164,16,545,242,12,31,115,145
"E01026818",2011,"Norwich 013C","Total",1147,632,436,184,12,515,284,11,34,109,77
"E01026819",2011,"Norwich 013D","Total",1098,528,336,182,10,570,360,8,32,123,47
"E01026820",2011,"Norwich 013E","Total",1340,726,518,202,6,614,310,11,27,126,140
"E01026821",2011,"Norwich 013F","Total",1254,692,516,162,14,562,292,15,18,92,145
"E01026822",2011,"Norwich 007A","Total",1817,708,382,300,26,1109,713,27,45,182,142
"E01026823",2011,"Norwich 007B","Total",1691,656,346,280,30,1035,732,29,37,166,71
"E01026824",2011,"Norwich 007C","Total",1306,492,304,170,18,814,501,16,40,175,82
"E01026825",2011,"Norwich 007D","Total",1139,490,242,242,6,649,447,10,31,109,52
"E01026826",2011,"Norwich 007E","Total",1229,426,198,210,18,803,483,10,32,167,111
"E01026827",2011,"Norwich 007F","Total",1303,498,272,212,14,805,400,23,30,210,142
"E01026828",2011,"Norwich 002A","Total",1271,694,490,196,8,577,357,14,27,117,62
"E01026829",2011,"Norwich 002B","Total",1587,790,462,310,18,797,553,27,35,130,52
"E01026830",2011,"Norwich 002C","Total",1072,512,330,172,10,560,328,18,23,110,81
"E01026831",2011,"Norwich 002D","Total",1075,506,240,246,20,569,418,9,30,86,26
"E01026832",2011,"Norwich 002E","Total",1012,560,406,146,8,452,286,4,22,83,57
"E01026833",2011,"Norwich 002F","Total",1079,504,298,198,8,575,328,18,38,125,66
"E01026834",2011,"Norwich 002G","Total",1153,638,430,200,8,515,282,11,27,107,88
"E01026835",2011,"Norwich 009A","Total",1263,472,286,170,16,791,632,11,23,86,39
"E01026836",2011,"Norwich 009B","Total",1302,624,436,180,8,678,541,12,27,69,29
"E01026837",2011,"Norwich 009C","Total",1261,586,394,180,12,675,493,14,22,87,59
"E01026838",2011,"Norwich 009D","Total",1278,668,486,174,8,610,470,13,16,66,45
