"lsoa11cd","date","lsoa11nm","Rural Urban","Adult Lifestage: All categories: Adult lifestage; measures: Value","Adult Lifestage: Age 16 to 24: Total; measures: Value","Adult Lifestage: Age 16 to 24: No dependent children in household; measures: Value","Adult Lifestage: Age 16 to 24: Dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Total; measures: Value","Adult Lifestage: Age 25 to 34: No dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 35 to 54: Total; measures: Value","Adult Lifestage: Age 35 to 54: No dependent children in household; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 55 to 64: Total; measures: Value","Adult Lifestage: Age 55 to 64: One person household; measures: Value","Adult Lifestage: Age 55 to 64: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 55 to 64: Dependent children in household; measures: Value","Adult Lifestage: Age 65 to 74: Total; measures: Value","Adult Lifestage: Age 65 to 74: One person household; measures: Value","Adult Lifestage: Age 65 to 74: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 65 to 74: Dependent children in household; measures: Value","Adult Lifestage: Age 75 and over: Total; measures: Value","Adult Lifestage: Age 75 and over: One person household; measures: Value","Adult Lifestage: Age 75 and over: Two or more person household; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1164,279,188,91,184,81,77,21,5,0,402,237,55,48,40,22,163,45,110,8,90,40,50,0,46,31,15
"E01026792",2011,"Norwich 005B","Total",1167,164,87,77,210,98,87,13,9,3,371,201,70,42,36,22,189,36,141,12,118,25,91,2,115,55,60
"E01026793",2011,"Norwich 005C","Total",1283,285,155,130,265,86,131,46,2,0,408,184,73,64,62,25,135,18,94,23,110,20,86,4,80,26,54
"E01026794",2011,"Norwich 005D","Total",1635,237,136,101,375,205,133,29,5,3,577,326,84,66,77,24,250,43,195,12,116,21,94,1,80,35,45
"E01026796",2011,"Norwich 005F","Total",1343,436,349,87,181,97,64,14,6,0,351,178,42,41,70,20,131,31,90,10,104,25,76,3,140,63,77
"E01026797",2011,"Norwich 001A","Total",1934,281,170,111,630,381,202,41,5,1,642,383,99,64,54,42,189,44,128,17,102,31,68,3,90,42,48
"E01026798",2011,"Norwich 001B","Total",1179,208,99,109,233,105,95,25,5,3,414,211,49,66,64,24,145,47,94,4,120,40,77,3,59,28,31
"E01026799",2011,"Norwich 001C","Total",1146,158,81,77,293,153,109,23,8,0,379,216,40,49,57,17,162,37,118,7,92,23,66,3,62,19,43
"E01026800",2011,"Norwich 001D","Total",1545,311,164,147,374,199,145,24,4,2,507,307,65,59,60,16,163,55,96,12,109,47,59,3,81,46,35
"E01026801",2011,"Norwich 001E","Total",1340,155,76,79,179,115,53,3,3,5,420,208,57,47,65,43,229,29,183,17,176,28,147,1,181,66,115
"E01026802",2011,"Norwich 001F","Total",1289,167,100,67,288,166,94,24,3,1,421,266,40,43,47,25,162,57,99,6,140,30,110,0,111,58,53
"E01026803",2011,"Norwich 004A","Total",1123,147,63,84,190,94,73,21,2,0,304,186,26,36,42,14,124,34,84,6,139,29,106,4,219,84,135
"E01026804",2011,"Norwich 004B","Total",1176,150,65,85,130,65,45,15,3,2,369,195,45,59,48,22,164,21,132,11,171,30,138,3,192,81,111
"E01026805",2011,"Norwich 004C","Total",1139,162,75,87,150,49,69,27,3,2,355,195,34,40,60,26,115,24,84,7,125,31,92,2,232,89,143
"E01026806",2011,"Norwich 004D","Total",976,87,44,43,141,82,45,11,1,2,279,155,25,38,42,19,189,30,147,12,178,31,145,2,102,36,66
"E01026807",2011,"Norwich 004E","Total",965,107,53,54,202,117,65,19,1,0,364,195,59,53,43,14,136,23,111,2,84,32,49,3,72,37,35
"E01026808",2011,"Norwich 004F","Total",957,183,77,106,168,63,82,22,1,0,366,187,47,49,61,22,95,20,58,17,75,34,36,5,70,34,36
"E01026809",2011,"Norwich 004G","Total",1234,175,89,86,228,114,87,20,5,2,357,238,42,23,38,16,119,46,69,4,166,41,124,1,189,79,110
"E01026810",2011,"Norwich 012A","Total",1175,139,87,52,106,71,28,7,0,0,333,154,53,67,39,20,193,27,155,11,191,39,149,3,213,88,125
"E01026811",2011,"Norwich 012B","Total",1328,107,49,58,82,65,16,1,0,0,392,150,72,69,74,27,253,35,202,16,217,41,175,1,277,129,148
"E01026812",2011,"Norwich 012C","Total",1201,130,65,65,123,78,37,5,1,2,394,169,59,77,67,22,239,44,178,17,158,27,127,4,157,54,103
"E01026813",2011,"Norwich 012D","Total",1239,126,66,60,85,59,19,5,1,1,342,128,61,73,56,24,219,21,185,13,218,28,188,2,249,97,152
"E01026814",2011,"Norwich 012E","Total",1255,253,190,63,156,100,43,10,3,0,361,187,54,54,53,13,159,26,116,17,122,22,96,4,204,94,110
"E01026815",2011,"Norwich 012F","Total",1210,197,138,59,170,125,37,6,1,1,383,138,56,74,89,26,189,32,144,13,138,34,101,3,133,58,75
"E01026816",2011,"Norwich 013A","Total",1465,196,148,48,390,304,63,20,3,0,469,316,56,50,37,10,169,72,90,7,99,39,57,3,142,95,47
"E01026817",2011,"Norwich 013B","Total",1177,131,67,64,177,101,59,14,3,0,324,173,46,50,33,22,202,55,138,9,175,73,100,2,168,107,61
"E01026818",2011,"Norwich 013C","Total",1147,159,70,89,225,100,88,29,7,1,385,202,36,53,73,21,173,33,133,7,79,23,53,3,126,46,80
"E01026819",2011,"Norwich 013D","Total",1098,213,94,119,205,111,58,30,5,1,407,225,46,67,42,27,124,35,79,10,73,22,46,5,76,32,44
"E01026820",2011,"Norwich 013E","Total",1340,195,80,115,193,86,84,16,6,1,427,200,74,61,74,18,174,48,112,14,145,57,83,5,206,110,96
"E01026821",2011,"Norwich 013F","Total",1254,165,82,83,183,74,69,28,11,1,369,209,45,47,39,29,175,38,125,12,128,32,94,2,234,102,132
"E01026822",2011,"Norwich 007A","Total",1817,319,263,56,496,431,47,15,3,0,428,352,36,22,9,9,203,101,98,4,155,84,71,0,216,135,81
"E01026823",2011,"Norwich 007B","Total",1691,323,282,41,478,428,41,5,3,1,468,397,18,27,9,17,187,77,103,7,126,51,74,1,109,65,44
"E01026824",2011,"Norwich 007C","Total",1306,212,165,47,277,212,57,8,0,0,373,281,42,20,20,10,191,95,95,1,130,68,61,1,123,78,45
"E01026825",2011,"Norwich 007D","Total",1139,227,182,45,283,226,44,11,1,1,349,255,36,28,18,12,137,57,72,8,69,30,38,1,74,48,26
"E01026826",2011,"Norwich 007E","Total",1229,168,127,41,342,264,60,15,3,0,361,275,31,19,27,9,119,62,51,6,88,61,27,0,151,113,38
"E01026827",2011,"Norwich 007F","Total",1303,182,120,62,246,160,58,21,4,3,324,236,34,26,14,14,184,99,83,2,174,101,71,2,193,124,69
"E01026828",2011,"Norwich 002A","Total",1271,239,111,128,240,94,111,28,3,4,459,218,91,59,63,28,137,25,101,11,107,27,78,2,89,32,57
"E01026829",2011,"Norwich 002B","Total",1587,303,191,112,501,293,145,55,8,0,457,263,70,72,36,16,156,33,110,13,105,35,69,1,65,28,37
"E01026830",2011,"Norwich 002C","Total",1072,156,96,60,241,162,59,16,4,0,297,203,30,28,24,12,110,42,66,2,148,44,103,1,120,68,52
"E01026831",2011,"Norwich 002D","Total",1075,202,169,33,333,268,52,10,2,1,376,266,34,47,17,12,82,30,48,4,51,16,35,0,31,17,14
"E01026832",2011,"Norwich 002E","Total",1012,167,63,104,187,68,97,16,4,2,361,140,65,70,63,23,119,22,80,17,102,19,78,5,76,32,44
"E01026833",2011,"Norwich 002F","Total",1079,191,92,99,227,125,76,21,5,0,367,215,52,42,48,10,99,42,46,11,106,44,60,2,89,51,38
"E01026834",2011,"Norwich 002G","Total",1153,169,79,90,184,74,80,22,7,1,411,195,63,57,74,22,165,39,121,5,120,44,71,5,104,54,50
"E01026835",2011,"Norwich 009A","Total",1263,416,378,38,257,218,30,8,1,0,313,164,63,48,30,8,150,48,83,19,75,29,41,5,52,22,30
