"lsoa11cd","date","lsoa11nm","Rural Urban","Household Lifestage: All categories: Household lifestage; measures: Value","Household Lifestage: Age of HRP under 35: Total; measures: Value","Household Lifestage: Age of HRP under 35: One person household; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Total; measures: Value","Household Lifestage: Age of HRP 35 to 54: One person household; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Total; measures: Value","Household Lifestage: Age of HRP 55 to 64: One person household; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Total; measures: Value","Household Lifestage: Age of HRP 65 and over: One person household; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: With dependent children; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,179,51,50,78,262,95,62,105,114,45,63,6,106,71,35,0
"E01026792",2011,"Norwich 005B","Total",627,123,14,39,70,225,50,75,100,116,36,72,8,163,80,82,1
"E01026793",2011,"Norwich 005C","Total",625,167,15,44,108,245,23,75,147,83,18,48,17,130,46,82,2
"E01026794",2011,"Norwich 005D","Total",844,202,42,67,93,357,69,137,151,153,43,103,7,132,56,74,2
"E01026796",2011,"Norwich 005F","Total",650,180,29,93,58,206,48,53,105,88,31,50,7,176,88,85,3
"E01026797",2011,"Norwich 001A","Total",1070,392,108,144,140,409,116,133,160,133,44,77,12,136,73,62,1
"E01026798",2011,"Norwich 001B","Total",670,170,51,35,84,274,84,63,127,98,47,50,1,128,68,60,0
"E01026799",2011,"Norwich 001C","Total",626,180,38,53,89,238,64,71,103,101,37,58,6,107,42,62,3
"E01026800",2011,"Norwich 001D","Total",901,283,78,72,133,354,138,87,129,118,55,54,9,146,93,52,1
"E01026801",2011,"Norwich 001E","Total",684,89,19,41,29,228,38,70,120,128,29,86,13,239,94,145,0
"E01026802",2011,"Norwich 001F","Total",785,210,67,59,84,285,117,75,93,115,57,54,4,175,88,87,0
"E01026803",2011,"Norwich 004A","Total",638,124,21,28,75,186,44,62,80,80,34,43,3,248,113,132,3
"E01026804",2011,"Norwich 004B","Total",633,80,14,22,44,213,41,70,102,97,21,69,7,243,111,130,2
"E01026805",2011,"Norwich 004C","Total",639,101,12,17,72,216,51,65,100,77,24,47,6,245,120,123,2
"E01026806",2011,"Norwich 004D","Total",508,57,6,25,26,155,28,53,74,117,30,80,7,179,67,112,0
"E01026807",2011,"Norwich 004E","Total",523,97,13,42,42,224,47,66,111,88,23,64,1,114,69,43,2
"E01026808",2011,"Norwich 004F","Total",516,119,23,22,74,221,43,65,113,63,20,30,13,113,68,41,4
"E01026809",2011,"Norwich 004G","Total",762,188,70,35,83,246,99,66,81,80,46,32,2,248,120,127,1
"E01026810",2011,"Norwich 012A","Total",635,62,17,24,21,189,34,55,100,113,27,79,7,271,127,142,2
"E01026811",2011,"Norwich 012B","Total",723,29,11,12,6,206,27,55,124,146,35,99,12,342,170,172,0
"E01026812",2011,"Norwich 012C","Total",639,63,10,31,22,231,43,64,124,143,44,89,10,202,81,121,0
"E01026813",2011,"Norwich 012D","Total",635,30,7,16,7,183,19,49,115,119,21,90,8,303,125,177,1
"E01026814",2011,"Norwich 012E","Total",653,111,16,65,30,216,45,65,106,91,26,57,8,235,116,113,6
"E01026815",2011,"Norwich 012F","Total",648,122,36,70,16,230,46,40,144,115,32,76,7,181,92,88,1
"E01026816",2011,"Norwich 013A","Total",934,277,99,122,56,337,141,99,97,127,72,50,5,193,134,57,2
"E01026817",2011,"Norwich 013B","Total",706,107,15,38,54,197,47,60,90,132,55,71,6,270,180,88,2
"E01026818",2011,"Norwich 013C","Total",626,138,25,32,81,229,46,68,115,113,33,75,5,146,69,73,4
"E01026819",2011,"Norwich 013D","Total",625,158,46,40,72,269,79,67,123,83,35,40,8,115,54,56,5
"E01026820",2011,"Norwich 013E","Total",755,112,18,24,70,265,39,82,144,112,48,54,10,266,167,96,3
"E01026821",2011,"Norwich 013F","Total",712,124,21,28,75,229,61,68,100,104,38,62,4,255,134,118,3
"E01026822",2011,"Norwich 007A","Total",1228,429,178,196,55,342,196,88,58,152,101,48,3,305,219,86,0
"E01026823",2011,"Norwich 007B","Total",1099,409,178,196,35,376,226,99,51,137,77,56,4,177,116,59,2
"E01026824",2011,"Norwich 007C","Total",868,238,81,104,53,283,154,67,62,144,95,48,1,203,146,56,1
"E01026825",2011,"Norwich 007D","Total",718,253,108,104,41,255,116,76,63,94,57,35,2,116,78,37,1
"E01026826",2011,"Norwich 007E","Total",864,280,125,100,55,276,154,59,63,97,62,31,4,211,174,37,0
"E01026827",2011,"Norwich 007F","Total",931,234,85,72,77,253,138,51,64,143,99,43,1,301,225,72,4
"E01026828",2011,"Norwich 002A","Total",664,155,23,36,96,287,55,77,155,86,25,52,9,136,59,73,4
"E01026829",2011,"Norwich 002B","Total",857,339,73,124,142,297,97,77,123,100,33,60,7,121,63,56,2
"E01026830",2011,"Norwich 002C","Total",682,195,63,68,64,219,95,57,67,75,42,32,1,193,112,80,1
"E01026831",2011,"Norwich 002D","Total",632,247,81,123,43,265,113,88,64,62,30,29,3,58,33,25,0
"E01026832",2011,"Norwich 002E","Total",498,84,6,20,58,211,20,52,139,79,22,46,11,124,51,69,4
"E01026833",2011,"Norwich 002F","Total",696,211,81,44,86,263,103,56,104,73,42,25,6,149,95,53,1
