"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family only: Total; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married couple: Total; measures: Value","Household Composition: One family only: Married couple: No children; measures: Value","Household Composition: One family only: Married couple: One dependent child; measures: Value","Household Composition: One family only: Married couple: Two or more dependent children; measures: Value","Household Composition: One family only: Married couple: All children non-dependent; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Total; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: One dependent child; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Two or more dependent children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple: Total; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: One dependent child; measures: Value","Household Composition: One family only: Cohabiting couple: Two or more dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent: Total; measures: Value","Household Composition: One family only: Lone parent: One dependent child; measures: Value","Household Composition: One family only: Lone parent: Two or more dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types: Total; measures: Value","Household Composition: Other household types: With one dependent child; measures: Value","Household Composition: Other household types: With two or more dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,262,71,191,1027,32,500,132,88,171,109,4,4,0,0,0,216,68,44,81,23,275,73,170,32,186,4,47,88,5,42
"E01026792",2011,"Norwich 005B","Total",1445,180,80,100,1137,104,640,172,122,230,116,0,0,0,0,0,221,82,48,88,3,172,80,38,54,128,18,27,30,2,51
"E01026793",2011,"Norwich 005C","Total",1817,102,46,56,1438,78,671,110,113,352,96,2,2,0,0,0,342,50,45,227,20,345,76,185,84,277,36,62,81,8,90
"E01026794",2011,"Norwich 005D","Total",2021,210,56,154,1598,88,902,238,199,294,171,2,2,0,0,0,352,144,77,110,21,254,79,90,85,213,37,37,17,2,120
"E01026796",2011,"Norwich 005F","Total",1636,196,88,108,988,97,471,98,79,207,87,0,0,0,0,0,171,30,58,80,3,249,63,114,72,452,28,23,261,6,134
"E01026797",2011,"Norwich 001A","Total",2400,341,73,268,1768,84,908,236,214,334,124,2,2,0,0,0,525,218,126,164,17,249,105,76,68,291,32,54,6,0,199
"E01026798",2011,"Norwich 001B","Total",1533,250,68,182,1152,64,587,128,128,244,87,2,2,0,0,0,227,74,39,108,6,272,89,124,59,131,28,41,3,4,55
"E01026799",2011,"Norwich 001C","Total",1459,181,42,139,1133,52,606,144,107,216,139,6,0,3,0,3,253,90,54,100,9,216,82,76,58,145,22,47,0,7,69
"E01026800",2011,"Norwich 001D","Total",1991,364,93,271,1293,62,536,120,104,239,73,5,2,3,0,0,350,144,93,106,7,340,138,153,49,334,76,73,15,4,166
"E01026801",2011,"Norwich 001E","Total",1560,180,94,86,1279,180,783,218,144,230,191,5,2,3,0,0,193,78,43,56,16,118,42,35,41,101,15,26,0,2,58
"E01026802",2011,"Norwich 001F","Total",1536,329,88,241,1092,116,531,136,128,193,74,4,4,0,0,0,237,100,61,61,15,204,93,41,70,115,20,0,8,3,84
"E01026803",2011,"Norwich 004A","Total",1388,212,113,99,1072,168,409,84,73,150,102,0,0,0,0,0,228,70,42,101,15,267,58,115,94,104,21,14,11,5,53
"E01026804",2011,"Norwich 004B","Total",1429,187,111,76,1130,190,600,174,80,248,98,2,2,0,0,0,150,54,32,53,11,188,45,85,58,112,24,27,0,6,55
"E01026805",2011,"Norwich 004C","Total",1421,207,120,87,1138,172,512,114,96,182,120,4,4,0,0,0,198,48,47,97,6,252,89,89,74,76,11,29,8,0,28
"E01026806",2011,"Norwich 004D","Total",1127,131,67,64,913,152,503,174,75,131,123,0,0,0,0,0,153,52,45,45,11,105,19,40,46,83,15,21,0,2,45
"E01026807",2011,"Norwich 004E","Total",1252,152,69,83,943,44,486,118,52,240,76,4,4,0,0,0,264,100,39,102,23,145,56,60,29,157,17,35,3,0,102
"E01026808",2011,"Norwich 004F","Total",1320,154,68,86,1016,42,424,74,43,231,76,9,6,0,0,3,242,58,34,129,21,299,95,160,44,150,24,62,3,4,57
"E01026809",2011,"Norwich 004G","Total",1483,335,120,215,1061,158,416,116,72,130,98,0,0,0,0,0,261,70,83,99,9,226,85,70,71,87,20,15,0,6,46
"E01026810",2011,"Norwich 012A","Total",1374,205,127,78,1017,196,594,196,102,203,93,0,0,0,0,0,116,38,16,46,16,111,18,50,43,152,23,24,45,5,55
"E01026811",2011,"Norwich 012B","Total",1525,243,170,73,1178,260,738,208,138,260,132,4,4,0,0,0,107,40,24,40,3,69,8,20,41,104,20,22,6,0,56
"E01026812",2011,"Norwich 012C","Total",1425,178,81,97,1164,172,760,214,180,261,105,0,0,0,0,0,132,72,21,36,3,100,25,21,54,83,7,30,4,3,39
"E01026813",2011,"Norwich 012D","Total",1426,172,125,47,1156,284,686,192,110,258,126,4,4,0,0,0,118,30,19,47,22,64,14,18,32,98,18,20,12,3,45
"E01026814",2011,"Norwich 012E","Total",1502,203,116,87,1043,130,531,112,86,213,120,4,0,0,4,0,177,52,44,72,9,201,43,75,83,256,11,16,120,10,99
"E01026815",2011,"Norwich 012F","Total",1450,206,92,114,1064,128,688,166,150,299,73,0,0,0,0,0,153,82,18,42,11,95,37,43,15,180,9,8,73,12,78
"E01026816",2011,"Norwich 013A","Total",1699,446,134,312,1016,66,415,154,87,132,42,4,4,0,0,0,341,216,46,72,7,190,70,77,43,237,27,21,9,7,173
"E01026817",2011,"Norwich 013B","Total",1415,297,180,117,1001,108,474,170,73,157,74,2,2,0,0,0,223,78,43,93,9,194,65,73,56,117,26,12,0,3,76
"E01026818",2011,"Norwich 013C","Total",1462,173,69,104,1148,92,514,138,115,185,76,2,2,0,0,0,246,70,47,111,18,294,87,128,79,141,34,19,2,4,82
"E01026819",2011,"Norwich 013D","Total",1439,214,54,160,1089,38,470,106,66,202,96,4,4,0,0,0,259,68,86,78,27,318,97,161,60,136,24,40,6,0,66
"E01026820",2011,"Norwich 013E","Total",1727,272,167,105,1319,130,609,126,130,228,125,0,0,0,0,0,294,62,52,164,16,286,85,135,66,136,36,28,0,6,66
"E01026821",2011,"Norwich 013F","Total",1542,254,134,120,1127,152,516,142,84,183,107,0,0,0,0,0,238,56,53,115,14,221,67,96,58,161,25,36,0,12,88
"E01026822",2011,"Norwich 007A","Total",1958,694,219,475,920,108,325,176,71,51,27,6,6,0,0,0,323,254,54,12,3,158,85,36,37,344,19,14,66,9,236
"E01026823",2011,"Norwich 007B","Total",1800,597,116,481,856,80,308,168,55,42,43,6,6,0,0,0,321,244,43,30,4,141,56,33,52,347,7,15,52,5,268
"E01026824",2011,"Norwich 007C","Total",1471,476,146,330,742,74,325,128,36,129,32,2,2,0,0,0,197,122,40,32,3,144,83,18,43,253,19,14,52,2,166
"E01026825",2011,"Norwich 007D","Total",1276,359,78,281,688,38,263,106,46,66,45,0,0,0,0,0,269,164,39,63,3,118,65,20,33,229,25,18,47,6,133
"E01026826",2011,"Norwich 007E","Total",1406,515,174,341,697,34,224,68,52,66,38,4,4,0,0,0,252,138,42,69,3,183,83,51,49,194,7,18,10,11,148
"E01026827",2011,"Norwich 007F","Total",1501,547,225,322,795,94,249,102,43,86,18,0,0,0,0,0,248,130,57,55,6,204,115,52,37,159,22,11,20,10,96
"E01026828",2011,"Norwich 002A","Total",1744,162,59,103,1421,78,681,126,131,302,122,0,0,0,0,0,324,48,61,191,24,338,97,177,64,161,19,25,7,2,108
"E01026829",2011,"Norwich 002B","Total",2063,266,63,203,1391,62,553,134,123,224,72,4,4,0,0,0,447,140,77,214,16,325,96,171,58,406,41,61,25,4,275
"E01026830",2011,"Norwich 002C","Total",1252,312,112,200,806,118,298,106,76,61,55,4,4,0,0,0,195,100,48,41,6,191,83,77,31,134,4,26,12,5,87
"E01026831",2011,"Norwich 002D","Total",1242,257,33,224,736,30,312,94,56,124,38,2,2,0,0,0,275,174,50,48,3,117,47,29,41,249,18,8,40,2,181
"E01026832",2011,"Norwich 002E","Total",1415,99,51,48,1165,74,546,96,101,250,99,3,0,0,0,3,231,26,55,147,3,311,64,176,71,151,34,44,13,0,60
"E01026833",2011,"Norwich 002F","Total",1382,321,95,226,946,60,356,92,84,127,53,2,2,0,0,0,273,84,72,111,6,255,97,120,38,115,35,24,3,9,44
"E01026834",2011,"Norwich 002G","Total",1503,206,98,108,1143,64,523,136,109,168,110,0,0,0,0,0,290,70,66,140,14,266,85,144,37,154,30,38,7,0,79
