"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition (alternative child and adult defintions); measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: One person aged 65 and over; measures: Value","Household Composition: One person household: One person aged under 65; measures: Value","Household Composition: Other households: Total; measures: Value","Household Composition: Other households: No adults or one adult and one or more children; measures: Value","Household Composition: Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children; measures: Value","Household Composition: Other households: Two adults and one or two children; measures: Value","Household Composition: Other households: Two adults aged 16 to 64 and no children; measures: Value","Household Composition: Other households: Two adults and three or more children; measures: Value","Household Composition: Other households: Three or more adults and one or more children; measures: Value","Household Composition: Other households: Three or more adults and no children; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,262,71,191,1213,174,70,250,214,90,111,304
"E01026792",2011,"Norwich 005B","Total",1445,180,80,100,1265,78,166,319,268,106,89,239
"E01026793",2011,"Norwich 005C","Total",1817,102,46,56,1715,202,152,341,186,273,221,340
"E01026794",2011,"Norwich 005D","Total",2021,210,56,154,1811,111,154,434,444,129,186,353
"E01026796",2011,"Norwich 005F","Total",1636,196,88,108,1440,141,162,178,160,134,155,510
"E01026797",2011,"Norwich 001A","Total",2400,341,73,268,2059,138,128,586,554,145,145,363
"E01026798",2011,"Norwich 001B","Total",1533,250,68,182,1283,141,128,271,204,134,200,205
"E01026799",2011,"Norwich 001C","Total",1459,181,42,139,1278,137,110,320,256,89,122,244
"E01026800",2011,"Norwich 001D","Total",1991,364,93,271,1627,200,100,353,318,166,219,271
"E01026801",2011,"Norwich 001E","Total",1560,180,94,86,1380,33,268,299,278,58,117,327
"E01026802",2011,"Norwich 001F","Total",1536,329,88,241,1207,104,168,307,286,74,65,203
"E01026803",2011,"Norwich 004A","Total",1388,212,113,99,1176,130,236,242,184,85,90,209
"E01026804",2011,"Norwich 004B","Total",1429,187,111,76,1242,90,262,228,228,71,157,206
"E01026805",2011,"Norwich 004C","Total",1421,207,120,87,1214,134,256,228,162,107,112,215
"E01026806",2011,"Norwich 004D","Total",1127,131,67,64,996,29,222,203,226,48,65,203
"E01026807",2011,"Norwich 004E","Total",1252,152,69,83,1100,77,80,222,246,180,93,202
"E01026808",2011,"Norwich 004F","Total",1320,154,68,86,1166,176,76,206,164,165,172,207
"E01026809",2011,"Norwich 004G","Total",1483,335,120,215,1148,117,224,238,212,95,85,177
"E01026810",2011,"Norwich 012A","Total",1374,205,127,78,1169,50,276,228,208,61,97,249
"E01026811",2011,"Norwich 012B","Total",1525,243,170,73,1282,12,342,294,224,42,126,242
"E01026812",2011,"Norwich 012C","Total",1425,178,81,97,1247,31,234,297,284,58,140,203
"E01026813",2011,"Norwich 012D","Total",1426,172,125,47,1254,10,352,273,192,47,115,265
"E01026814",2011,"Norwich 012E","Total",1502,203,116,87,1299,74,210,243,218,104,100,350
"E01026815",2011,"Norwich 012F","Total",1450,206,92,114,1244,46,170,350,258,46,104,270
"E01026816",2011,"Norwich 013A","Total",1699,446,134,312,1253,119,114,272,464,47,73,164
"E01026817",2011,"Norwich 013B","Total",1415,297,180,117,1118,103,174,250,254,73,68,196
"E01026818",2011,"Norwich 013C","Total",1462,173,69,104,1289,168,142,281,254,69,167,208
"E01026819",2011,"Norwich 013D","Total",1439,214,54,160,1225,172,96,264,228,119,133,213
"E01026820",2011,"Norwich 013E","Total",1727,272,167,105,1455,149,178,293,220,154,218,243
"E01026821",2011,"Norwich 013F","Total",1542,254,134,120,1288,106,218,291,220,112,78,263
"E01026822",2011,"Norwich 007A","Total",1958,694,219,475,1264,105,176,180,550,5,31,217
"E01026823",2011,"Norwich 007B","Total",1800,597,116,481,1203,65,122,139,574,16,19,268
"E01026824",2011,"Norwich 007C","Total",1471,476,146,330,995,87,116,187,352,46,30,177
"E01026825",2011,"Norwich 007D","Total",1276,359,78,281,917,56,70,206,352,15,29,189
