"lsoa11cd","date","lsoa11nm","Rural Urban","Household Type: All categories: Household type; measures: Value","Household Type: One person household; measures: Value","Household Type: Married couple household: With dependent children; measures: Value","Household Type: Married couple household: No dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: With dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: No dependent children; measures: Value","Household Type: Cohabiting couple household: With dependent children; measures: Value","Household Type: Cohabiting couple household: No dependent children; measures: Value","Household Type: Lone parent household: With dependent children; measures: Value","Household Type: Lone parent household: No dependent children; measures: Value","Household Type: Multi-person household: All full-time students; measures: Value","Household Type: Multi-person household: Other; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,262,72,118,0,2,32,44,85,16,19,11
"E01026792",2011,"Norwich 005B","Total",627,180,89,179,0,0,36,46,52,28,8,9
"E01026793",2011,"Norwich 005C","Total",625,102,111,128,0,1,64,38,96,44,20,21
"E01026794",2011,"Norwich 005D","Total",844,210,133,221,0,1,52,88,64,42,4,29
"E01026796",2011,"Norwich 005F","Total",650,196,69,121,0,0,35,27,66,37,66,33
"E01026797",2011,"Norwich 001A","Total",1070,341,151,204,0,1,84,127,76,35,3,48
"E01026798",2011,"Norwich 001B","Total",670,250,93,121,0,1,36,46,83,28,1,11
"E01026799",2011,"Norwich 001C","Total",626,181,91,143,1,1,41,56,66,29,0,17
"E01026800",2011,"Norwich 001D","Total",901,364,92,116,1,1,63,87,112,25,3,37
"E01026801",2011,"Norwich 001E","Total",684,180,97,256,1,1,27,54,35,19,0,14
"E01026802",2011,"Norwich 001F","Total",785,329,85,150,0,2,34,63,60,35,2,25
"E01026803",2011,"Norwich 004A","Total",638,212,55,158,0,0,39,52,64,47,2,9
"E01026804",2011,"Norwich 004B","Total",633,187,84,215,0,1,23,37,46,28,0,12
"E01026805",2011,"Norwich 004C","Total",639,207,68,179,0,2,38,31,72,35,2,5
"E01026806",2011,"Norwich 004D","Total",508,131,56,205,0,1,25,30,24,23,0,13
"E01026807",2011,"Norwich 004E","Total",523,152,67,112,0,2,36,64,50,20,1,19
"E01026808",2011,"Norwich 004F","Total",516,154,67,81,0,4,39,43,95,24,1,8
"E01026809",2011,"Norwich 004G","Total",762,335,52,165,0,0,49,47,63,37,0,14
"E01026810",2011,"Norwich 012A","Total",635,205,84,229,0,0,15,30,29,22,11,10
"E01026811",2011,"Norwich 012B","Total",723,243,112,275,0,2,17,32,11,22,2,7
"E01026812",2011,"Norwich 012C","Total",639,178,120,230,0,0,16,39,19,28,1,8
