"lsoa11cd","date","lsoa11nm","Rural Urban","Adults in Household: All categories: Number of adults in household; measures: Value","Adults in Household: 1 adult in household; measures: Value","Adults in Household: 0 or multiple adults in household; measures: Value"
"E01026791",2011,"Norwich 005A","Total",983,266,717
"E01026792",2011,"Norwich 005B","Total",908,138,770
"E01026793",2011,"Norwich 005C","Total",1039,135,904
"E01026794",2011,"Norwich 005D","Total",1393,208,1185
"E01026796",2011,"Norwich 005F","Total",1071,165,906
"E01026797",2011,"Norwich 001A","Total",1700,334,1366
"E01026798",2011,"Norwich 001B","Total",955,248,707
"E01026799",2011,"Norwich 001C","Total",961,198,763
"E01026800",2011,"Norwich 001D","Total",1304,368,936
"E01026801",2011,"Norwich 001E","Total",948,116,832
"E01026802",2011,"Norwich 001F","Total",1015,297,718
"E01026803",2011,"Norwich 004A","Total",735,156,579
"E01026804",2011,"Norwich 004B","Total",781,116,665
"E01026805",2011,"Norwich 004C","Total",742,151,591
"E01026806",2011,"Norwich 004D","Total",674,87,587
"E01026807",2011,"Norwich 004E","Total",778,124,654
"E01026808",2011,"Norwich 004F","Total",764,162,602
"E01026809",2011,"Norwich 004G","Total",852,270,582
"E01026810",2011,"Norwich 012A","Total",744,104,640
"E01026811",2011,"Norwich 012B","Total",800,87,713
"E01026812",2011,"Norwich 012C","Total",862,112,750
"E01026813",2011,"Norwich 012D","Total",742,56,686
"E01026814",2011,"Norwich 012E","Total",902,119,783
"E01026815",2011,"Norwich 012F","Total",907,144,763
"E01026816",2011,"Norwich 013A","Total",1199,370,829
"E01026817",2011,"Norwich 013B","Total",807,157,650
"E01026818",2011,"Norwich 013C","Total",900,174,726
"E01026819",2011,"Norwich 013D","Total",907,243,664
"E01026820",2011,"Norwich 013E","Total",942,173,769
"E01026821",2011,"Norwich 013F","Total",852,175,677
"E01026822",2011,"Norwich 007A","Total",1430,526,904
"E01026823",2011,"Norwich 007B","Total",1434,518,916
"E01026824",2011,"Norwich 007C","Total",1040,378,662
"E01026825",2011,"Norwich 007D","Total",982,315,667
"E01026826",2011,"Norwich 007E","Total",971,397,574
"E01026827",2011,"Norwich 007F","Total",919,391,528
"E01026828",2011,"Norwich 002A","Total",1024,184,840
"E01026829",2011,"Norwich 002B","Total",1389,286,1103
"E01026830",2011,"Norwich 002C","Total",772,259,513
"E01026831",2011,"Norwich 002D","Total",983,248,735
"E01026832",2011,"Norwich 002E","Total",782,101,681
"E01026833",2011,"Norwich 002F","Total",849,296,553
"E01026834",2011,"Norwich 002G","Total",896,179,717
"E01026835",2011,"Norwich 009A","Total",1117,226,891
"E01026836",2011,"Norwich 009B","Total",1147,185,962
"E01026837",2011,"Norwich 009C","Total",1058,269,789
"E01026838",2011,"Norwich 009D","Total",1094,147,947
"E01026839",2011,"Norwich 009E","Total",1319,206,1113
"E01026840",2011,"Norwich 009F","Total",1292,240,1052
"E01026841",2011,"Norwich 003A","Total",1114,272,842
"E01026842",2011,"Norwich 003B","Total",1221,289,932
"E01026843",2011,"Norwich 003C","Total",1245,293,952
"E01026844",2011,"Norwich 003D","Total",1146,338,808
"E01026845",2011,"Norwich 003E","Total",1224,296,928
"E01026846",2011,"Norwich 003F","Total",1221,309,912
"E01026848",2011,"Norwich 015A","Total",1192,436,756
"E01026849",2011,"Norwich 015B","Total",1295,365,930
"E01026850",2011,"Norwich 015C","Total",1352,358,994
"E01026852",2011,"Norwich 011A","Total",791,142,649
"E01026853",2011,"Norwich 011B","Total",1178,385,793
"E01026855",2011,"Norwich 011D","Total",1163,261,902
"E01026856",2011,"Norwich 011E","Total",1487,293,1194
"E01026857",2011,"Norwich 011F","Total",941,165,776
"E01026858",2011,"Norwich 010A","Total",891,226,665
"E01026859",2011,"Norwich 010B","Total",979,160,819
"E01026860",2011,"Norwich 010C","Total",699,83,616
"E01026861",2011,"Norwich 010D","Total",1018,106,912
"E01026862",2011,"Norwich 010E","Total",790,71,719
"E01026863",2011,"Norwich 006A","Total",1333,176,1157
"E01026864",2011,"Norwich 006B","Total",958,155,803
"E01026865",2011,"Norwich 006C","Total",1260,252,1008
"E01026866",2011,"Norwich 006D","Total",1137,272,865
"E01026867",2011,"Norwich 006E","Total",941,144,797
"E01026868",2011,"Norwich 006F","Total",1011,156,855
"E01026869",2011,"Norwich 006G","Total",842,275,567
"E01033434",2011,"Norwich 011G","Total",861,272,589
"E01033435",2011,"Norwich 005G","Total",1316,179,1137
"E01033436",2011,"Norwich 005H","Total",857,149,708
"E01033437",2011,"Norwich 011H","Total",899,381,518
"E01033438",2011,"Norwich 014A","Total",821,296,525
"E01033439",2011,"Norwich 014B","Total",1128,345,783
"E01033440",2011,"Norwich 014C","Total",906,367,539
"E01033441",2011,"Norwich 014D","Total",1050,418,632
