"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All families in households; measures: Value","Family Type: No dependent children in family; measures: Value","Family Type: One dependent child in family aged 0 to 4; measures: Value","Family Type: One dependent child in family aged 5 to 11; measures: Value","Family Type: One dependent child in family aged 12 to 18; measures: Value","Family Type: Two dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Two dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Two dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Three or more dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Three or more dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Three or more dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Total dependent children; measures: Value"
"E01026791",2011,"Norwich 005A","Total",372,182,33,23,22,35,25,15,25,10,2,353
"E01026792",2011,"Norwich 005B","Total",435,256,36,18,36,40,17,5,18,9,0,305
"E01026793",2011,"Norwich 005C","Total",487,212,36,22,39,47,34,16,57,22,2,580
"E01026794",2011,"Norwich 005D","Total",608,355,64,29,40,40,28,15,23,13,1,430
"E01026796",2011,"Norwich 005F","Total",358,186,24,15,39,21,22,10,29,10,2,327
"E01026797",2011,"Norwich 001A","Total",686,374,79,39,51,68,22,14,29,10,0,510
"E01026798",2011,"Norwich 001B","Total",411,199,34,22,41,27,25,16,31,15,1,396
"E01026799",2011,"Norwich 001C","Total",433,232,46,21,36,38,21,11,17,11,0,346
"E01026800",2011,"Norwich 001D","Total",508,238,88,28,37,32,20,11,33,20,1,490
"E01026801",2011,"Norwich 001E","Total",492,330,28,11,44,22,27,14,10,4,2,265
"E01026802",2011,"Norwich 001F","Total",432,253,52,31,25,25,14,15,12,5,0,274
"E01026803",2011,"Norwich 004A","Total",419,260,33,19,17,31,13,16,15,12,3,293
"E01026804",2011,"Norwich 004B","Total",440,285,19,15,26,28,23,13,16,12,3,292
"E01026805",2011,"Norwich 004C","Total",430,250,30,23,38,27,18,16,19,7,2,318
"E01026806",2011,"Norwich 004D","Total",368,262,21,8,22,11,22,11,6,4,1,178
"E01026807",2011,"Norwich 004E","Total",353,199,20,16,24,24,17,9,27,15,2,318
"E01026808",2011,"Norwich 004F","Total",359,154,27,16,34,26,29,17,38,14,4,412
"E01026809",2011,"Norwich 004G","Total",418,250,49,17,30,28,14,5,18,7,0,272
"E01026810",2011,"Norwich 012A","Total",416,285,17,19,21,24,19,12,5,13,1,233
"E01026811",2011,"Norwich 012B","Total",474,333,20,13,27,20,20,26,6,8,1,242
"E01026812",2011,"Norwich 012C","Total",455,300,26,14,33,18,32,16,10,6,0,257
"E01026813",2011,"Norwich 012D","Total",457,326,14,12,25,20,32,16,7,4,1,227
"E01026814",2011,"Norwich 012E","Total",392,242,20,14,29,25,21,12,15,13,1,276
"E01026815",2011,"Norwich 012F","Total",400,233,20,12,39,26,32,22,4,8,4,281
"E01026816",2011,"Norwich 013A","Total",429,269,43,25,21,23,20,10,11,6,1,257
"E01026817",2011,"Norwich 013B","Total",398,246,28,21,24,29,18,7,15,9,1,264
"E01026818",2011,"Norwich 013C","Total",442,237,35,28,36,30,28,18,17,13,0,352
"E01026819",2011,"Norwich 013D","Total",395,186,32,31,36,27,28,11,19,22,3,385
"E01026820",2011,"Norwich 013E","Total",471,247,36,24,40,33,27,17,33,11,3,432
"E01026821",2011,"Norwich 013F","Total",442,262,32,12,36,23,30,13,23,11,0,327
"E01026822",2011,"Norwich 007A","Total",434,317,57,18,14,14,8,1,2,2,1,150
"E01026823",2011,"Norwich 007B","Total",394,303,29,13,19,13,8,5,1,3,0,129
"E01026824",2011,"Norwich 007C","Total",321,206,42,12,18,25,4,4,5,5,0,179
"E01026825",2011,"Norwich 007D","Total",305,200,27,16,23,21,9,4,4,1,0,154
"E01026826",2011,"Norwich 007E","Total",297,176,33,21,20,18,7,7,12,3,0,193
"E01026827",2011,"Norwich 007F","Total",345,201,48,32,15,25,10,2,8,4,0,212
"E01026828",2011,"Norwich 002A","Total",477,214,42,19,45,45,30,18,50,12,2,521
"E01026829",2011,"Norwich 002B","Total",526,252,57,37,30,58,31,7,39,15,0,506
"E01026830",2011,"Norwich 002C","Total",339,205,47,18,19,17,15,7,7,4,0,200
"E01026831",2011,"Norwich 002D","Total",304,197,28,13,16,16,19,3,9,3,0,178
"E01026832",2011,"Norwich 002E","Total",394,182,27,18,36,28,25,16,41,18,3,445
"E01026833",2011,"Norwich 002F","Total",364,167,44,30,32,35,20,10,22,4,0,326
"E01026834",2011,"Norwich 002G","Total",427,211,35,25,43,31,30,14,27,11,0,385
"E01026835",2011,"Norwich 009A","Total",295,166,29,17,22,20,17,8,9,6,1,209
"E01026836",2011,"Norwich 009B","Total",369,198,24,20,32,23,29,16,15,9,3,298
"E01026837",2011,"Norwich 009C","Total",335,210,30,8,23,16,17,11,12,7,1,213
"E01026838",2011,"Norwich 009D","Total",382,207,26,17,30,32,40,13,11,5,1,299
"E01026839",2011,"Norwich 009E","Total",299,176,32,16,19,21,19,7,4,4,1,195
"E01026840",2011,"Norwich 009F","Total",405,266,37,24,27,18,21,5,4,1,2,201
"E01026841",2011,"Norwich 003A","Total",385,239,51,22,21,29,8,6,5,4,0,214
"E01026842",2011,"Norwich 003B","Total",444,296,43,10,19,35,20,6,10,4,1,246
"E01026843",2011,"Norwich 003C","Total",523,306,52,21,33,43,28,13,13,12,2,375
"E01026844",2011,"Norwich 003D","Total",488,270,41,28,28,41,31,10,28,10,1,399
"E01026845",2011,"Norwich 003E","Total",431,263,61,22,24,26,13,10,6,5,1,246
