"lsoa11cd","date","lsoa11nm","Rural Urban","Household Deprivation: All categories: Classification of household deprivation; measures: Value","Household Deprivation: Household is not deprived in any dimension; measures: Value","Household Deprivation: Household is deprived in 1 dimension; measures: Value","Household Deprivation: Household is deprived in 2 dimensions; measures: Value","Household Deprivation: Household is deprived in 3 dimensions; measures: Value","Household Deprivation: Household is deprived in 4 dimensions; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,213,214,160,63,11
"E01026792",2011,"Norwich 005B","Total",627,234,220,138,30,5
"E01026793",2011,"Norwich 005C","Total",625,183,208,170,61,3
"E01026794",2011,"Norwich 005D","Total",844,396,245,155,46,2
"E01026796",2011,"Norwich 005F","Total",650,192,229,174,51,4
"E01026797",2011,"Norwich 001A","Total",1070,500,353,169,45,3
"E01026798",2011,"Norwich 001B","Total",670,204,217,180,66,3
"E01026799",2011,"Norwich 001C","Total",626,211,237,128,47,3
"E01026800",2011,"Norwich 001D","Total",901,275,316,208,93,9
"E01026801",2011,"Norwich 001E","Total",684,319,235,108,22,0
"E01026802",2011,"Norwich 001F","Total",785,284,270,178,44,9
"E01026803",2011,"Norwich 004A","Total",638,182,213,196,41,6
"E01026804",2011,"Norwich 004B","Total",633,208,254,143,27,1
"E01026805",2011,"Norwich 004C","Total",639,171,230,196,39,3
"E01026806",2011,"Norwich 004D","Total",508,206,187,98,17,0
"E01026807",2011,"Norwich 004E","Total",523,238,183,80,21,1
"E01026808",2011,"Norwich 004F","Total",516,132,184,143,53,4
"E01026809",2011,"Norwich 004G","Total",762,196,246,246,71,3
"E01026810",2011,"Norwich 012A","Total",635,306,193,124,12,0
"E01026811",2011,"Norwich 012B","Total",723,400,227,90,6,0
"E01026812",2011,"Norwich 012C","Total",639,371,214,49,5,0
"E01026813",2011,"Norwich 012D","Total",635,347,218,66,3,1
"E01026814",2011,"Norwich 012E","Total",653,228,229,167,28,1
"E01026815",2011,"Norwich 012F","Total",648,407,189,45,7,0
"E01026816",2011,"Norwich 013A","Total",934,448,278,153,48,7
"E01026817",2011,"Norwich 013B","Total",706,239,257,149,59,2
"E01026818",2011,"Norwich 013C","Total",626,201,204,167,51,3
"E01026819",2011,"Norwich 013D","Total",625,207,193,156,66,3
"E01026820",2011,"Norwich 013E","Total",755,205,258,220,68,4
"E01026821",2011,"Norwich 013F","Total",712,182,260,219,50,1
"E01026822",2011,"Norwich 007A","Total",1228,472,397,247,102,10
"E01026823",2011,"Norwich 007B","Total",1099,514,332,188,56,9
