"lsoa11cd","date","lsoa11nm","Rural Urban","Ethnic Group: All categories: Ethnic group; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,1319,1229,14,1,75,27,12,6,2,7,85,21,4,1,6,53,37,30,1,6,7,3,4
"E01026792",2011,"Norwich 005B","Total",1445,1305,1244,10,2,49,13,2,3,3,5,94,11,5,7,5,66,24,21,1,2,9,3,6
"E01026793",2011,"Norwich 005C","Total",1817,1620,1530,11,0,79,53,11,13,10,19,80,21,5,3,9,42,44,37,4,3,20,16,4
"E01026794",2011,"Norwich 005D","Total",2065,1842,1774,5,1,62,28,9,7,5,7,98,29,16,0,3,50,23,17,6,0,74,63,11
"E01026796",2011,"Norwich 005F","Total",1643,1443,1349,12,3,79,38,14,4,11,9,87,34,4,2,19,28,69,63,5,1,6,3,3
"E01026797",2011,"Norwich 001A","Total",2402,2188,1954,5,1,228,55,16,11,14,14,90,13,0,18,11,48,51,50,0,1,18,4,14
"E01026798",2011,"Norwich 001B","Total",1533,1414,1326,0,3,85,18,2,1,12,3,76,13,0,23,14,26,18,16,1,1,7,2,5
"E01026799",2011,"Norwich 001C","Total",1459,1385,1276,7,1,101,31,5,8,7,11,33,4,0,14,5,10,6,4,0,2,4,0,4
"E01026800",2011,"Norwich 001D","Total",1991,1807,1636,8,3,160,66,11,22,10,23,46,7,6,4,7,22,64,57,7,0,8,5,3
"E01026801",2011,"Norwich 001E","Total",1606,1558,1478,13,0,67,10,5,3,2,0,19,7,0,6,5,1,17,15,1,1,2,1,1
"E01026802",2011,"Norwich 001F","Total",1605,1496,1417,5,4,70,29,14,2,10,3,43,10,2,12,12,7,27,24,1,2,10,3,7
"E01026803",2011,"Norwich 004A","Total",1438,1379,1347,1,1,30,25,11,12,1,1,19,4,0,9,1,5,11,6,4,1,4,2,2
"E01026804",2011,"Norwich 004B","Total",1429,1367,1332,3,0,32,35,11,3,8,13,7,0,0,0,0,7,18,15,1,2,2,0,2
"E01026805",2011,"Norwich 004C","Total",1421,1380,1353,3,1,23,13,5,3,4,1,10,0,0,9,0,1,13,7,3,3,5,2,3
"E01026806",2011,"Norwich 004D","Total",1503,1405,1367,4,2,32,39,9,14,7,9,31,3,0,5,1,22,27,9,11,7,1,0,1
"E01026807",2011,"Norwich 004E","Total",1252,1173,1121,8,0,44,31,4,8,11,8,24,4,0,0,13,7,21,10,5,6,3,1,2
"E01026808",2011,"Norwich 004F","Total",1320,1240,1172,6,1,61,25,9,7,1,8,27,2,0,16,1,8,24,18,0,6,4,0,4
"E01026809",2011,"Norwich 004G","Total",1492,1451,1415,5,1,30,19,11,1,3,4,10,0,0,0,5,5,7,6,1,0,5,5,0
"E01026810",2011,"Norwich 012A","Total",1389,1284,1222,16,3,43,30,4,2,18,6,61,28,2,2,11,18,7,3,4,0,7,6,1
"E01026811",2011,"Norwich 012B","Total",1544,1469,1391,18,0,60,21,3,1,9,8,42,31,0,0,5,6,5,3,2,0,7,1,6
"E01026812",2011,"Norwich 012C","Total",1425,1293,1232,12,0,49,21,0,6,5,10,72,48,1,0,12,11,33,22,8,3,6,6,0
"E01026813",2011,"Norwich 012D","Total",1426,1301,1247,5,0,49,23,2,4,15,2,89,52,7,1,10,19,9,9,0,0,4,2,2
"E01026814",2011,"Norwich 012E","Total",1522,1390,1317,6,0,67,23,9,5,5,4,77,16,6,10,24,21,14,8,5,1,18,9,9
"E01026815",2011,"Norwich 012F","Total",1475,1320,1234,19,0,67,33,7,6,9,11,83,41,1,5,18,18,30,23,6,1,9,7,2
"E01026816",2011,"Norwich 013A","Total",1741,1570,1462,12,3,93,46,7,11,22,6,82,41,4,22,7,8,32,23,7,2,11,2,9
"E01026817",2011,"Norwich 013B","Total",1415,1335,1277,5,0,53,28,8,2,6,12,27,6,5,1,4,11,19,13,2,4,6,2,4
"E01026818",2011,"Norwich 013C","Total",1462,1352,1293,8,1,50,40,4,14,14,8,44,18,0,6,6,14,22,18,3,1,4,0,4
"E01026819",2011,"Norwich 013D","Total",1439,1324,1286,4,0,34,35,12,4,7,12,49,19,0,14,2,14,20,18,0,2,11,1,10
"E01026820",2011,"Norwich 013E","Total",1727,1569,1509,5,6,49,36,9,10,10,7,69,31,5,13,5,15,41,29,6,6,12,8,4
"E01026821",2011,"Norwich 013F","Total",1542,1457,1418,5,0,34,20,2,6,1,11,53,22,0,19,0,12,5,2,3,0,7,1,6
"E01026822",2011,"Norwich 007A","Total",2031,1811,1642,6,0,163,79,17,16,34,12,91,43,4,0,25,19,28,15,10,3,22,11,11
"E01026823",2011,"Norwich 007B","Total",1906,1689,1528,22,2,137,59,14,6,25,14,109,49,5,8,34,13,32,24,5,3,17,10,7
"E01026824",2011,"Norwich 007C","Total",1471,1326,1179,17,0,130,39,8,13,7,11,54,15,0,11,18,10,27,25,1,1,25,14,11
"E01026825",2011,"Norwich 007D","Total",1276,1179,1100,8,0,71,33,9,4,7,13,47,17,1,3,14,12,12,8,4,0,5,2,3
"E01026826",2011,"Norwich 007E","Total",1456,1309,1216,4,0,89,44,5,14,14,11,54,16,1,17,9,11,22,18,0,4,27,18,9
"E01026827",2011,"Norwich 007F","Total",1501,1386,1272,11,0,103,35,5,15,2,13,32,6,3,1,8,14,35,34,0,1,13,7,6
"E01026828",2011,"Norwich 002A","Total",1744,1611,1527,9,2,73,44,14,14,9,7,54,24,1,13,0,16,31,28,3,0,4,2,2
"E01026829",2011,"Norwich 002B","Total",2093,1955,1755,13,6,181,39,8,16,4,11,32,4,4,5,3,16,54,51,2,1,13,4,9
"E01026830",2011,"Norwich 002C","Total",1276,1175,1062,9,4,100,44,12,5,12,15,34,4,3,3,7,17,15,14,0,1,8,1,7
"E01026831",2011,"Norwich 002D","Total",1242,1168,1066,10,1,91,29,7,7,10,5,23,5,6,1,3,8,13,12,1,0,9,1,8
"E01026832",2011,"Norwich 002E","Total",1415,1354,1274,4,0,76,27,10,5,3,9,20,2,0,5,9,4,13,10,0,3,1,0,1
"E01026833",2011,"Norwich 002F","Total",1382,1320,1199,8,9,104,24,5,9,2,8,18,4,0,2,2,10,17,17,0,0,3,2,1
"E01026834",2011,"Norwich 002G","Total",1503,1417,1318,2,1,96,43,11,14,13,5,13,0,1,0,8,4,21,16,2,3,9,0,9
"E01026835",2011,"Norwich 009A","Total",1502,1390,1276,18,0,96,55,14,5,21,15,40,10,3,4,9,14,13,6,7,0,4,0,4
"E01026836",2011,"Norwich 009B","Total",1566,1481,1357,27,0,97,43,9,12,11,11,31,16,1,1,7,6,8,7,1,0,3,0,3
"E01026837",2011,"Norwich 009C","Total",1471,1361,1251,26,1,83,44,11,10,10,13,41,11,2,2,10,16,14,10,3,1,11,4,7
"E01026838",2011,"Norwich 009D","Total",1551,1430,1313,20,0,97,34,2,3,18,11,63,25,7,3,16,12,9,7,2,0,15,7,8
"E01026839",2011,"Norwich 009E","Total",1596,1498,1370,24,0,104,37,5,6,18,8,41,12,9,0,9,11,8,6,1,1,12,3,9
"E01026840",2011,"Norwich 009F","Total",1611,1514,1408,17,1,88,37,12,7,9,9,37,9,1,0,13,14,13,4,7,2,10,3,7
"E01026841",2011,"Norwich 003A","Total",1453,1348,1253,9,1,85,26,5,1,13,7,54,8,0,21,11,14,18,16,1,1,7,1,6
