"lsoa11cd","date","lsoa11nm","Rural Urban","Multiple Ethnic Group: All categories: Multiple ethnic groups; measures: Value","Multiple Ethnic Group: One person household; measures: Value","Multiple Ethnic Group: All household members have the same ethnic group; measures: Value","Multiple Ethnic Group: Different ethnic groups between the generations only; measures: Value","Multiple Ethnic Group: Different ethnic groups within partnerships (whether or not different ethnic groups between generations); measures: Value","Multiple Ethnic Group: Any other combination of multiple ethnic groups; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,262,357,10,24,8
"E01026792",2011,"Norwich 005B","Total",627,180,409,5,26,7
"E01026793",2011,"Norwich 005C","Total",625,102,449,23,30,21
"E01026794",2011,"Norwich 005D","Total",844,210,570,11,35,18
"E01026796",2011,"Norwich 005F","Total",650,196,378,14,14,48
"E01026797",2011,"Norwich 001A","Total",1070,341,657,19,39,14
"E01026798",2011,"Norwich 001B","Total",670,250,390,11,15,4
"E01026799",2011,"Norwich 001C","Total",626,181,407,17,15,6
"E01026800",2011,"Norwich 001D","Total",901,364,458,34,24,21
"E01026801",2011,"Norwich 001E","Total",684,180,470,3,29,2
"E01026802",2011,"Norwich 001F","Total",785,329,420,9,21,6
"E01026803",2011,"Norwich 004A","Total",638,212,409,9,5,3
"E01026804",2011,"Norwich 004B","Total",633,187,410,9,24,3
"E01026805",2011,"Norwich 004C","Total",639,207,409,9,10,4
"E01026806",2011,"Norwich 004D","Total",508,131,343,6,24,4
"E01026807",2011,"Norwich 004E","Total",523,152,323,12,27,9
"E01026808",2011,"Norwich 004F","Total",516,154,329,17,11,5
"E01026809",2011,"Norwich 004G","Total",762,335,399,9,16,3
"E01026810",2011,"Norwich 012A","Total",635,205,375,6,35,14
"E01026811",2011,"Norwich 012B","Total",723,243,431,7,33,9
"E01026812",2011,"Norwich 012C","Total",639,178,407,10,40,4
"E01026813",2011,"Norwich 012D","Total",635,172,423,8,25,7
"E01026814",2011,"Norwich 012E","Total",653,203,390,11,22,27
"E01026815",2011,"Norwich 012F","Total",648,206,369,8,46,19
"E01026816",2011,"Norwich 013A","Total",934,446,404,21,46,17
"E01026817",2011,"Norwich 013B","Total",706,297,366,15,20,8
"E01026818",2011,"Norwich 013C","Total",626,173,404,24,20,5
"E01026819",2011,"Norwich 013D","Total",625,214,372,20,17,2
"E01026820",2011,"Norwich 013E","Total",755,272,437,16,24,6
"E01026821",2011,"Norwich 013F","Total",712,254,423,13,16,6
