"lsoa11cd","date","lsoa11nm","Rural Urban","Proficiency in English: All categories: Proficiency in English; measures: Value","Proficiency in English: Main language is English (English or Welsh in Wales); measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Can speak English very well; measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Can speak English well; measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Cannot speak English well; measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Cannot speak English; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1405,1289,34,51,30,1
"E01026792",2011,"Norwich 005B","Total",1368,1269,50,40,7,2
"E01026793",2011,"Norwich 005C","Total",1697,1565,62,39,21,10
"E01026794",2011,"Norwich 005D","Total",1961,1805,75,59,18,4
"E01026796",2011,"Norwich 005F","Total",1588,1451,62,43,28,4
"E01026797",2011,"Norwich 001A","Total",2257,1984,85,139,44,5
"E01026798",2011,"Norwich 001B","Total",1459,1332,36,61,28,2
"E01026799",2011,"Norwich 001C","Total",1381,1281,35,43,19,3
"E01026800",2011,"Norwich 001D","Total",1871,1672,67,88,41,3
"E01026801",2011,"Norwich 001E","Total",1565,1489,28,24,23,1
"E01026802",2011,"Norwich 001F","Total",1544,1440,39,43,19,3
"E01026803",2011,"Norwich 004A","Total",1376,1336,12,18,8,2
"E01026804",2011,"Norwich 004B","Total",1389,1353,19,12,4,1
"E01026805",2011,"Norwich 004C","Total",1362,1335,6,14,6,1
"E01026806",2011,"Norwich 004D","Total",1473,1427,23,15,7,1
"E01026807",2011,"Norwich 004E","Total",1191,1153,15,16,7,0
"E01026808",2011,"Norwich 004F","Total",1248,1166,28,29,20,5
"E01026809",2011,"Norwich 004G","Total",1416,1378,13,21,4,0
"E01026810",2011,"Norwich 012A","Total",1361,1297,38,21,5,0
"E01026811",2011,"Norwich 012B","Total",1516,1452,47,14,3,0
"E01026812",2011,"Norwich 012C","Total",1378,1320,37,16,4,1
"E01026813",2011,"Norwich 012D","Total",1398,1347,29,13,9,0
"E01026814",2011,"Norwich 012E","Total",1470,1373,51,27,17,2
"E01026815",2011,"Norwich 012F","Total",1438,1352,48,30,6,2
"E01026816",2011,"Norwich 013A","Total",1684,1543,61,54,19,7
"E01026817",2011,"Norwich 013B","Total",1357,1295,29,19,12,2
"E01026818",2011,"Norwich 013C","Total",1399,1332,28,33,5,1
"E01026819",2011,"Norwich 013D","Total",1379,1324,24,21,9,1
"E01026820",2011,"Norwich 013E","Total",1633,1521,55,43,12,2
"E01026821",2011,"Norwich 013F","Total",1477,1420,22,29,6,0
"E01026822",2011,"Norwich 007A","Total",1980,1787,92,79,19,3
"E01026823",2011,"Norwich 007B","Total",1871,1684,90,73,20,4
"E01026824",2011,"Norwich 007C","Total",1407,1250,50,66,35,6
"E01026825",2011,"Norwich 007D","Total",1240,1157,39,36,7,1
"E01026826",2011,"Norwich 007E","Total",1407,1285,36,57,27,2
"E01026827",2011,"Norwich 007F","Total",1439,1313,53,49,20,4
"E01026828",2011,"Norwich 002A","Total",1632,1525,33,50,21,3
"E01026829",2011,"Norwich 002B","Total",1974,1769,72,92,31,10
"E01026830",2011,"Norwich 002C","Total",1221,1092,41,54,31,3
"E01026831",2011,"Norwich 002D","Total",1198,1116,27,36,16,3
"E01026832",2011,"Norwich 002E","Total",1348,1272,18,38,20,0
"E01026833",2011,"Norwich 002F","Total",1297,1200,29,40,24,4
"E01026834",2011,"Norwich 002G","Total",1436,1340,22,53,17,4
"E01026835",2011,"Norwich 009A","Total",1457,1384,38,32,3,0
"E01026836",2011,"Norwich 009B","Total",1524,1458,47,18,1,0
"E01026837",2011,"Norwich 009C","Total",1433,1345,43,35,9,1
"E01026838",2011,"Norwich 009D","Total",1499,1411,58,24,5,1
"E01026839",2011,"Norwich 009E","Total",1550,1474,47,25,3,1
"E01026840",2011,"Norwich 009F","Total",1564,1476,55,28,5,0
"E01026841",2011,"Norwich 003A","Total",1378,1271,37,38,25,7
"E01026842",2011,"Norwich 003B","Total",1575,1452,45,48,28,2
"E01026843",2011,"Norwich 003C","Total",1818,1696,47,61,12,2
"E01026844",2011,"Norwich 003D","Total",1649,1521,52,46,27,3
"E01026845",2011,"Norwich 003E","Total",1476,1349,48,42,32,5
"E01026846",2011,"Norwich 003F","Total",1538,1360,51,84,41,2
"E01026848",2011,"Norwich 015A","Total",1765,1620,55,61,23,6
"E01026849",2011,"Norwich 015B","Total",1683,1571,52,43,15,2
"E01026850",2011,"Norwich 015C","Total",1721,1593,57,51,19,1
"E01026852",2011,"Norwich 011A","Total",1261,1212,25,16,7,1
"E01026853",2011,"Norwich 011B","Total",1685,1524,83,52,25,1
"E01026855",2011,"Norwich 011D","Total",1524,1424,55,34,10,1
"E01026856",2011,"Norwich 011E","Total",1777,1664,70,37,3,3
"E01026857",2011,"Norwich 011F","Total",1492,1427,45,15,5,0
"E01026858",2011,"Norwich 010A","Total",1452,1292,77,63,17,3
"E01026859",2011,"Norwich 010B","Total",1586,1509,34,34,9,0
"E01026860",2011,"Norwich 010C","Total",4284,3157,305,688,131,3
"E01026861",2011,"Norwich 010D","Total",1452,1328,44,63,17,0
"E01026862",2011,"Norwich 010E","Total",1273,1215,25,23,9,1
"E01026863",2011,"Norwich 006A","Total",1751,1616,63,53,15,4
"E01026864",2011,"Norwich 006B","Total",1479,1390,35,30,20,4
"E01026865",2011,"Norwich 006C","Total",1840,1702,53,62,18,5
"E01026866",2011,"Norwich 006D","Total",1531,1445,39,37,10,0
"E01026867",2011,"Norwich 006E","Total",1506,1363,59,44,32,8
"E01026868",2011,"Norwich 006F","Total",1528,1431,34,49,12,2
"E01026869",2011,"Norwich 006G","Total",1321,1258,22,32,9,0
"E01033434",2011,"Norwich 011G","Total",1042,917,63,48,13,1
"E01033435",2011,"Norwich 005G","Total",1738,1451,107,108,58,14
"E01033436",2011,"Norwich 005H","Total",1319,1198,55,38,21,7
"E01033437",2011,"Norwich 011H","Total",1346,1231,49,54,11,1
"E01033438",2011,"Norwich 014A","Total",1368,1248,50,56,13,1
"E01033439",2011,"Norwich 014B","Total",1403,1258,76,56,11,2
"E01033440",2011,"Norwich 014C","Total",1038,884,77,57,15,5
"E01033441",2011,"Norwich 014D","Total",1203,1044,79,76,4,0
