"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,656,8,0,5,31,0,8,645,122
"E01026792",2011,"Norwich 005B","Total",1445,726,7,4,2,20,0,5,565,116
"E01026793",2011,"Norwich 005C","Total",1817,699,2,6,3,43,4,8,922,130
"E01026794",2011,"Norwich 005D","Total",2065,1026,6,14,2,85,3,6,759,164
"E01026796",2011,"Norwich 005F","Total",1643,739,7,19,1,44,0,6,712,115
"E01026797",2011,"Norwich 001A","Total",2402,1171,6,5,2,47,0,20,985,166
"E01026798",2011,"Norwich 001B","Total",1533,732,8,9,1,27,5,2,639,110
"E01026799",2011,"Norwich 001C","Total",1459,655,5,1,0,24,0,12,646,116
"E01026800",2011,"Norwich 001D","Total",1991,844,17,2,0,32,0,15,922,159
"E01026801",2011,"Norwich 001E","Total",1606,939,5,3,1,11,0,4,531,112
"E01026802",2011,"Norwich 001F","Total",1605,767,5,2,4,35,4,5,653,130
"E01026803",2011,"Norwich 004A","Total",1438,745,2,1,3,25,0,3,542,117
"E01026804",2011,"Norwich 004B","Total",1429,795,8,4,3,15,0,7,492,105
"E01026805",2011,"Norwich 004C","Total",1421,756,3,0,1,21,0,10,512,118
"E01026806",2011,"Norwich 004D","Total",1503,884,18,4,1,21,2,9,464,100
"E01026807",2011,"Norwich 004E","Total",1252,570,5,0,1,5,0,12,562,97
"E01026808",2011,"Norwich 004F","Total",1320,552,1,1,2,25,0,10,615,114
"E01026809",2011,"Norwich 004G","Total",1492,719,2,0,2,9,0,13,666,81
"E01026810",2011,"Norwich 012A","Total",1389,826,9,18,2,10,1,4,408,111
"E01026811",2011,"Norwich 012B","Total",1544,933,5,28,0,1,6,8,448,115
"E01026812",2011,"Norwich 012C","Total",1425,811,4,38,3,16,5,3,415,130
"E01026813",2011,"Norwich 012D","Total",1426,881,12,38,9,10,4,4,332,136
"E01026814",2011,"Norwich 012E","Total",1522,800,10,8,12,30,2,7,533,120
"E01026815",2011,"Norwich 012F","Total",1475,758,19,17,3,20,9,5,511,133
"E01026816",2011,"Norwich 013A","Total",1741,771,11,29,2,38,3,13,733,141
"E01026817",2011,"Norwich 013B","Total",1415,718,8,7,0,24,0,12,537,109
"E01026818",2011,"Norwich 013C","Total",1462,717,5,0,1,16,5,9,595,114
"E01026819",2011,"Norwich 013D","Total",1439,646,2,11,3,22,1,4,647,103
"E01026820",2011,"Norwich 013E","Total",1727,848,4,4,0,51,1,7,669,143
"E01026821",2011,"Norwich 013F","Total",1542,772,4,10,1,26,4,8,582,135
"E01026822",2011,"Norwich 007A","Total",2031,841,24,26,3,49,3,19,889,177
"E01026823",2011,"Norwich 007B","Total",1906,745,20,28,3,50,2,34,849,175
"E01026824",2011,"Norwich 007C","Total",1471,685,12,13,7,37,0,9,587,121
"E01026825",2011,"Norwich 007D","Total",1276,508,10,11,3,13,1,11,608,111
"E01026826",2011,"Norwich 007E","Total",1456,564,12,18,2,47,1,14,643,155
"E01026827",2011,"Norwich 007F","Total",1501,700,12,2,0,21,0,23,582,161
"E01026828",2011,"Norwich 002A","Total",1744,739,6,12,0,20,0,8,819,140
"E01026829",2011,"Norwich 002B","Total",2093,852,11,1,1,31,2,18,1011,166
"E01026830",2011,"Norwich 002C","Total",1276,628,3,3,4,27,1,12,480,118
"E01026831",2011,"Norwich 002D","Total",1242,480,5,1,0,29,3,16,618,90
"E01026832",2011,"Norwich 002E","Total",1415,614,3,3,7,8,0,17,659,104
"E01026833",2011,"Norwich 002F","Total",1382,593,3,0,1,15,3,5,655,107
"E01026834",2011,"Norwich 002G","Total",1503,740,4,0,0,21,0,6,599,133
"E01026835",2011,"Norwich 009A","Total",1502,527,13,4,3,6,2,16,787,144
"E01026836",2011,"Norwich 009B","Total",1566,594,19,6,2,9,0,12,775,149
"E01026837",2011,"Norwich 009C","Total",1471,602,16,9,4,13,0,15,681,131
"E01026838",2011,"Norwich 009D","Total",1551,615,13,18,3,29,0,8,729,136
"E01026839",2011,"Norwich 009E","Total",1596,517,15,5,5,14,0,11,868,161
"E01026840",2011,"Norwich 009F","Total",1611,508,15,5,10,11,0,12,897,153
"E01026841",2011,"Norwich 003A","Total",1453,569,12,9,0,31,0,8,697,127
"E01026842",2011,"Norwich 003B","Total",1648,736,13,4,8,37,0,11,705,134
"E01026843",2011,"Norwich 003C","Total",1905,886,12,1,0,36,0,11,778,181
"E01026844",2011,"Norwich 003D","Total",1741,788,8,15,4,37,0,3,771,115
"E01026845",2011,"Norwich 003E","Total",1561,573,17,4,0,22,0,18,797,130
"E01026846",2011,"Norwich 003F","Total",1626,657,22,11,1,38,0,20,757,120
"E01026848",2011,"Norwich 015A","Total",1856,851,9,9,2,22,0,16,790,157
"E01026849",2011,"Norwich 015B","Total",1738,754,16,34,3,26,0,12,724,169
"E01026850",2011,"Norwich 015C","Total",1827,753,17,9,6,25,1,24,848,144
"E01026852",2011,"Norwich 011A","Total",1295,680,12,8,2,23,4,9,426,131
"E01026853",2011,"Norwich 011B","Total",1751,812,14,45,4,31,1,13,665,166
"E01026855",2011,"Norwich 011D","Total",1568,658,14,21,2,11,1,8,697,156
"E01026856",2011,"Norwich 011E","Total",1821,610,15,5,2,13,1,15,985,175
"E01026857",2011,"Norwich 011F","Total",1515,740,14,9,8,9,0,10,602,123
"E01026858",2011,"Norwich 010A","Total",1512,707,9,11,1,52,8,2,602,120
"E01026859",2011,"Norwich 010B","Total",1659,756,8,9,1,34,0,3,758,90
