"lsoa11cd","date","lsoa11nm","Rural Urban","Care Provision: All categories: Provision of unpaid care; measures: Value","Care Provision: Provides no unpaid care; measures: Value","Care Provision: Provides 1 to 19 hours unpaid care a week; measures: Value","Care Provision: Provides 20 to 49 hours unpaid care a week; measures: Value","Care Provision: Provides 50 or more hours unpaid care a week; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,1354,70,12,39
"E01026792",2011,"Norwich 005B","Total",1445,1294,87,22,42
"E01026793",2011,"Norwich 005C","Total",1817,1645,76,25,71
"E01026794",2011,"Norwich 005D","Total",2065,1864,110,30,61
"E01026796",2011,"Norwich 005F","Total",1643,1475,81,32,55
"E01026797",2011,"Norwich 001A","Total",2402,2227,126,20,29
"E01026798",2011,"Norwich 001B","Total",1533,1413,58,31,31
"E01026799",2011,"Norwich 001C","Total",1459,1318,82,24,35
"E01026800",2011,"Norwich 001D","Total",1991,1858,54,28,51
"E01026801",2011,"Norwich 001E","Total",1606,1408,134,24,40
"E01026802",2011,"Norwich 001F","Total",1605,1450,101,17,37
"E01026803",2011,"Norwich 004A","Total",1438,1283,81,27,47
"E01026804",2011,"Norwich 004B","Total",1429,1246,115,20,48
"E01026805",2011,"Norwich 004C","Total",1421,1264,81,26,50
"E01026806",2011,"Norwich 004D","Total",1503,1327,117,28,31
"E01026807",2011,"Norwich 004E","Total",1252,1141,71,16,24
"E01026808",2011,"Norwich 004F","Total",1320,1193,69,21,37
"E01026809",2011,"Norwich 004G","Total",1492,1328,82,33,49
"E01026810",2011,"Norwich 012A","Total",1389,1205,127,18,39
"E01026811",2011,"Norwich 012B","Total",1544,1345,158,16,25
"E01026812",2011,"Norwich 012C","Total",1425,1235,149,16,25
"E01026813",2011,"Norwich 012D","Total",1426,1245,126,15,40
"E01026814",2011,"Norwich 012E","Total",1522,1356,90,17,59
"E01026815",2011,"Norwich 012F","Total",1475,1316,120,14,25
"E01026816",2011,"Norwich 013A","Total",1741,1584,115,23,19
"E01026817",2011,"Norwich 013B","Total",1415,1263,102,14,36
"E01026818",2011,"Norwich 013C","Total",1462,1316,76,19,51
"E01026819",2011,"Norwich 013D","Total",1439,1312,65,23,39
"E01026820",2011,"Norwich 013E","Total",1727,1521,115,23,68
"E01026821",2011,"Norwich 013F","Total",1542,1346,100,30,66
"E01026822",2011,"Norwich 007A","Total",2031,1881,93,23,34
"E01026823",2011,"Norwich 007B","Total",1906,1766,112,11,17
"E01026824",2011,"Norwich 007C","Total",1471,1329,83,14,45
"E01026825",2011,"Norwich 007D","Total",1276,1178,64,12,22
"E01026826",2011,"Norwich 007E","Total",1456,1351,63,17,25
"E01026827",2011,"Norwich 007F","Total",1501,1358,89,13,41
"E01026828",2011,"Norwich 002A","Total",1744,1587,78,23,56
"E01026829",2011,"Norwich 002B","Total",2093,1939,91,30,33
"E01026830",2011,"Norwich 002C","Total",1276,1164,69,18,25
"E01026831",2011,"Norwich 002D","Total",1242,1171,53,6,12
"E01026832",2011,"Norwich 002E","Total",1415,1275,64,16,60
"E01026833",2011,"Norwich 002F","Total",1382,1255,56,16,55
"E01026834",2011,"Norwich 002G","Total",1503,1374,61,19,49
"E01026835",2011,"Norwich 009A","Total",1502,1394,85,12,11
"E01026836",2011,"Norwich 009B","Total",1566,1459,83,10,14
"E01026837",2011,"Norwich 009C","Total",1471,1324,114,17,16
"E01026838",2011,"Norwich 009D","Total",1551,1425,98,17,11
"E01026839",2011,"Norwich 009E","Total",1596,1488,84,10,14
"E01026840",2011,"Norwich 009F","Total",1611,1505,91,5,10
"E01026841",2011,"Norwich 003A","Total",1453,1363,59,13,18
"E01026842",2011,"Norwich 003B","Total",1648,1501,103,26,18
"E01026843",2011,"Norwich 003C","Total",1905,1719,122,12,52
"E01026844",2011,"Norwich 003D","Total",1741,1569,103,21,48
"E01026845",2011,"Norwich 003E","Total",1561,1481,59,8,13
"E01026846",2011,"Norwich 003F","Total",1626,1523,69,10,24
"E01026848",2011,"Norwich 015A","Total",1856,1720,69,29,38
"E01026849",2011,"Norwich 015B","Total",1738,1614,98,10,16
"E01026850",2011,"Norwich 015C","Total",1827,1673,124,9,21
"E01026852",2011,"Norwich 011A","Total",1295,1123,148,5,19
"E01026853",2011,"Norwich 011B","Total",1751,1620,89,17,25
"E01026855",2011,"Norwich 011D","Total",1568,1436,98,9,25
"E01026856",2011,"Norwich 011E","Total",1821,1680,105,17,19
"E01026857",2011,"Norwich 011F","Total",1515,1371,110,11,23
