"lsoa11cd","date","lsoa11nm","Rural Urban","General Health: All categories: General health; measures: Value","General Health: Very good health; measures: Value","General Health: Good health; measures: Value","General Health: Fair health; measures: Value","General Health: Bad health; measures: Value","General Health: Very bad health; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,667,513,209,63,23
"E01026792",2011,"Norwich 005B","Total",1445,612,507,246,56,24
"E01026793",2011,"Norwich 005C","Total",1817,786,643,262,89,37
"E01026794",2011,"Norwich 005D","Total",2065,943,691,277,103,51
"E01026796",2011,"Norwich 005F","Total",1643,754,532,267,75,15
"E01026797",2011,"Norwich 001A","Total",2402,1182,870,251,76,23
"E01026798",2011,"Norwich 001B","Total",1533,600,578,244,92,19
"E01026799",2011,"Norwich 001C","Total",1459,576,593,210,62,18
"E01026800",2011,"Norwich 001D","Total",1991,893,673,291,108,26
"E01026801",2011,"Norwich 001E","Total",1606,681,604,249,59,13
"E01026802",2011,"Norwich 001F","Total",1605,654,606,251,70,24
"E01026803",2011,"Norwich 004A","Total",1438,472,568,278,91,29
"E01026804",2011,"Norwich 004B","Total",1429,547,571,235,64,12
"E01026805",2011,"Norwich 004C","Total",1421,477,567,272,80,25
"E01026806",2011,"Norwich 004D","Total",1503,512,633,257,84,17
"E01026807",2011,"Norwich 004E","Total",1252,566,461,174,41,10
"E01026808",2011,"Norwich 004F","Total",1320,551,466,208,71,24
"E01026809",2011,"Norwich 004G","Total",1492,503,550,311,110,18
"E01026810",2011,"Norwich 012A","Total",1389,622,491,206,56,14
"E01026811",2011,"Norwich 012B","Total",1544,700,580,191,54,19
"E01026812",2011,"Norwich 012C","Total",1425,685,529,169,33,9
"E01026813",2011,"Norwich 012D","Total",1426,666,530,181,44,5
"E01026814",2011,"Norwich 012E","Total",1522,639,519,273,70,21
"E01026815",2011,"Norwich 012F","Total",1475,785,504,135,48,3
"E01026816",2011,"Norwich 013A","Total",1741,760,650,253,58,20
"E01026817",2011,"Norwich 013B","Total",1415,569,518,233,76,19
"E01026818",2011,"Norwich 013C","Total",1462,579,541,244,77,21
"E01026819",2011,"Norwich 013D","Total",1439,585,504,241,82,27
"E01026820",2011,"Norwich 013E","Total",1727,711,603,290,95,28
"E01026821",2011,"Norwich 013F","Total",1542,561,566,297,95,23
"E01026822",2011,"Norwich 007A","Total",2031,775,743,369,112,32
"E01026823",2011,"Norwich 007B","Total",1906,877,668,230,97,34
"E01026824",2011,"Norwich 007C","Total",1471,542,510,272,127,20
"E01026825",2011,"Norwich 007D","Total",1276,509,459,209,72,27
"E01026826",2011,"Norwich 007E","Total",1456,513,518,286,106,33
"E01026827",2011,"Norwich 007F","Total",1501,479,487,333,165,37
"E01026828",2011,"Norwich 002A","Total",1744,690,666,281,88,19
"E01026829",2011,"Norwich 002B","Total",2093,947,747,303,74,22
"E01026830",2011,"Norwich 002C","Total",1276,471,477,221,95,12
"E01026831",2011,"Norwich 002D","Total",1242,601,466,141,28,6
"E01026832",2011,"Norwich 002E","Total",1415,598,515,200,85,17
"E01026833",2011,"Norwich 002F","Total",1382,505,511,260,86,20
"E01026834",2011,"Norwich 002G","Total",1503,579,541,264,92,27
"E01026835",2011,"Norwich 009A","Total",1502,856,462,129,39,16
"E01026836",2011,"Norwich 009B","Total",1566,914,498,118,27,9
"E01026837",2011,"Norwich 009C","Total",1471,758,506,159,39,9
"E01026838",2011,"Norwich 009D","Total",1551,902,462,156,25,6
"E01026839",2011,"Norwich 009E","Total",1596,958,507,110,15,6
"E01026840",2011,"Norwich 009F","Total",1611,882,556,135,32,6
"E01026841",2011,"Norwich 003A","Total",1453,733,504,167,34,15
"E01026842",2011,"Norwich 003B","Total",1648,777,619,198,46,8
"E01026843",2011,"Norwich 003C","Total",1905,795,688,291,94,37
"E01026844",2011,"Norwich 003D","Total",1741,761,637,240,82,21
"E01026845",2011,"Norwich 003E","Total",1561,816,564,144,26,11
"E01026846",2011,"Norwich 003F","Total",1626,768,618,177,52,11
"E01026848",2011,"Norwich 015A","Total",1856,721,592,366,133,44
"E01026849",2011,"Norwich 015B","Total",1738,859,610,218,42,9
"E01026850",2011,"Norwich 015C","Total",1827,835,708,206,63,15
"E01026852",2011,"Norwich 011A","Total",1295,620,471,163,35,6
"E01026853",2011,"Norwich 011B","Total",1751,662,608,329,127,25
"E01026855",2011,"Norwich 011D","Total",1568,807,524,178,49,10
"E01026856",2011,"Norwich 011E","Total",1821,1037,570,166,40,8
"E01026857",2011,"Norwich 011F","Total",1515,782,454,201,54,24
"E01026858",2011,"Norwich 010A","Total",1512,586,482,301,112,31
"E01026859",2011,"Norwich 010B","Total",1659,798,568,208,67,18
"E01026860",2011,"Norwich 010C","Total",4313,2475,1471,296,56,15
"E01026861",2011,"Norwich 010D","Total",1493,686,485,218,76,28
"E01026862",2011,"Norwich 010E","Total",1302,599,453,185,47,18
"E01026863",2011,"Norwich 006A","Total",1814,880,636,221,56,21
"E01026864",2011,"Norwich 006B","Total",1547,652,622,190,62,21
"E01026865",2011,"Norwich 006C","Total",1949,863,673,265,117,31
"E01026866",2011,"Norwich 006D","Total",1574,697,577,218,64,18
"E01026867",2011,"Norwich 006E","Total",1592,678,565,227,97,25
"E01026868",2011,"Norwich 006F","Total",1628,738,586,199,82,23
"E01026869",2011,"Norwich 006G","Total",1400,551,491,248,83,27
"E01033434",2011,"Norwich 011G","Total",1076,587,365,92,22,10
"E01033435",2011,"Norwich 005G","Total",1845,1065,585,134,42,19
"E01033436",2011,"Norwich 005H","Total",1393,596,466,227,77,27
"E01033437",2011,"Norwich 011H","Total",1378,500,481,261,114,22
"E01033438",2011,"Norwich 014A","Total",1397,524,478,299,74,22
"E01033439",2011,"Norwich 014B","Total",1440,682,490,186,67,15
"E01033440",2011,"Norwich 014C","Total",1070,479,396,125,56,14
"E01033441",2011,"Norwich 014D","Total",1229,651,442,95,28,13
