"lsoa11cd","date","lsoa11nm","Rural Urban","Disability: All categories: Long-term health problem or disability; measures: Value","Disability: Day-to-day activities limited a lot; measures: Value","Disability: Day-to-day activities limited a little; measures: Value","Disability: Day-to-day activities not limited; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,140,160,1175
"E01026792",2011,"Norwich 005B","Total",1445,139,143,1163
"E01026793",2011,"Norwich 005C","Total",1817,160,186,1471
"E01026794",2011,"Norwich 005D","Total",2065,211,169,1685
"E01026796",2011,"Norwich 005F","Total",1643,153,182,1308
"E01026797",2011,"Norwich 001A","Total",2402,127,172,2103
"E01026798",2011,"Norwich 001B","Total",1533,142,156,1235
"E01026799",2011,"Norwich 001C","Total",1459,120,131,1208
"E01026800",2011,"Norwich 001D","Total",1991,180,199,1612
"E01026801",2011,"Norwich 001E","Total",1606,146,163,1297
"E01026802",2011,"Norwich 001F","Total",1605,140,173,1292
"E01026803",2011,"Norwich 004A","Total",1438,209,183,1046
"E01026804",2011,"Norwich 004B","Total",1429,130,177,1122
"E01026805",2011,"Norwich 004C","Total",1421,156,191,1074
"E01026806",2011,"Norwich 004D","Total",1503,141,194,1168
"E01026807",2011,"Norwich 004E","Total",1252,70,128,1054
"E01026808",2011,"Norwich 004F","Total",1320,122,153,1045
"E01026809",2011,"Norwich 004G","Total",1492,200,215,1077
"E01026810",2011,"Norwich 012A","Total",1389,141,162,1086
"E01026811",2011,"Norwich 012B","Total",1544,126,193,1225
"E01026812",2011,"Norwich 012C","Total",1425,83,140,1202
"E01026813",2011,"Norwich 012D","Total",1426,98,167,1161
"E01026814",2011,"Norwich 012E","Total",1522,159,193,1170
"E01026815",2011,"Norwich 012F","Total",1475,89,132,1254
"E01026816",2011,"Norwich 013A","Total",1741,158,189,1394
"E01026817",2011,"Norwich 013B","Total",1415,177,147,1091
"E01026818",2011,"Norwich 013C","Total",1462,159,146,1157
"E01026819",2011,"Norwich 013D","Total",1439,148,156,1135
"E01026820",2011,"Norwich 013E","Total",1727,202,224,1301
"E01026821",2011,"Norwich 013F","Total",1542,189,208,1145
"E01026822",2011,"Norwich 007A","Total",2031,218,241,1572
"E01026823",2011,"Norwich 007B","Total",1906,161,182,1563
"E01026824",2011,"Norwich 007C","Total",1471,213,175,1083
"E01026825",2011,"Norwich 007D","Total",1276,143,132,1001
"E01026826",2011,"Norwich 007E","Total",1456,231,189,1036
"E01026827",2011,"Norwich 007F","Total",1501,281,220,1000
"E01026828",2011,"Norwich 002A","Total",1744,146,191,1407
"E01026829",2011,"Norwich 002B","Total",2093,151,196,1746
"E01026830",2011,"Norwich 002C","Total",1276,142,156,978
"E01026831",2011,"Norwich 002D","Total",1242,45,84,1113
"E01026832",2011,"Norwich 002E","Total",1415,143,145,1127
"E01026833",2011,"Norwich 002F","Total",1382,147,169,1066
"E01026834",2011,"Norwich 002G","Total",1503,156,185,1162
"E01026835",2011,"Norwich 009A","Total",1502,71,113,1318
"E01026836",2011,"Norwich 009B","Total",1566,55,91,1420
"E01026837",2011,"Norwich 009C","Total",1471,69,121,1281
"E01026838",2011,"Norwich 009D","Total",1551,59,111,1381
"E01026839",2011,"Norwich 009E","Total",1596,30,82,1484
"E01026840",2011,"Norwich 009F","Total",1611,50,97,1464
"E01026841",2011,"Norwich 003A","Total",1453,79,104,1270
"E01026842",2011,"Norwich 003B","Total",1648,79,142,1427
"E01026843",2011,"Norwich 003C","Total",1905,200,198,1507
"E01026844",2011,"Norwich 003D","Total",1741,135,162,1444
"E01026845",2011,"Norwich 003E","Total",1561,58,97,1406
"E01026846",2011,"Norwich 003F","Total",1626,107,119,1400
"E01026848",2011,"Norwich 015A","Total",1856,273,218,1365
"E01026849",2011,"Norwich 015B","Total",1738,111,142,1485
"E01026850",2011,"Norwich 015C","Total",1827,104,132,1591
"E01026852",2011,"Norwich 011A","Total",1295,108,129,1058
"E01026853",2011,"Norwich 011B","Total",1751,229,230,1292
"E01026855",2011,"Norwich 011D","Total",1568,80,135,1353
"E01026856",2011,"Norwich 011E","Total",1821,67,118,1636
"E01026857",2011,"Norwich 011F","Total",1515,132,146,1237
"E01026858",2011,"Norwich 010A","Total",1512,207,193,1112
"E01026859",2011,"Norwich 010B","Total",1659,129,157,1373
"E01026860",2011,"Norwich 010C","Total",4313,108,197,4008
"E01026861",2011,"Norwich 010D","Total",1493,149,153,1191
"E01026862",2011,"Norwich 010E","Total",1302,121,130,1051
"E01026863",2011,"Norwich 006A","Total",1814,130,148,1536
"E01026864",2011,"Norwich 006B","Total",1547,113,145,1289
"E01026865",2011,"Norwich 006C","Total",1949,181,212,1556
"E01026866",2011,"Norwich 006D","Total",1574,122,140,1312
"E01026867",2011,"Norwich 006E","Total",1592,145,169,1278
"E01026868",2011,"Norwich 006F","Total",1628,130,156,1342
"E01026869",2011,"Norwich 006G","Total",1400,180,138,1082
"E01033434",2011,"Norwich 011G","Total",1076,42,68,966
"E01033435",2011,"Norwich 005G","Total",1845,79,96,1670
"E01033436",2011,"Norwich 005H","Total",1393,182,142,1069
"E01033437",2011,"Norwich 011H","Total",1378,217,198,963
"E01033438",2011,"Norwich 014A","Total",1397,166,215,1016
"E01033439",2011,"Norwich 014B","Total",1440,135,94,1211
"E01033440",2011,"Norwich 014C","Total",1070,90,92,888
"E01033441",2011,"Norwich 014D","Total",1229,58,75,1096
