"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,657,471,106,174,191,186,184,2,0,0,4
"E01026792",2011,"Norwich 005B","Total",627,627,569,136,289,144,58,56,2,0,0,0
"E01026793",2011,"Norwich 005C","Total",625,625,579,63,285,231,46,43,2,1,0,0
"E01026794",2011,"Norwich 005D","Total",844,844,738,265,356,117,106,103,2,1,0,0
"E01026796",2011,"Norwich 005F","Total",650,650,544,48,334,162,106,102,3,1,0,0
"E01026797",2011,"Norwich 001A","Total",1070,1070,749,190,303,256,321,307,7,7,0,0
"E01026798",2011,"Norwich 001B","Total",670,668,430,27,174,229,237,230,4,3,1,2
"E01026799",2011,"Norwich 001C","Total",626,626,491,30,192,269,135,134,0,1,0,0
"E01026800",2011,"Norwich 001D","Total",901,901,481,68,207,206,418,377,36,5,2,0
"E01026801",2011,"Norwich 001E","Total",684,684,616,122,438,56,68,57,9,2,0,0
"E01026802",2011,"Norwich 001F","Total",785,785,382,38,145,199,370,338,24,8,33,0
"E01026803",2011,"Norwich 004A","Total",638,638,435,17,146,272,203,195,5,3,0,0
"E01026804",2011,"Norwich 004B","Total",633,633,570,146,273,151,63,57,2,4,0,0
"E01026805",2011,"Norwich 004C","Total",639,639,492,18,202,272,147,142,1,4,0,0
"E01026806",2011,"Norwich 004D","Total",508,508,492,140,262,90,16,8,1,7,0,0
"E01026807",2011,"Norwich 004E","Total",523,523,507,43,180,284,16,12,3,1,0,0
"E01026808",2011,"Norwich 004F","Total",516,516,383,22,129,232,133,125,7,1,0,0
"E01026809",2011,"Norwich 004G","Total",762,762,415,17,117,281,346,340,6,0,1,0
"E01026810",2011,"Norwich 012A","Total",635,635,574,288,212,74,60,40,13,7,1,0
"E01026811",2011,"Norwich 012B","Total",723,723,680,521,89,70,43,36,7,0,0,0
"E01026812",2011,"Norwich 012C","Total",639,639,616,402,109,105,23,16,5,2,0,0
"E01026813",2011,"Norwich 012D","Total",635,635,629,530,65,34,6,5,0,1,0,0
"E01026814",2011,"Norwich 012E","Total",653,653,500,58,270,172,153,139,8,6,0,0
"E01026815",2011,"Norwich 012F","Total",648,648,580,231,156,193,68,44,22,2,0,0
"E01026816",2011,"Norwich 013A","Total",934,929,607,23,100,484,322,289,26,7,0,5
"E01026817",2011,"Norwich 013B","Total",706,706,466,77,215,174,240,229,7,4,0,0
"E01026818",2011,"Norwich 013C","Total",626,626,486,28,312,146,140,132,7,1,0,0
"E01026819",2011,"Norwich 013D","Total",625,625,353,16,167,170,272,264,4,4,0,0
"E01026820",2011,"Norwich 013E","Total",755,755,542,25,296,221,213,193,15,5,0,0
"E01026821",2011,"Norwich 013F","Total",712,712,495,7,290,198,217,203,10,4,0,0
"E01026822",2011,"Norwich 007A","Total",1228,1228,228,22,71,135,999,834,110,55,1,0
"E01026823",2011,"Norwich 007B","Total",1099,1097,383,28,58,297,713,509,103,101,1,2
"E01026824",2011,"Norwich 007C","Total",868,862,224,17,43,164,638,590,23,25,0,6
"E01026825",2011,"Norwich 007D","Total",718,718,404,19,89,296,314,271,26,17,0,0
"E01026826",2011,"Norwich 007E","Total",864,864,304,12,44,248,560,465,50,45,0,0
"E01026827",2011,"Norwich 007F","Total",931,931,129,13,28,88,802,794,4,4,0,0
