"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,480,153,327,5,692,553,139,281,263,0,12,6,17
"E01026792",2011,"Norwich 005B","Total",1445,770,264,506,23,489,290,199,157,136,0,17,4,6
"E01026793",2011,"Norwich 005C","Total",1817,474,152,322,2,1090,945,145,234,216,0,13,5,17
"E01026794",2011,"Norwich 005D","Total",2021,1064,271,793,11,619,217,402,322,288,6,25,3,5
"E01026796",2011,"Norwich 005F","Total",1636,521,230,291,7,665,558,107,421,408,0,12,1,22
"E01026797",2011,"Norwich 001A","Total",2400,1270,278,992,3,437,238,199,666,621,9,30,6,24
"E01026798",2011,"Norwich 001B","Total",1533,516,135,381,4,846,764,82,165,155,0,5,5,2
"E01026799",2011,"Norwich 001C","Total",1459,654,113,541,0,657,592,65,140,128,0,12,0,8
"E01026800",2011,"Norwich 001D","Total",1991,514,147,367,17,1056,904,152,388,372,2,13,1,16
"E01026801",2011,"Norwich 001E","Total",1560,1228,566,662,6,128,117,11,188,186,0,0,2,10
"E01026802",2011,"Norwich 001F","Total",1536,884,395,489,8,318,177,141,321,291,3,25,2,5
"E01026803",2011,"Norwich 004A","Total",1388,688,308,380,0,584,499,85,103,93,0,8,2,13
"E01026804",2011,"Norwich 004B","Total",1429,947,453,494,0,388,383,5,92,78,0,14,0,2
"E01026805",2011,"Norwich 004C","Total",1421,706,290,416,1,595,540,55,98,89,0,8,1,21
"E01026806",2011,"Norwich 004D","Total",1127,982,472,510,3,52,50,2,79,61,0,18,0,11
"E01026807",2011,"Norwich 004E","Total",1252,693,260,433,2,392,363,29,163,151,0,10,2,2
"E01026808",2011,"Norwich 004F","Total",1320,383,78,305,2,847,816,31,77,73,0,4,0,11
"E01026809",2011,"Norwich 004G","Total",1483,622,260,362,39,757,700,57,59,55,0,4,0,6
"E01026810",2011,"Norwich 012A","Total",1374,998,543,455,4,215,123,92,153,141,0,12,0,4
"E01026811",2011,"Norwich 012B","Total",1525,1308,742,566,1,73,62,11,134,112,3,10,9,9
"E01026812",2011,"Norwich 012C","Total",1425,1180,587,593,9,24,20,4,197,184,0,13,0,15
"E01026813",2011,"Norwich 012D","Total",1426,1261,760,501,2,35,28,7,124,116,0,8,0,4
"E01026814",2011,"Norwich 012E","Total",1502,664,316,348,7,532,523,9,275,249,7,19,0,24
"E01026815",2011,"Norwich 012F","Total",1450,1061,495,566,5,67,34,33,295,281,5,9,0,22
"E01026816",2011,"Norwich 013A","Total",1699,776,264,512,1,390,217,173,505,472,1,28,4,27
"E01026817",2011,"Norwich 013B","Total",1415,715,351,364,6,506,429,77,176,160,0,9,7,12
"E01026818",2011,"Norwich 013C","Total",1462,601,210,391,3,756,702,54,89,73,2,14,0,13
"E01026819",2011,"Norwich 013D","Total",1439,398,134,264,2,916,901,15,110,91,0,16,3,13
"E01026820",2011,"Norwich 013E","Total",1727,676,252,424,0,901,833,68,138,126,0,12,0,12
"E01026821",2011,"Norwich 013F","Total",1542,745,280,465,3,681,672,9,98,82,0,16,0,15
"E01026822",2011,"Norwich 007A","Total",1958,562,319,243,3,744,328,416,616,587,4,22,3,33
"E01026823",2011,"Norwich 007B","Total",1800,633,305,328,16,388,255,133,738,699,3,29,7,25
"E01026824",2011,"Norwich 007C","Total",1471,395,167,228,11,724,684,40,316,293,1,20,2,25
"E01026825",2011,"Norwich 007D","Total",1276,446,150,296,5,383,302,81,431,383,8,38,2,11
"E01026826",2011,"Norwich 007E","Total",1406,242,87,155,14,771,442,329,367,339,1,22,5,12
"E01026827",2011,"Norwich 007F","Total",1501,239,97,142,3,990,800,190,246,219,1,22,4,23
"E01026828",2011,"Norwich 002A","Total",1744,560,141,419,6,1032,922,110,135,129,0,2,4,11
"E01026829",2011,"Norwich 002B","Total",2063,577,152,425,56,937,763,174,476,456,0,20,0,17
"E01026830",2011,"Norwich 002C","Total",1252,429,150,279,0,578,487,91,233,219,3,10,1,12
"E01026831",2011,"Norwich 002D","Total",1242,639,198,441,8,122,73,49,463,427,0,36,0,10
"E01026832",2011,"Norwich 002E","Total",1415,460,122,338,4,862,785,77,83,75,0,8,0,6
"E01026833",2011,"Norwich 002F","Total",1382,198,64,134,43,1060,844,216,72,64,0,6,2,9
"E01026834",2011,"Norwich 002G","Total",1503,541,178,363,5,798,615,183,151,134,8,3,6,8
"E01026835",2011,"Norwich 009A","Total",1453,712,295,417,0,73,20,53,652,617,0,33,2,16
"E01026836",2011,"Norwich 009B","Total",1566,998,419,579,14,28,16,12,522,496,0,26,0,4
"E01026837",2011,"Norwich 009C","Total",1448,793,343,450,4,144,68,76,492,462,3,27,0,15
"E01026838",2011,"Norwich 009D","Total",1551,974,389,585,3,18,9,9,540,511,3,26,0,16
"E01026839",2011,"Norwich 009E","Total",1592,676,219,457,0,44,22,22,856,808,0,45,3,16
"E01026840",2011,"Norwich 009F","Total",1604,868,326,542,6,70,48,22,650,614,2,33,1,10
"E01026841",2011,"Norwich 003A","Total",1428,747,222,525,0,60,48,12,605,562,7,31,5,16
"E01026842",2011,"Norwich 003B","Total",1628,944,354,590,11,80,76,4,583,547,2,34,0,10
"E01026843",2011,"Norwich 003C","Total",1871,898,290,608,4,594,540,54,367,332,0,35,0,8
"E01026844",2011,"Norwich 003D","Total",1741,734,231,503,44,632,575,57,312,290,0,21,1,19
"E01026845",2011,"Norwich 003E","Total",1561,785,178,607,15,87,56,31,669,627,0,39,3,5
"E01026846",2011,"Norwich 003F","Total",1609,757,217,540,6,176,113,63,646,600,4,38,4,24
"E01026848",2011,"Norwich 015A","Total",1823,388,155,233,3,1175,797,378,249,228,0,20,1,8
"E01026849",2011,"Norwich 015B","Total",1677,931,410,521,7,106,38,68,616,604,0,10,2,17
"E01026850",2011,"Norwich 015C","Total",1827,890,355,535,5,335,248,87,581,541,0,40,0,16
"E01026852",2011,"Norwich 011A","Total",1234,996,529,467,6,47,32,15,177,176,0,1,0,8
"E01026853",2011,"Norwich 011B","Total",1746,548,239,309,11,755,604,151,410,376,6,24,4,22
"E01026855",2011,"Norwich 011D","Total",1564,760,410,350,3,95,84,11,696,663,5,28,0,10
"E01026856",2011,"Norwich 011E","Total",1821,741,293,448,9,155,132,23,904,847,4,52,1,12
"E01026857",2011,"Norwich 011F","Total",1515,804,397,407,5,233,130,103,451,426,0,24,1,22
"E01026858",2011,"Norwich 010A","Total",1508,391,186,205,1,792,666,126,302,277,0,22,3,22
"E01026859",2011,"Norwich 010B","Total",1659,611,311,300,125,681,146,535,240,208,5,26,1,2
"E01026860",2011,"Norwich 010C","Total",1098,464,301,163,4,328,280,48,294,246,6,23,19,8
"E01026861",2011,"Norwich 010D","Total",1493,393,168,225,8,711,421,290,367,311,7,25,24,14
"E01026862",2011,"Norwich 010E","Total",1302,619,229,390,7,452,295,157,210,196,2,11,1,14
"E01026863",2011,"Norwich 006A","Total",1814,898,361,537,13,263,184,79,613,558,0,53,2,27
"E01026864",2011,"Norwich 006B","Total",1547,918,322,596,4,382,256,126,227,199,2,25,1,16
"E01026865",2011,"Norwich 006C","Total",1949,396,110,286,36,1139,972,167,361,329,4,26,2,17
"E01026866",2011,"Norwich 006D","Total",1574,780,315,465,18,285,224,61,470,415,7,47,1,21
"E01026867",2011,"Norwich 006E","Total",1592,414,128,286,36,930,891,39,185,173,2,10,0,27
"E01026868",2011,"Norwich 006F","Total",1623,330,113,217,32,978,770,208,276,255,0,21,0,7
"E01026869",2011,"Norwich 006G","Total",1400,399,143,256,0,898,846,52,99,86,0,13,0,4
"E01033434",2011,"Norwich 011G","Total",1076,457,153,304,34,109,100,9,469,431,0,37,1,7
"E01033435",2011,"Norwich 005G","Total",1845,732,137,595,45,361,120,241,690,653,0,33,4,17
"E01033436",2011,"Norwich 005H","Total",1383,452,184,268,0,696,495,201,221,216,0,5,0,14
"E01033437",2011,"Norwich 011H","Total",1334,315,146,169,20,748,703,45,224,211,0,13,0,27
"E01033438",2011,"Norwich 014A","Total",1350,467,288,179,5,279,44,235,557,470,24,13,50,42
"E01033439",2011,"Norwich 014B","Total",1357,614,206,408,7,80,60,20,641,612,2,21,6,15
"E01033440",2011,"Norwich 014C","Total",1070,226,78,148,22,422,215,207,384,374,0,10,0,16
"E01033441",2011,"Norwich 014D","Total",1229,350,122,228,8,179,107,72,683,640,0,36,7,9
