"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Rented from council (Local Authority); measures: Value","Tenure: Other social rented; measures: Value","Tenure: Private rented; measures: Value","Tenure: Living rent free; measures: Value"
"E01026791",2011,"Norwich 005A","Total",106,45,1,50,5,2,3
"E01026792",2011,"Norwich 005B","Total",163,93,0,54,12,2,2
"E01026793",2011,"Norwich 005C","Total",130,49,0,50,25,1,5
"E01026794",2011,"Norwich 005D","Total",132,63,2,17,42,7,1
"E01026796",2011,"Norwich 005F","Total",176,87,1,69,9,4,6
"E01026797",2011,"Norwich 001A","Total",136,79,0,36,10,6,5
"E01026798",2011,"Norwich 001B","Total",128,42,0,68,15,2,1
"E01026799",2011,"Norwich 001C","Total",107,44,0,57,0,2,4
"E01026800",2011,"Norwich 001D","Total",146,50,0,78,5,10,3
"E01026801",2011,"Norwich 001E","Total",239,213,3,16,0,3,4
"E01026802",2011,"Norwich 001F","Total",175,138,1,22,5,9,0
"E01026803",2011,"Norwich 004A","Total",248,152,0,86,4,2,4
"E01026804",2011,"Norwich 004B","Total",243,192,0,48,0,1,2
"E01026805",2011,"Norwich 004C","Total",245,140,0,95,3,2,5
"E01026806",2011,"Norwich 004D","Total",179,167,0,4,0,3,5
"E01026807",2011,"Norwich 004E","Total",114,89,0,20,0,5,0
"E01026808",2011,"Norwich 004F","Total",113,31,1,78,0,1,2
"E01026809",2011,"Norwich 004G","Total",248,123,1,118,1,2,3
"E01026810",2011,"Norwich 012A","Total",271,209,0,49,8,3,2
"E01026811",2011,"Norwich 012B","Total",342,289,1,39,2,7,4
"E01026812",2011,"Norwich 012C","Total",202,193,1,2,1,4,1
"E01026813",2011,"Norwich 012D","Total",303,299,0,1,0,3,0
"E01026814",2011,"Norwich 012E","Total",235,117,0,106,0,5,7
"E01026815",2011,"Norwich 012F","Total",181,172,1,2,2,1,3
"E01026816",2011,"Norwich 013A","Total",193,98,0,13,61,18,3
"E01026817",2011,"Norwich 013B","Total",270,135,1,76,50,4,4
"E01026818",2011,"Norwich 013C","Total",146,76,0,65,2,1,2
"E01026819",2011,"Norwich 013D","Total",115,38,0,69,2,2,4
"E01026820",2011,"Norwich 013E","Total",266,91,0,138,28,3,6
"E01026821",2011,"Norwich 013F","Total",255,113,0,131,1,2,8
"E01026822",2011,"Norwich 007A","Total",305,183,2,36,65,13,6
"E01026823",2011,"Norwich 007B","Total",177,91,2,59,13,10,2
"E01026824",2011,"Norwich 007C","Total",203,37,0,148,7,5,6
"E01026825",2011,"Norwich 007D","Total",116,26,1,75,3,9,2
"E01026826",2011,"Norwich 007E","Total",211,36,0,84,79,9,3
"E01026827",2011,"Norwich 007F","Total",301,31,0,166,89,8,7
"E01026828",2011,"Norwich 002A","Total",136,50,0,78,4,2,2
"E01026829",2011,"Norwich 002B","Total",121,50,2,61,2,4,2
"E01026830",2011,"Norwich 002C","Total",193,57,0,86,43,4,3
"E01026831",2011,"Norwich 002D","Total",58,42,0,2,8,6,0
"E01026832",2011,"Norwich 002E","Total",124,47,1,73,1,2,0
"E01026833",2011,"Norwich 002F","Total",149,16,2,122,6,1,2
"E01026834",2011,"Norwich 002G","Total",170,59,0,77,22,9,3
"E01026835",2011,"Norwich 009A","Total",88,66,0,0,16,4,2
"E01026836",2011,"Norwich 009B","Total",83,79,1,1,0,2,0
"E01026837",2011,"Norwich 009C","Total",138,73,0,14,42,9,0
"E01026838",2011,"Norwich 009D","Total",112,103,1,0,2,4,2
"E01026839",2011,"Norwich 009E","Total",55,47,0,0,1,4,3
"E01026840",2011,"Norwich 009F","Total",76,69,0,5,1,1,0
"E01026841",2011,"Norwich 003A","Total",72,53,0,8,1,9,1
"E01026842",2011,"Norwich 003B","Total",117,105,0,3,1,7,1
"E01026843",2011,"Norwich 003C","Total",192,73,1,104,3,9,2
"E01026844",2011,"Norwich 003D","Total",140,76,0,57,0,3,4
"E01026845",2011,"Norwich 003E","Total",68,53,0,4,0,9,2
"E01026846",2011,"Norwich 003F","Total",100,71,0,3,10,16,0
"E01026848",2011,"Norwich 015A","Total",258,55,0,153,40,8,2
"E01026849",2011,"Norwich 015B","Total",130,112,0,4,4,9,1
"E01026850",2011,"Norwich 015C","Total",140,101,0,28,1,7,3
"E01026852",2011,"Norwich 011A","Total",174,165,0,2,0,6,1
"E01026853",2011,"Norwich 011B","Total",284,70,0,107,87,12,8
"E01026855",2011,"Norwich 011D","Total",162,127,0,12,2,16,5
"E01026856",2011,"Norwich 011E","Total",96,79,0,9,3,5,0
"E01026857",2011,"Norwich 011F","Total",293,155,2,42,79,8,7
"E01026858",2011,"Norwich 010A","Total",269,86,0,124,47,1,11
"E01026859",2011,"Norwich 010B","Total",153,124,1,8,16,2,2
