"lsoa11cd","date","lsoa11nm","Rural Urban","Household Size: All categories: Household size; measures: Value","Household Size: 1 person in household; measures: Value","Household Size: 2 people in household; measures: Value","Household Size: 3 people in household; measures: Value","Household Size: 4 people in household; measures: Value","Household Size: 5 people in household; measures: Value","Household Size: 6 people in household; measures: Value","Household Size: 7 people in household; measures: Value","Household Size: 8 or more people in household; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,262,164,122,64,34,12,3,0
"E01026792",2011,"Norwich 005B","Total",627,180,240,94,76,26,8,3,0
"E01026793",2011,"Norwich 005C","Total",625,102,193,127,112,59,22,8,2
"E01026794",2011,"Norwich 005D","Total",844,210,321,156,103,39,11,4,0
"E01026796",2011,"Norwich 005F","Total",650,196,188,108,81,48,27,2,0
"E01026797",2011,"Norwich 001A","Total",1070,341,378,176,118,43,12,1,1
"E01026798",2011,"Norwich 001B","Total",670,250,194,89,80,40,14,1,2
"E01026799",2011,"Norwich 001C","Total",626,181,213,122,82,16,7,4,1
"E01026800",2011,"Norwich 001D","Total",901,364,267,114,82,38,25,7,4
"E01026801",2011,"Norwich 001E","Total",684,180,283,111,80,23,6,0,1
"E01026802",2011,"Norwich 001F","Total",785,329,266,109,63,14,2,2,0
"E01026803",2011,"Norwich 004A","Total",638,212,234,97,68,19,7,0,1
"E01026804",2011,"Norwich 004B","Total",633,187,259,75,72,30,9,1,0
"E01026805",2011,"Norwich 004C","Total",639,207,240,91,60,30,8,2,1
"E01026806",2011,"Norwich 004D","Total",508,131,227,80,53,13,3,1,0
"E01026807",2011,"Norwich 004E","Total",523,152,181,90,51,32,15,2,0
"E01026808",2011,"Norwich 004F","Total",516,154,149,75,78,36,19,3,2
"E01026809",2011,"Norwich 004G","Total",762,335,247,103,47,24,5,1,0
"E01026810",2011,"Norwich 012A","Total",635,205,248,89,65,23,4,1,0
"E01026811",2011,"Norwich 012B","Total",723,243,286,93,79,18,3,1,0
"E01026812",2011,"Norwich 012C","Total",639,178,266,91,82,18,4,0,0
"E01026813",2011,"Norwich 012D","Total",635,172,274,88,75,15,10,1,0
"E01026814",2011,"Norwich 012E","Total",653,203,228,99,84,28,8,2,1
"E01026815",2011,"Norwich 012F","Total",648,206,225,99,96,19,3,0,0
"E01026816",2011,"Norwich 013A","Total",934,446,320,95,47,18,6,2,0
"E01026817",2011,"Norwich 013B","Total",706,297,236,80,64,24,5,0,0
"E01026818",2011,"Norwich 013C","Total",626,173,232,103,84,25,8,1,0
"E01026819",2011,"Norwich 013D","Total",625,214,193,96,74,36,9,3,0
"E01026820",2011,"Norwich 013E","Total",755,272,231,105,89,33,18,7,0
"E01026821",2011,"Norwich 013F","Total",712,254,246,104,69,28,9,2,0
"E01026822",2011,"Norwich 007A","Total",1228,694,399,88,37,6,4,0,0
"E01026823",2011,"Norwich 007B","Total",1099,597,369,84,35,11,3,0,0
"E01026824",2011,"Norwich 007C","Total",868,476,268,62,46,9,5,2,0
"E01026825",2011,"Norwich 007D","Total",718,359,234,68,44,9,4,0,0
"E01026826",2011,"Norwich 007E","Total",864,515,231,67,34,12,3,2,0
"E01026827",2011,"Norwich 007F","Total",931,547,267,67,36,10,3,1,0
"E01026828",2011,"Norwich 002A","Total",664,162,200,125,112,39,20,5,1
"E01026829",2011,"Norwich 002B","Total",857,266,254,157,110,49,17,1,3
"E01026830",2011,"Norwich 002C","Total",682,312,235,83,40,11,1,0,0
"E01026831",2011,"Norwich 002D","Total",632,257,230,76,54,11,3,0,1
"E01026832",2011,"Norwich 002E","Total",498,99,148,85,101,37,21,6,1
"E01026833",2011,"Norwich 002F","Total",696,321,186,103,57,23,5,1,0
"E01026834",2011,"Norwich 002G","Total",644,206,198,114,87,28,8,1,2
"E01026835",2011,"Norwich 009A","Total",643,236,189,100,70,36,8,3,1
"E01026836",2011,"Norwich 009B","Total",646,181,207,114,102,33,7,2,0
"E01026837",2011,"Norwich 009C","Total",735,338,227,78,51,31,7,3,0
"E01026838",2011,"Norwich 009D","Total",645,171,225,103,116,24,5,1,0
"E01026839",2011,"Norwich 009E","Total",668,204,198,116,110,37,2,1,0
"E01026840",2011,"Norwich 009F","Total",759,233,334,96,72,18,5,1,0
"E01026841",2011,"Norwich 003A","Total",726,272,292,93,57,7,5,0,0
"E01026842",2011,"Norwich 003B","Total",818,324,298,101,74,17,4,0,0
"E01026843",2011,"Norwich 003C","Total",902,338,329,116,87,18,11,1,2
"E01026844",2011,"Norwich 003D","Total",823,314,284,104,74,36,9,0,2
"E01026845",2011,"Norwich 003E","Total",786,286,322,103,59,11,4,1,0
"E01026846",2011,"Norwich 003F","Total",811,320,292,120,58,15,4,2,0
"E01026848",2011,"Norwich 015A","Total",1015,512,294,133,59,14,3,0,0
"E01026849",2011,"Norwich 015B","Total",913,409,336,99,54,12,1,0,2
"E01026850",2011,"Norwich 015C","Total",952,390,363,120,58,14,4,1,2
"E01026852",2011,"Norwich 011A","Total",598,228,209,75,70,13,3,0,0
"E01026853",2011,"Norwich 011B","Total",1011,534,312,97,48,15,5,0,0
"E01026855",2011,"Norwich 011D","Total",773,332,236,104,65,28,8,0,0
"E01026856",2011,"Norwich 011E","Total",847,306,290,130,79,33,5,2,2
"E01026857",2011,"Norwich 011F","Total",751,327,230,89,72,25,8,0,0
"E01026858",2011,"Norwich 010A","Total",745,323,224,97,73,19,6,1,2
"E01026859",2011,"Norwich 010B","Total",640,154,205,109,114,40,14,4,0
"E01026860",2011,"Norwich 010C","Total",470,152,162,68,46,25,12,3,2
"E01026861",2011,"Norwich 010D","Total",549,105,167,118,112,32,14,0,1
"E01026862",2011,"Norwich 010E","Total",497,122,147,97,83,31,13,3,1
"E01026863",2011,"Norwich 006A","Total",771,215,285,113,110,38,10,0,0
"E01026864",2011,"Norwich 006B","Total",657,169,256,108,88,28,7,0,1
"E01026865",2011,"Norwich 006C","Total",805,236,257,134,118,43,11,4,2
"E01026866",2011,"Norwich 006D","Total",767,293,284,91,62,31,5,1,0
"E01026867",2011,"Norwich 006E","Total",562,136,146,97,98,49,23,9,4
"E01026868",2011,"Norwich 006F","Total",565,119,160,106,90,52,27,7,4
"E01026869",2011,"Norwich 006G","Total",657,264,192,89,85,18,8,1,0
"E01033434",2011,"Norwich 011G","Total",615,311,203,59,31,8,3,0,0
"E01033435",2011,"Norwich 005G","Total",705,144,253,133,106,48,15,6,0
"E01033436",2011,"Norwich 005H","Total",596,187,212,91,55,33,13,4,1
"E01033437",2011,"Norwich 011H","Total",786,460,197,63,45,16,4,1,0
"E01033438",2011,"Norwich 014A","Total",878,557,226,52,32,9,2,0,0
"E01033439",2011,"Norwich 014B","Total",763,366,274,71,35,14,2,0,1
"E01033440",2011,"Norwich 014C","Total",662,377,204,48,24,9,0,0,0
"E01033441",2011,"Norwich 014D","Total",773,428,254,73,16,2,0,0,0
