"lsoa11cd","date","lsoa11nm","Rural Urban","Rooms: All categories: Number of rooms; measures: Value","Rooms: 1 room; measures: Value","Rooms: 2 rooms; measures: Value","Rooms: 3 rooms; measures: Value","Rooms: 4 rooms; measures: Value","Rooms: 5 rooms; measures: Value","Rooms: 6 rooms; measures: Value","Rooms: 7 rooms; measures: Value","Rooms: 8 rooms; measures: Value","Rooms: 9 or more rooms; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,1,30,128,105,244,89,40,15,9
"E01026792",2011,"Norwich 005B","Total",627,0,7,57,129,264,115,38,9,8
"E01026793",2011,"Norwich 005C","Total",625,0,1,15,101,319,130,38,14,7
"E01026794",2011,"Norwich 005D","Total",844,0,11,71,202,272,141,80,46,21
"E01026796",2011,"Norwich 005F","Total",650,2,15,37,101,211,180,58,36,10
"E01026797",2011,"Norwich 001A","Total",1070,4,19,138,350,272,144,81,41,21
"E01026798",2011,"Norwich 001B","Total",670,6,24,99,172,250,91,15,8,5
"E01026799",2011,"Norwich 001C","Total",626,0,6,35,214,266,81,17,3,4
"E01026800",2011,"Norwich 001D","Total",901,7,30,210,252,172,122,58,31,19
"E01026801",2011,"Norwich 001E","Total",684,6,19,24,41,196,207,101,49,41
"E01026802",2011,"Norwich 001F","Total",785,18,24,50,277,236,117,32,17,14
"E01026803",2011,"Norwich 004A","Total",638,2,11,46,153,204,156,51,9,6
"E01026804",2011,"Norwich 004B","Total",633,0,3,9,105,216,211,60,19,10
"E01026805",2011,"Norwich 004C","Total",639,0,6,37,126,173,244,38,14,1
"E01026806",2011,"Norwich 004D","Total",508,0,1,8,58,206,180,34,15,6
"E01026807",2011,"Norwich 004E","Total",523,0,4,13,60,216,143,51,24,12
"E01026808",2011,"Norwich 004F","Total",516,2,5,61,85,250,91,18,1,3
"E01026809",2011,"Norwich 004G","Total",762,3,14,119,224,220,140,28,4,10
"E01026810",2011,"Norwich 012A","Total",635,1,5,35,78,176,130,61,58,91
"E01026811",2011,"Norwich 012B","Total",723,0,0,45,60,90,143,138,106,141
"E01026812",2011,"Norwich 012C","Total",639,0,0,0,86,172,111,95,79,96
