"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating (rooms); measures: Value","Occupancy Rating: Occupancy rating (rooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (rooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -2 or less; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,211,173,217,55,5
"E01026792",2011,"Norwich 005B","Total",627,289,174,138,24,2
"E01026793",2011,"Norwich 005C","Total",625,232,204,147,34,8
"E01026794",2011,"Norwich 005D","Total",844,382,223,201,34,4
"E01026796",2011,"Norwich 005F","Total",650,285,164,140,46,15
"E01026797",2011,"Norwich 001A","Total",1070,381,361,262,54,12
"E01026798",2011,"Norwich 001B","Total",670,184,199,219,57,11
"E01026799",2011,"Norwich 001C","Total",626,204,232,166,19,5
"E01026800",2011,"Norwich 001D","Total",901,247,226,333,80,15
"E01026801",2011,"Norwich 001E","Total",684,485,107,55,26,11
"E01026802",2011,"Norwich 001F","Total",785,301,285,136,36,27
"E01026803",2011,"Norwich 004A","Total",638,303,175,127,26,7
"E01026804",2011,"Norwich 004B","Total",633,395,157,65,15,1
"E01026805",2011,"Norwich 004C","Total",639,347,150,120,17,5
"E01026806",2011,"Norwich 004D","Total",508,349,108,42,9,0
"E01026807",2011,"Norwich 004E","Total",523,298,141,64,16,4
"E01026808",2011,"Norwich 004F","Total",516,166,141,167,35,7
"E01026809",2011,"Norwich 004G","Total",762,285,220,226,25,6
"E01026810",2011,"Norwich 012A","Total",635,430,124,71,8,2
"E01026811",2011,"Norwich 012B","Total",723,582,80,59,2,0
"E01026812",2011,"Norwich 012C","Total",639,475,129,31,4,0
"E01026813",2011,"Norwich 012D","Total",635,552,55,19,5,4
"E01026814",2011,"Norwich 012E","Total",653,311,177,136,25,4
"E01026815",2011,"Norwich 012F","Total",648,494,82,54,15,3
"E01026816",2011,"Norwich 013A","Total",934,445,170,235,58,26
"E01026817",2011,"Norwich 013B","Total",706,344,157,152,47,6
"E01026818",2011,"Norwich 013C","Total",626,288,194,121,17,6
"E01026819",2011,"Norwich 013D","Total",625,164,239,179,34,9
"E01026820",2011,"Norwich 013E","Total",755,332,190,192,32,9
"E01026821",2011,"Norwich 013F","Total",712,331,233,125,22,1
"E01026822",2011,"Norwich 007A","Total",1228,195,335,533,143,22
"E01026823",2011,"Norwich 007B","Total",1099,299,274,369,124,33
"E01026824",2011,"Norwich 007C","Total",868,162,317,327,45,17
"E01026825",2011,"Norwich 007D","Total",718,224,186,238,62,8
"E01026826",2011,"Norwich 007E","Total",864,150,219,381,98,16
"E01026827",2011,"Norwich 007F","Total",931,111,372,381,55,12
"E01026828",2011,"Norwich 002A","Total",664,239,212,170,36,7
"E01026829",2011,"Norwich 002B","Total",857,351,231,215,47,13
"E01026830",2011,"Norwich 002C","Total",682,241,147,223,61,10
"E01026831",2011,"Norwich 002D","Total",632,372,137,82,32,9
"E01026832",2011,"Norwich 002E","Total",498,273,105,98,21,1
"E01026833",2011,"Norwich 002F","Total",696,149,277,231,30,9
"E01026834",2011,"Norwich 002G","Total",644,260,178,174,27,5
"E01026835",2011,"Norwich 009A","Total",643,353,114,117,47,12
"E01026836",2011,"Norwich 009B","Total",646,432,101,67,31,15
"E01026837",2011,"Norwich 009C","Total",735,349,116,169,68,33
"E01026838",2011,"Norwich 009D","Total",645,454,104,66,17,4
"E01026839",2011,"Norwich 009E","Total",668,376,107,131,48,6
"E01026840",2011,"Norwich 009F","Total",759,490,168,84,16,1
"E01026841",2011,"Norwich 003A","Total",726,476,144,71,27,8
"E01026842",2011,"Norwich 003B","Total",818,429,174,160,48,7
"E01026843",2011,"Norwich 003C","Total",902,449,200,202,37,14
"E01026844",2011,"Norwich 003D","Total",823,274,256,251,34,8
"E01026845",2011,"Norwich 003E","Total",786,500,174,72,30,10
"E01026846",2011,"Norwich 003F","Total",811,458,157,142,35,19
"E01026848",2011,"Norwich 015A","Total",1015,182,372,386,68,7
"E01026849",2011,"Norwich 015B","Total",913,414,210,221,53,15
"E01026850",2011,"Norwich 015C","Total",952,516,238,156,32,10
"E01026852",2011,"Norwich 011A","Total",598,387,106,90,11,4
"E01026853",2011,"Norwich 011B","Total",1011,304,282,342,59,24
"E01026855",2011,"Norwich 011D","Total",773,428,154,125,43,23
"E01026856",2011,"Norwich 011E","Total",847,431,174,170,55,17
"E01026857",2011,"Norwich 011F","Total",751,438,126,149,32,6
"E01026858",2011,"Norwich 010A","Total",745,201,236,229,69,10
"E01026859",2011,"Norwich 010B","Total",640,296,165,144,27,8
"E01026860",2011,"Norwich 010C","Total",470,237,122,87,19,5
"E01026861",2011,"Norwich 010D","Total",549,223,140,144,29,13
"E01026862",2011,"Norwich 010E","Total",497,254,110,110,20,3
"E01026863",2011,"Norwich 006A","Total",771,398,196,139,32,6
