"lsoa11cd","date","lsoa11nm","Rural Urban","Persons per Room: All categories: Number of persons per room in household; measures: Value","Persons per Room: Up to 0.5 persons per room; measures: Value","Persons per Room: Over 0.5 and up to 1.0 persons per room; measures: Value","Persons per Room: Over 1.0 and up to 1.5 persons per room; measures: Value","Persons per Room: Over 1.5 persons per room; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,641,795,39,0
"E01026792",2011,"Norwich 005B","Total",1445,697,709,39,0
"E01026793",2011,"Norwich 005C","Total",1817,584,1065,155,13
"E01026794",2011,"Norwich 005D","Total",2021,1048,907,66,0
"E01026796",2011,"Norwich 005F","Total",1636,746,807,74,9
"E01026797",2011,"Norwich 001A","Total",2400,1237,1101,46,16
"E01026798",2011,"Norwich 001B","Total",1533,646,780,107,0
"E01026799",2011,"Norwich 001C","Total",1459,673,718,56,12
"E01026800",2011,"Norwich 001D","Total",1991,920,929,127,15
"E01026801",2011,"Norwich 001E","Total",1560,1011,518,24,7
"E01026802",2011,"Norwich 001F","Total",1536,951,533,42,10
"E01026803",2011,"Norwich 004A","Total",1388,771,570,45,2
"E01026804",2011,"Norwich 004B","Total",1429,846,555,28,0
"E01026805",2011,"Norwich 004C","Total",1421,803,582,23,13
"E01026806",2011,"Norwich 004D","Total",1127,730,397,0,0
"E01026807",2011,"Norwich 004E","Total",1252,638,525,78,11
"E01026808",2011,"Norwich 004F","Total",1320,491,749,72,8
"E01026809",2011,"Norwich 004G","Total",1483,901,543,35,4
"E01026810",2011,"Norwich 012A","Total",1374,1003,350,19,2
"E01026811",2011,"Norwich 012B","Total",1525,1237,277,11,0
"E01026812",2011,"Norwich 012C","Total",1425,992,433,0,0
"E01026813",2011,"Norwich 012D","Total",1426,1067,341,18,0
"E01026814",2011,"Norwich 012E","Total",1502,775,678,44,5
"E01026815",2011,"Norwich 012F","Total",1450,1093,348,9,0
"E01026816",2011,"Norwich 013A","Total",1699,1143,507,34,15
"E01026817",2011,"Norwich 013B","Total",1415,875,504,17,19
"E01026818",2011,"Norwich 013C","Total",1462,745,664,46,7
"E01026819",2011,"Norwich 013D","Total",1439,634,730,67,8
"E01026820",2011,"Norwich 013E","Total",1727,845,767,101,14
"E01026821",2011,"Norwich 013F","Total",1542,838,634,65,5
"E01026822",2011,"Norwich 007A","Total",1958,1267,659,21,11
"E01026823",2011,"Norwich 007B","Total",1800,1237,529,24,10
"E01026824",2011,"Norwich 007C","Total",1471,999,427,34,11
"E01026825",2011,"Norwich 007D","Total",1276,869,399,8,0
"E01026826",2011,"Norwich 007E","Total",1406,899,442,52,13
"E01026827",2011,"Norwich 007F","Total",1501,994,469,23,15
"E01026828",2011,"Norwich 002A","Total",1744,687,930,127,0
"E01026829",2011,"Norwich 002B","Total",2063,941,1033,78,11
"E01026830",2011,"Norwich 002C","Total",1252,790,440,13,9
"E01026831",2011,"Norwich 002D","Total",1242,879,357,0,6
"E01026832",2011,"Norwich 002E","Total",1415,561,771,83,0
"E01026833",2011,"Norwich 002F","Total",1382,709,620,45,8
"E01026834",2011,"Norwich 002G","Total",1503,688,750,57,8
"E01026835",2011,"Norwich 009A","Total",1453,839,610,4,0
"E01026836",2011,"Norwich 009B","Total",1566,957,609,0,0
"E01026837",2011,"Norwich 009C","Total",1448,972,458,6,12
"E01026838",2011,"Norwich 009D","Total",1551,912,627,6,6
"E01026839",2011,"Norwich 009E","Total",1592,853,739,0,0
"E01026840",2011,"Norwich 009F","Total",1604,1099,505,0,0
"E01026841",2011,"Norwich 003A","Total",1428,986,421,12,9
"E01026842",2011,"Norwich 003B","Total",1628,1063,552,9,4
"E01026843",2011,"Norwich 003C","Total",1871,1132,678,51,10
"E01026844",2011,"Norwich 003D","Total",1741,910,771,36,24
"E01026845",2011,"Norwich 003E","Total",1561,1082,456,19,4
"E01026846",2011,"Norwich 003F","Total",1609,1036,509,40,24
"E01026848",2011,"Norwich 015A","Total",1823,1130,653,35,5
"E01026849",2011,"Norwich 015B","Total",1677,1246,403,23,5
"E01026850",2011,"Norwich 015C","Total",1827,1240,530,35,22
"E01026852",2011,"Norwich 011A","Total",1234,906,311,15,2
"E01026853",2011,"Norwich 011B","Total",1746,1183,518,36,9
"E01026855",2011,"Norwich 011D","Total",1564,1002,554,5,3
"E01026856",2011,"Norwich 011E","Total",1821,1131,662,17,11
"E01026857",2011,"Norwich 011F","Total",1515,1090,403,17,5
"E01026858",2011,"Norwich 010A","Total",1508,813,656,17,22
"E01026859",2011,"Norwich 010B","Total",1659,781,829,47,2
"E01026860",2011,"Norwich 010C","Total",1098,621,427,34,16
"E01026861",2011,"Norwich 010D","Total",1493,595,833,36,29
"E01026862",2011,"Norwich 010E","Total",1302,624,640,32,6
"E01026863",2011,"Norwich 006A","Total",1814,1009,798,7,0
"E01026864",2011,"Norwich 006B","Total",1547,804,704,30,9
"E01026865",2011,"Norwich 006C","Total",1949,792,1038,106,13
"E01026866",2011,"Norwich 006D","Total",1574,1037,519,16,2
"E01026867",2011,"Norwich 006E","Total",1592,574,887,114,17
"E01026868",2011,"Norwich 006F","Total",1623,552,974,91,6
"E01026869",2011,"Norwich 006G","Total",1400,704,648,43,5
"E01033434",2011,"Norwich 011G","Total",1076,687,359,14,16
"E01033435",2011,"Norwich 005G","Total",1845,873,877,80,15
"E01033436",2011,"Norwich 005H","Total",1383,678,608,97,0
"E01033437",2011,"Norwich 011H","Total",1334,865,439,8,22
"E01033438",2011,"Norwich 014A","Total",1350,985,336,18,11
"E01033439",2011,"Norwich 014B","Total",1357,872,443,17,25
"E01033440",2011,"Norwich 014C","Total",1070,654,375,37,4
"E01033441",2011,"Norwich 014D","Total",1229,764,429,26,10
