"lsoa11cd","date","lsoa11nm","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,2,160,119,313,51,16
"E01026792",2011,"Norwich 005B","Total",627,2,57,183,333,45,7
"E01026793",2011,"Norwich 005C","Total",625,1,7,118,422,62,15
"E01026794",2011,"Norwich 005D","Total",844,0,76,256,367,126,19
"E01026796",2011,"Norwich 005F","Total",650,1,48,109,369,88,35
"E01026797",2011,"Norwich 001A","Total",1070,2,138,413,389,97,31
"E01026798",2011,"Norwich 001B","Total",670,1,119,185,333,27,5
"E01026799",2011,"Norwich 001C","Total",626,0,30,255,299,40,2
"E01026800",2011,"Norwich 001D","Total",901,2,243,301,213,91,51
"E01026801",2011,"Norwich 001E","Total",684,1,43,68,473,68,31
"E01026802",2011,"Norwich 001F","Total",785,8,87,344,309,32,5
"E01026803",2011,"Norwich 004A","Total",638,5,43,175,395,17,3
"E01026804",2011,"Norwich 004B","Total",633,1,9,158,428,33,4
"E01026805",2011,"Norwich 004C","Total",639,0,41,142,443,7,6
"E01026806",2011,"Norwich 004D","Total",508,0,3,98,369,31,7
"E01026807",2011,"Norwich 004E","Total",523,1,11,118,349,36,8
"E01026808",2011,"Norwich 004F","Total",516,0,59,105,320,29,3
"E01026809",2011,"Norwich 004G","Total",762,0,140,240,371,9,2
"E01026810",2011,"Norwich 012A","Total",635,1,54,105,282,132,61
"E01026811",2011,"Norwich 012B","Total",723,1,52,96,277,204,93
"E01026812",2011,"Norwich 012C","Total",639,0,2,115,257,228,37
"E01026813",2011,"Norwich 012D","Total",635,1,4,54,270,245,61
"E01026814",2011,"Norwich 012E","Total",653,0,44,138,397,56,18
"E01026815",2011,"Norwich 012F","Total",648,1,26,150,216,148,107
"E01026816",2011,"Norwich 013A","Total",934,3,243,324,309,44,11
"E01026817",2011,"Norwich 013B","Total",706,0,130,176,314,68,18
"E01026818",2011,"Norwich 013C","Total",626,1,5,177,413,25,5
"E01026819",2011,"Norwich 013D","Total",625,1,68,228,293,32,3
"E01026820",2011,"Norwich 013E","Total",755,2,112,146,471,18,6
"E01026821",2011,"Norwich 013F","Total",712,0,17,247,429,14,5
"E01026822",2011,"Norwich 007A","Total",1228,6,533,497,140,38,14
"E01026823",2011,"Norwich 007B","Total",1099,6,365,424,186,92,26
