"lsoa11cd","date","lsoa11nm","Rural Urban","Persons Per Room: All categories: Number of persons per bedroom in household; measures: Value","Persons Per Room: Up to 0.5 persons per bedroom; measures: Value","Persons Per Room: Over 0.5 and up to 1.0 persons per bedroom; measures: Value","Persons Per Room: Over 1.0 and up to 1.5 persons per bedroom; measures: Value","Persons Per Room: Over 1.5 persons per bedroom; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,154,778,315,228
"E01026792",2011,"Norwich 005B","Total",1445,174,677,380,214
"E01026793",2011,"Norwich 005C","Total",1817,126,778,501,412
"E01026794",2011,"Norwich 005D","Total",2021,256,1040,434,291
"E01026796",2011,"Norwich 005F","Total",1636,195,871,323,247
"E01026797",2011,"Norwich 001A","Total",2400,318,1187,572,323
"E01026798",2011,"Norwich 001B","Total",1533,162,637,410,324
"E01026799",2011,"Norwich 001C","Total",1459,176,679,396,208
"E01026800",2011,"Norwich 001D","Total",1991,251,909,458,373
"E01026801",2011,"Norwich 001E","Total",1560,240,871,285,164
"E01026802",2011,"Norwich 001F","Total",1536,273,807,267,189
"E01026803",2011,"Norwich 004A","Total",1388,193,682,303,210
"E01026804",2011,"Norwich 004B","Total",1429,210,705,292,222
"E01026805",2011,"Norwich 004C","Total",1421,182,708,278,253
"E01026806",2011,"Norwich 004D","Total",1127,145,693,233,56
"E01026807",2011,"Norwich 004E","Total",1252,172,564,273,243
"E01026808",2011,"Norwich 004F","Total",1320,122,526,364,308
"E01026809",2011,"Norwich 004G","Total",1483,217,790,267,209
"E01026810",2011,"Norwich 012A","Total",1374,331,803,181,59
"E01026811",2011,"Norwich 012B","Total",1525,460,856,161,48
"E01026812",2011,"Norwich 012C","Total",1425,417,754,213,41
"E01026813",2011,"Norwich 012D","Total",1426,447,748,180,51
"E01026814",2011,"Norwich 012E","Total",1502,210,800,302,190
"E01026815",2011,"Norwich 012F","Total",1450,404,805,165,76
"E01026816",2011,"Norwich 013A","Total",1699,284,953,271,191
"E01026817",2011,"Norwich 013B","Total",1415,258,719,263,175
"E01026818",2011,"Norwich 013C","Total",1462,181,696,389,196
"E01026819",2011,"Norwich 013D","Total",1439,176,638,335,290
"E01026820",2011,"Norwich 013E","Total",1727,189,752,414,372
"E01026821",2011,"Norwich 013F","Total",1542,250,728,322,242
"E01026822",2011,"Norwich 007A","Total",1958,316,1122,204,316
"E01026823",2011,"Norwich 007B","Total",1800,385,1027,178,210
"E01026824",2011,"Norwich 007C","Total",1471,301,768,196,206
"E01026825",2011,"Norwich 007D","Total",1276,198,736,209,133
"E01026826",2011,"Norwich 007E","Total",1406,187,777,165,277
"E01026827",2011,"Norwich 007F","Total",1501,302,769,178,252
"E01026828",2011,"Norwich 002A","Total",1744,162,706,527,349
"E01026829",2011,"Norwich 002B","Total",2063,257,943,468,395
"E01026830",2011,"Norwich 002C","Total",1252,173,708,212,159
"E01026831",2011,"Norwich 002D","Total",1242,233,730,143,136
"E01026832",2011,"Norwich 002E","Total",1415,97,573,454,291
"E01026833",2011,"Norwich 002F","Total",1382,226,595,315,246
"E01026834",2011,"Norwich 002G","Total",1503,179,676,391,257
"E01026835",2011,"Norwich 009A","Total",1453,246,910,230,67
"E01026836",2011,"Norwich 009B","Total",1566,236,970,304,56
"E01026837",2011,"Norwich 009C","Total",1448,269,843,187,149
"E01026838",2011,"Norwich 009D","Total",1551,261,849,346,95
"E01026839",2011,"Norwich 009E","Total",1592,178,1055,293,66
"E01026840",2011,"Norwich 009F","Total",1604,267,1019,256,62
"E01026841",2011,"Norwich 003A","Total",1428,235,798,258,137
"E01026842",2011,"Norwich 003B","Total",1628,264,884,269,211
"E01026843",2011,"Norwich 003C","Total",1871,273,1002,362,234
"E01026844",2011,"Norwich 003D","Total",1741,214,873,351,303
"E01026845",2011,"Norwich 003E","Total",1561,262,878,249,172
"E01026846",2011,"Norwich 003F","Total",1609,266,859,296,188
"E01026848",2011,"Norwich 015A","Total",1823,313,919,351,240
"E01026849",2011,"Norwich 015B","Total",1677,389,940,169,179
"E01026850",2011,"Norwich 015C","Total",1827,365,955,300,207
"E01026852",2011,"Norwich 011A","Total",1234,254,672,241,67
"E01026853",2011,"Norwich 011B","Total",1746,299,984,221,242
"E01026855",2011,"Norwich 011D","Total",1564,322,891,250,101
"E01026856",2011,"Norwich 011E","Total",1821,255,1246,214,106
"E01026857",2011,"Norwich 011F","Total",1515,360,884,170,101
"E01026858",2011,"Norwich 010A","Total",1508,199,845,273,191
"E01026859",2011,"Norwich 010B","Total",1659,180,807,436,236
"E01026860",2011,"Norwich 010C","Total",1098,209,585,157,147
"E01026861",2011,"Norwich 010D","Total",1493,106,786,396,205
"E01026862",2011,"Norwich 010E","Total",1302,140,720,321,121
"E01026863",2011,"Norwich 006A","Total",1814,235,1070,367,142
"E01026864",2011,"Norwich 006B","Total",1547,168,802,359,218
"E01026865",2011,"Norwich 006C","Total",1949,178,921,460,390
"E01026866",2011,"Norwich 006D","Total",1574,233,961,226,154
"E01026867",2011,"Norwich 006E","Total",1592,156,669,403,364
"E01026868",2011,"Norwich 006F","Total",1623,150,713,449,311
"E01026869",2011,"Norwich 006G","Total",1400,168,670,359,203
"E01033434",2011,"Norwich 011G","Total",1076,190,668,91,127
"E01033435",2011,"Norwich 005G","Total",1845,244,962,380,259
"E01033436",2011,"Norwich 005H","Total",1383,150,690,265,278
"E01033437",2011,"Norwich 011H","Total",1334,266,711,176,181
"E01033438",2011,"Norwich 014A","Total",1350,233,828,114,175
"E01033439",2011,"Norwich 014B","Total",1357,205,773,148,231
"E01033440",2011,"Norwich 014C","Total",1070,228,584,121,137
"E01033441",2011,"Norwich 014D","Total",1229,248,686,129,166
