"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: No central heating; measures: Value","Central Heating: Gas central heating; measures: Value","Central Heating: Electric (including storage heaters) central heating; measures: Value","Central Heating: Oil central heating; measures: Value","Central Heating: Solid fuel (for example wood, coal) central heating; measures: Value","Central Heating: Other central heating; measures: Value","Central Heating: Two or more types of central heating; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,6,563,35,1,1,37,18
"E01026792",2011,"Norwich 005B","Total",627,16,547,22,0,0,17,25
"E01026793",2011,"Norwich 005C","Total",625,6,561,16,3,1,10,28
"E01026794",2011,"Norwich 005D","Total",844,11,757,42,0,0,6,28
"E01026796",2011,"Norwich 005F","Total",650,9,589,22,1,5,5,19
"E01026797",2011,"Norwich 001A","Total",1070,35,882,78,27,0,14,34
"E01026798",2011,"Norwich 001B","Total",670,17,570,45,1,3,8,26
"E01026799",2011,"Norwich 001C","Total",626,5,572,16,1,1,6,25
"E01026800",2011,"Norwich 001D","Total",901,16,765,44,3,0,41,32
"E01026801",2011,"Norwich 001E","Total",684,15,618,22,2,2,2,23
"E01026802",2011,"Norwich 001F","Total",785,40,507,154,18,1,31,34
"E01026803",2011,"Norwich 004A","Total",638,16,583,25,0,5,2,7
"E01026804",2011,"Norwich 004B","Total",633,9,577,22,1,1,8,15
"E01026805",2011,"Norwich 004C","Total",639,17,589,15,1,2,5,10
"E01026806",2011,"Norwich 004D","Total",508,14,406,55,8,3,6,16
"E01026807",2011,"Norwich 004E","Total",523,8,473,22,1,4,3,12
"E01026808",2011,"Norwich 004F","Total",516,9,478,9,0,1,7,12
"E01026809",2011,"Norwich 004G","Total",762,10,705,15,1,0,9,22
"E01026810",2011,"Norwich 012A","Total",635,4,575,19,3,1,10,23
"E01026811",2011,"Norwich 012B","Total",723,6,645,29,6,1,19,17
"E01026812",2011,"Norwich 012C","Total",639,11,599,16,0,1,1,11
"E01026813",2011,"Norwich 012D","Total",635,3,601,6,4,2,3,16
"E01026814",2011,"Norwich 012E","Total",653,8,601,18,0,3,3,20
"E01026815",2011,"Norwich 012F","Total",648,8,600,18,3,1,1,17
"E01026816",2011,"Norwich 013A","Total",934,32,797,61,6,1,9,28
"E01026817",2011,"Norwich 013B","Total",706,16,584,64,1,0,14,27
"E01026818",2011,"Norwich 013C","Total",626,11,572,15,1,1,2,24
"E01026819",2011,"Norwich 013D","Total",625,13,566,16,1,2,9,18
"E01026820",2011,"Norwich 013E","Total",755,13,699,17,0,2,3,21
"E01026821",2011,"Norwich 013F","Total",712,13,644,21,0,7,6,21
"E01026822",2011,"Norwich 007A","Total",1228,37,875,269,2,1,10,34
"E01026823",2011,"Norwich 007B","Total",1099,38,772,208,6,0,40,35
"E01026824",2011,"Norwich 007C","Total",868,15,653,71,20,0,89,20
"E01026825",2011,"Norwich 007D","Total",718,31,529,127,1,1,11,18
"E01026826",2011,"Norwich 007E","Total",864,28,667,117,1,2,21,28
"E01026827",2011,"Norwich 007F","Total",931,6,631,64,32,2,171,25
"E01026828",2011,"Norwich 002A","Total",664,16,582,21,3,1,12,29
"E01026829",2011,"Norwich 002B","Total",857,18,723,59,0,3,14,40
"E01026830",2011,"Norwich 002C","Total",682,24,506,107,3,1,18,23
"E01026831",2011,"Norwich 002D","Total",632,28,543,36,0,1,5,19
"E01026832",2011,"Norwich 002E","Total",498,9,448,6,0,2,8,25
"E01026833",2011,"Norwich 002F","Total",696,8,417,97,3,1,146,24
"E01026834",2011,"Norwich 002G","Total",644,15,548,41,0,2,9,29
"E01026835",2011,"Norwich 009A","Total",643,26,574,18,0,1,1,23
"E01026836",2011,"Norwich 009B","Total",646,27,556,32,3,2,2,24
"E01026837",2011,"Norwich 009C","Total",735,42,588,73,3,2,7,20
"E01026838",2011,"Norwich 009D","Total",645,18,603,12,0,1,0,11
"E01026839",2011,"Norwich 009E","Total",668,28,563,55,0,1,1,20
"E01026840",2011,"Norwich 009F","Total",759,34,663,26,1,0,4,31
"E01026841",2011,"Norwich 003A","Total",726,52,593,48,1,4,5,23
"E01026842",2011,"Norwich 003B","Total",818,37,666,78,3,1,4,29
"E01026843",2011,"Norwich 003C","Total",902,34,770,44,1,0,21,32
"E01026844",2011,"Norwich 003D","Total",823,23,735,33,0,3,3,26
"E01026845",2011,"Norwich 003E","Total",786,31,679,40,1,1,2,32
"E01026846",2011,"Norwich 003F","Total",811,52,690,35,1,1,2,30
"E01026848",2011,"Norwich 015A","Total",1015,28,846,78,0,0,38,25
"E01026849",2011,"Norwich 015B","Total",913,17,815,39,4,1,8,29
"E01026850",2011,"Norwich 015C","Total",952,23,847,44,0,3,7,28
"E01026852",2011,"Norwich 011A","Total",598,10,534,31,4,0,3,16
"E01026853",2011,"Norwich 011B","Total",1011,23,867,53,9,1,24,34
"E01026855",2011,"Norwich 011D","Total",773,26,643,74,3,1,3,23
"E01026856",2011,"Norwich 011E","Total",847,31,736,49,1,4,0,26
"E01026857",2011,"Norwich 011F","Total",751,14,667,34,5,1,16,14
"E01026858",2011,"Norwich 010A","Total",745,8,644,54,0,2,12,25
"E01026859",2011,"Norwich 010B","Total",640,7,559,33,4,0,5,32
"E01026860",2011,"Norwich 010C","Total",470,9,423,18,2,1,5,12
"E01026861",2011,"Norwich 010D","Total",549,6,497,21,0,0,4,21
"E01026862",2011,"Norwich 010E","Total",497,3,415,57,1,2,3,16
"E01026863",2011,"Norwich 006A","Total",771,14,691,33,0,3,4,26
"E01026864",2011,"Norwich 006B","Total",657,9,593,16,4,1,5,29
"E01026865",2011,"Norwich 006C","Total",805,18,682,41,0,6,23,35
"E01026866",2011,"Norwich 006D","Total",767,26,670,39,3,3,3,23
"E01026867",2011,"Norwich 006E","Total",562,15,507,13,1,1,6,19
"E01026868",2011,"Norwich 006F","Total",565,5,495,22,0,2,5,36
"E01026869",2011,"Norwich 006G","Total",657,10,578,30,1,2,9,27
"E01033434",2011,"Norwich 011G","Total",615,34,294,267,1,0,6,13
"E01033435",2011,"Norwich 005G","Total",705,2,653,22,0,0,7,21
"E01033436",2011,"Norwich 005H","Total",596,10,515,32,0,0,23,16
"E01033437",2011,"Norwich 011H","Total",786,10,638,76,8,1,23,30
"E01033438",2011,"Norwich 014A","Total",878,37,504,293,4,1,17,22
"E01033439",2011,"Norwich 014B","Total",763,63,562,113,0,0,6,19
"E01033440",2011,"Norwich 014C","Total",662,30,242,305,33,2,34,16
"E01033441",2011,"Norwich 014D","Total",773,18,335,374,1,2,26,17
