"lsoa11cd","date","lsoa11nm","Rural Urban","Cars: All categories: Car or van availability; measures: Value","Cars: No cars or vans in household; measures: Value","Cars: 1 car or van in household; measures: Value","Cars: 2 cars or vans in household; measures: Value","Cars: 3 cars or vans in household; measures: Value","Cars: 4 or more cars or vans in household; measures: Value","Cars: sum of All cars or vans in the area; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,260,278,95,22,6,565
"E01026792",2011,"Norwich 005B","Total",627,160,314,121,26,6,658
"E01026793",2011,"Norwich 005C","Total",625,194,297,112,20,2,589
"E01026794",2011,"Norwich 005D","Total",844,160,408,219,48,9,1029
"E01026796",2011,"Norwich 005F","Total",650,240,291,95,22,2,555
"E01026797",2011,"Norwich 001A","Total",1070,216,538,262,43,11,1237
"E01026798",2011,"Norwich 001B","Total",670,230,321,99,16,4,584
"E01026799",2011,"Norwich 001C","Total",626,161,328,117,13,7,629
"E01026800",2011,"Norwich 001D","Total",901,350,407,120,14,10,733
"E01026801",2011,"Norwich 001E","Total",684,111,339,190,31,13,869
"E01026802",2011,"Norwich 001F","Total",785,238,414,106,22,5,715
"E01026803",2011,"Norwich 004A","Total",638,214,324,82,14,4,550
"E01026804",2011,"Norwich 004B","Total",633,160,306,132,26,9,686
"E01026805",2011,"Norwich 004C","Total",639,199,313,102,22,3,596
"E01026806",2011,"Norwich 004D","Total",508,87,260,132,22,7,618
"E01026807",2011,"Norwich 004E","Total",523,127,268,111,14,3,544
"E01026808",2011,"Norwich 004F","Total",516,181,250,66,15,4,443
"E01026809",2011,"Norwich 004G","Total",762,309,351,84,16,2,577
"E01026810",2011,"Norwich 012A","Total",635,142,286,157,36,14,773
"E01026811",2011,"Norwich 012B","Total",723,102,328,240,40,13,984
"E01026812",2011,"Norwich 012C","Total",639,54,351,195,35,4,863
"E01026813",2011,"Norwich 012D","Total",635,68,324,199,33,11,874
"E01026814",2011,"Norwich 012E","Total",653,186,321,115,25,6,651
"E01026815",2011,"Norwich 012F","Total",648,110,306,188,38,6,824
"E01026816",2011,"Norwich 013A","Total",934,339,464,118,8,5,744
"E01026817",2011,"Norwich 013B","Total",706,251,324,104,18,9,629
"E01026818",2011,"Norwich 013C","Total",626,199,314,95,15,3,561
"E01026819",2011,"Norwich 013D","Total",625,267,269,75,13,1,465
"E01026820",2011,"Norwich 013E","Total",755,270,338,116,25,6,671
"E01026821",2011,"Norwich 013F","Total",712,255,341,97,15,4,596
"E01026822",2011,"Norwich 007A","Total",1228,675,457,83,11,2,666
"E01026823",2011,"Norwich 007B","Total",1099,512,466,103,15,3,730
"E01026824",2011,"Norwich 007C","Total",868,461,348,52,6,1,477
"E01026825",2011,"Norwich 007D","Total",718,272,360,71,11,4,552
"E01026826",2011,"Norwich 007E","Total",864,532,282,43,5,2,393
"E01026827",2011,"Norwich 007F","Total",931,495,374,58,4,0,502
"E01026828",2011,"Norwich 002A","Total",664,195,334,113,12,10,659
"E01026829",2011,"Norwich 002B","Total",857,285,392,151,22,7,788
"E01026830",2011,"Norwich 002C","Total",682,281,323,68,9,1,490
"E01026831",2011,"Norwich 002D","Total",632,174,360,93,5,0,561
"E01026832",2011,"Norwich 002E","Total",498,145,250,82,14,7,484
"E01026833",2011,"Norwich 002F","Total",696,337,292,61,5,1,433
"E01026834",2011,"Norwich 002G","Total",644,221,307,102,9,5,559
"E01026835",2011,"Norwich 009A","Total",643,174,327,116,20,6,645
