"lsoa11cd","date","lsoa11nm","Rural Urban","Household Spaces: All categories: Household spaces; measures: Value","Household Spaces: Household spaces with at least one usual resident; measures: Value","Household Spaces: Household spaces with no usual residents; measures: Value"
"E01026791",2011,"Norwich 005A","Total",698,661,37
"E01026792",2011,"Norwich 005B","Total",642,627,15
"E01026793",2011,"Norwich 005C","Total",655,625,30
"E01026794",2011,"Norwich 005D","Total",870,844,26
"E01026796",2011,"Norwich 005F","Total",674,650,24
"E01026797",2011,"Norwich 001A","Total",1145,1070,75
"E01026798",2011,"Norwich 001B","Total",700,670,30
"E01026799",2011,"Norwich 001C","Total",656,626,30
"E01026800",2011,"Norwich 001D","Total",945,901,44
"E01026801",2011,"Norwich 001E","Total",693,684,9
"E01026802",2011,"Norwich 001F","Total",808,785,23
"E01026803",2011,"Norwich 004A","Total",645,638,7
"E01026804",2011,"Norwich 004B","Total",651,633,18
"E01026805",2011,"Norwich 004C","Total",657,639,18
"E01026806",2011,"Norwich 004D","Total",516,508,8
"E01026807",2011,"Norwich 004E","Total",538,523,15
"E01026808",2011,"Norwich 004F","Total",531,516,15
"E01026809",2011,"Norwich 004G","Total",784,762,22
"E01026810",2011,"Norwich 012A","Total",658,635,23
"E01026811",2011,"Norwich 012B","Total",747,723,24
"E01026812",2011,"Norwich 012C","Total",656,639,17
"E01026813",2011,"Norwich 012D","Total",649,635,14
"E01026814",2011,"Norwich 012E","Total",677,653,24
"E01026815",2011,"Norwich 012F","Total",675,648,27
"E01026816",2011,"Norwich 013A","Total",962,934,28
"E01026817",2011,"Norwich 013B","Total",725,706,19
"E01026818",2011,"Norwich 013C","Total",636,626,10
"E01026819",2011,"Norwich 013D","Total",636,625,11
"E01026820",2011,"Norwich 013E","Total",765,755,10
"E01026821",2011,"Norwich 013F","Total",724,712,12
"E01026822",2011,"Norwich 007A","Total",1396,1228,168
"E01026823",2011,"Norwich 007B","Total",1270,1099,171
"E01026824",2011,"Norwich 007C","Total",933,868,65
"E01026825",2011,"Norwich 007D","Total",765,718,47
"E01026826",2011,"Norwich 007E","Total",971,864,107
"E01026827",2011,"Norwich 007F","Total",973,931,42
"E01026828",2011,"Norwich 002A","Total",682,664,18
"E01026829",2011,"Norwich 002B","Total",914,857,57
"E01026830",2011,"Norwich 002C","Total",703,682,21
"E01026831",2011,"Norwich 002D","Total",709,632,77
"E01026832",2011,"Norwich 002E","Total",521,498,23
"E01026833",2011,"Norwich 002F","Total",724,696,28
"E01026834",2011,"Norwich 002G","Total",673,644,29
"E01026835",2011,"Norwich 009A","Total",683,643,40
"E01026836",2011,"Norwich 009B","Total",663,646,17
"E01026837",2011,"Norwich 009C","Total",812,735,77
"E01026838",2011,"Norwich 009D","Total",670,645,25
"E01026839",2011,"Norwich 009E","Total",698,668,30
"E01026840",2011,"Norwich 009F","Total",804,759,45
"E01026841",2011,"Norwich 003A","Total",767,726,41
"E01026842",2011,"Norwich 003B","Total",863,818,45
"E01026843",2011,"Norwich 003C","Total",934,902,32
"E01026844",2011,"Norwich 003D","Total",853,823,30
"E01026845",2011,"Norwich 003E","Total",825,786,39
"E01026846",2011,"Norwich 003F","Total",883,811,72
"E01026848",2011,"Norwich 015A","Total",1039,1015,24
"E01026849",2011,"Norwich 015B","Total",969,913,56
"E01026850",2011,"Norwich 015C","Total",991,952,39
"E01026852",2011,"Norwich 011A","Total",621,598,23
"E01026853",2011,"Norwich 011B","Total",1034,1011,23
"E01026855",2011,"Norwich 011D","Total",815,773,42
"E01026856",2011,"Norwich 011E","Total",917,847,70
"E01026857",2011,"Norwich 011F","Total",779,751,28
"E01026858",2011,"Norwich 010A","Total",762,745,17
"E01026859",2011,"Norwich 010B","Total",656,640,16
"E01026860",2011,"Norwich 010C","Total",493,470,23
"E01026861",2011,"Norwich 010D","Total",576,549,27
"E01026862",2011,"Norwich 010E","Total",513,497,16
"E01026863",2011,"Norwich 006A","Total",814,771,43
"E01026864",2011,"Norwich 006B","Total",672,657,15
"E01026865",2011,"Norwich 006C","Total",824,805,19
"E01026866",2011,"Norwich 006D","Total",830,767,63
"E01026867",2011,"Norwich 006E","Total",574,562,12
"E01026868",2011,"Norwich 006F","Total",590,565,25
"E01026869",2011,"Norwich 006G","Total",681,657,24
"E01033434",2011,"Norwich 011G","Total",660,615,45
"E01033435",2011,"Norwich 005G","Total",746,705,41
"E01033436",2011,"Norwich 005H","Total",625,596,29
"E01033437",2011,"Norwich 011H","Total",825,786,39
"E01033438",2011,"Norwich 014A","Total",1018,878,140
"E01033439",2011,"Norwich 014B","Total",850,763,87
"E01033440",2011,"Norwich 014C","Total",723,662,61
"E01033441",2011,"Norwich 014D","Total",934,773,161
