"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01026791",2011,"Norwich 005A","Total",696,694,2
"E01026792",2011,"Norwich 005B","Total",642,642,0
"E01026793",2011,"Norwich 005C","Total",655,655,0
"E01026794",2011,"Norwich 005D","Total",870,870,0
"E01026796",2011,"Norwich 005F","Total",674,674,0
"E01026797",2011,"Norwich 001A","Total",1145,1145,0
"E01026798",2011,"Norwich 001B","Total",699,698,1
"E01026799",2011,"Norwich 001C","Total",656,656,0
"E01026800",2011,"Norwich 001D","Total",945,945,0
"E01026801",2011,"Norwich 001E","Total",693,693,0
"E01026802",2011,"Norwich 001F","Total",808,808,0
"E01026803",2011,"Norwich 004A","Total",645,645,0
"E01026804",2011,"Norwich 004B","Total",651,651,0
"E01026805",2011,"Norwich 004C","Total",657,657,0
"E01026806",2011,"Norwich 004D","Total",516,516,0
"E01026807",2011,"Norwich 004E","Total",538,538,0
"E01026808",2011,"Norwich 004F","Total",531,531,0
"E01026809",2011,"Norwich 004G","Total",784,784,0
"E01026810",2011,"Norwich 012A","Total",658,658,0
"E01026811",2011,"Norwich 012B","Total",747,747,0
"E01026812",2011,"Norwich 012C","Total",656,656,0
"E01026813",2011,"Norwich 012D","Total",649,649,0
"E01026814",2011,"Norwich 012E","Total",677,677,0
"E01026815",2011,"Norwich 012F","Total",675,675,0
"E01026816",2011,"Norwich 013A","Total",957,956,1
"E01026817",2011,"Norwich 013B","Total",725,725,0
"E01026818",2011,"Norwich 013C","Total",636,636,0
"E01026819",2011,"Norwich 013D","Total",636,636,0
"E01026820",2011,"Norwich 013E","Total",765,765,0
"E01026821",2011,"Norwich 013F","Total",724,724,0
"E01026822",2011,"Norwich 007A","Total",1395,1394,1
"E01026823",2011,"Norwich 007B","Total",1267,1266,1
"E01026824",2011,"Norwich 007C","Total",928,926,2
"E01026825",2011,"Norwich 007D","Total",765,765,0
"E01026826",2011,"Norwich 007E","Total",971,971,0
"E01026827",2011,"Norwich 007F","Total",973,973,0
"E01026828",2011,"Norwich 002A","Total",682,682,0
"E01026829",2011,"Norwich 002B","Total",914,914,0
"E01026830",2011,"Norwich 002C","Total",696,693,3
"E01026831",2011,"Norwich 002D","Total",699,696,3
"E01026832",2011,"Norwich 002E","Total",521,521,0
"E01026833",2011,"Norwich 002F","Total",724,724,0
"E01026834",2011,"Norwich 002G","Total",673,673,0
"E01026835",2011,"Norwich 009A","Total",667,663,4
"E01026836",2011,"Norwich 009B","Total",659,658,1
"E01026837",2011,"Norwich 009C","Total",784,778,6
"E01026838",2011,"Norwich 009D","Total",670,670,0
"E01026839",2011,"Norwich 009E","Total",695,694,1
"E01026840",2011,"Norwich 009F","Total",804,804,0
"E01026841",2011,"Norwich 003A","Total",767,767,0
"E01026842",2011,"Norwich 003B","Total",862,861,1
"E01026843",2011,"Norwich 003C","Total",931,930,1
"E01026844",2011,"Norwich 003D","Total",853,853,0
"E01026845",2011,"Norwich 003E","Total",825,825,0
"E01026846",2011,"Norwich 003F","Total",880,879,1
"E01026848",2011,"Norwich 015A","Total",1039,1039,0
"E01026849",2011,"Norwich 015B","Total",954,950,4
"E01026850",2011,"Norwich 015C","Total",991,991,0
"E01026852",2011,"Norwich 011A","Total",621,621,0
"E01026853",2011,"Norwich 011B","Total",1034,1034,0
"E01026855",2011,"Norwich 011D","Total",793,791,2
"E01026856",2011,"Norwich 011E","Total",896,891,5
"E01026857",2011,"Norwich 011F","Total",778,777,1
"E01026858",2011,"Norwich 010A","Total",762,762,0
"E01026859",2011,"Norwich 010B","Total",656,656,0
"E01026860",2011,"Norwich 010C","Total",493,493,0
"E01026861",2011,"Norwich 010D","Total",575,574,1
"E01026862",2011,"Norwich 010E","Total",513,513,0
"E01026863",2011,"Norwich 006A","Total",814,814,0
"E01026864",2011,"Norwich 006B","Total",671,670,1
"E01026865",2011,"Norwich 006C","Total",824,824,0
"E01026866",2011,"Norwich 006D","Total",830,830,0
"E01026867",2011,"Norwich 006E","Total",574,574,0
"E01026868",2011,"Norwich 006F","Total",589,588,1
"E01026869",2011,"Norwich 006G","Total",681,681,0
"E01033434",2011,"Norwich 011G","Total",660,660,0
"E01033435",2011,"Norwich 005G","Total",746,746,0
"E01033436",2011,"Norwich 005H","Total",625,625,0
"E01033437",2011,"Norwich 011H","Total",825,825,0
"E01033438",2011,"Norwich 014A","Total",1007,1003,4
"E01033439",2011,"Norwich 014B","Total",790,774,16
"E01033440",2011,"Norwich 014C","Total",723,723,0
"E01033441",2011,"Norwich 014D","Total",934,934,0
