"lsoa11cd","date","lsoa11nm","Rural Urban","Communal Establishment Type: All categories: Communal establishment management and type; measures: Value","Communal Establishment Type: Medical and care establishment: Total; measures: Value","Communal Establishment Type: Medical and care establishment: NHS: Total; measures: Value","Communal Establishment Type: Medical and care establishment: NHS: General hospital; measures: Value","Communal Establishment Type: Medical and care establishment: NHS: Mental health hospital/unit (including secure units); measures: Value","Communal Establishment Type: Medical and care establishment: NHS: Other hospital; measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Total; measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Children's home (including secure units); measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Care home with nursing; measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Care home without nursing; measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Other home; measures: Value","Communal Establishment Type: Medical and care establishment: Registered Social Landlord/Housing Association: Total; measures: Value","Communal Establishment Type: Medical and care establishment: Registered Social Landlord/Housing Association: Home or hostel; measures: Value","Communal Establishment Type: Medical and care establishment: Registered Social Landlord/Housing Association: Sheltered housing only; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Total; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Care home with nursing; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Care home without nursing; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Children's home (including secure units); measures: Value","Communal Establishment Type: Medical and care establishment: Other: Mental health hospital/unit (including secure units); measures: Value","Communal Establishment Type: Medical and care establishment: Other: Other hospital; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Other establishment; measures: Value","Communal Establishment Type: Other establishment: Total; measures: Value","Communal Establishment Type: Other establishment: Defence; measures: Value","Communal Establishment Type: Other establishment: Prison service; measures: Value","Communal Establishment Type: Other establishment: Approved premises (probation/bail hostel); measures: Value","Communal Establishment Type: Other establishment: Detention centres and other detention; measures: Value","Communal Establishment Type: Other establishment: Education; measures: Value","Communal Establishment Type: Other establishment: Hotel: guest house; B&B; youth hostel; measures: Value","Communal Establishment Type: Other establishment: Hostel or temporary shelter for the homeless; measures: Value","Communal Establishment Type: Other establishment: Holiday accommodation (for example holiday parks); measures: Value","Communal Establishment Type: Other establishment: Other travel or temporary accommodation; measures: Value","Communal Establishment Type: Other establishment: Religious; measures: Value","Communal Establishment Type: Other establishment: Staff/worker accommodation only; measures: Value","Communal Establishment Type: Other establishment: Other; measures: Value","Communal Establishment Type: Establishment not stated; measures: Value"
"E01026791",2011,"Norwich 005A","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026792",2011,"Norwich 005B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026793",2011,"Norwich 005C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026794",2011,"Norwich 005D","Total",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"E01026796",2011,"Norwich 005F","Total",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026797",2011,"Norwich 001A","Total",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0
"E01026798",2011,"Norwich 001B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026799",2011,"Norwich 001C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026800",2011,"Norwich 001D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026801",2011,"Norwich 001E","Total",3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"E01026802",2011,"Norwich 001F","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"E01026803",2011,"Norwich 004A","Total",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026804",2011,"Norwich 004B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
