"lsoa11cd","date","lsoa11nm","Rural Urban","Qualification: All categories: Highest level of qualification; measures: Value","Qualification: No qualifications; measures: Value","Qualification: Level 1 qualifications; measures: Value","Qualification: Level 2 qualifications; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: Level 3 qualifications; measures: Value","Qualification: Level 4 qualifications and above; measures: Value","Qualification: Other qualifications; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1164,329,207,179,22,185,180,62
"E01026792",2011,"Norwich 005B","Total",1167,323,198,196,48,133,192,77
"E01026793",2011,"Norwich 005C","Total",1283,473,220,185,30,144,167,64
"E01026794",2011,"Norwich 005D","Total",1679,376,291,260,61,203,418,70
"E01026796",2011,"Norwich 005F","Total",1350,407,155,154,25,332,198,79
"E01026797",2011,"Norwich 001A","Total",1936,390,327,388,55,254,394,128
"E01026798",2011,"Norwich 001B","Total",1179,420,208,181,38,103,136,93
"E01026799",2011,"Norwich 001C","Total",1146,349,228,210,34,118,125,82
"E01026800",2011,"Norwich 001D","Total",1545,454,261,262,39,152,263,114
"E01026801",2011,"Norwich 001E","Total",1386,323,209,242,65,148,336,63
"E01026802",2011,"Norwich 001F","Total",1358,352,228,221,48,193,247,69
"E01026803",2011,"Norwich 004A","Total",1173,515,188,163,48,108,113,38
"E01026804",2011,"Norwich 004B","Total",1176,402,203,160,70,110,172,59
"E01026805",2011,"Norwich 004C","Total",1139,487,212,171,57,93,69,50
"E01026806",2011,"Norwich 004D","Total",1351,376,229,257,78,133,199,79
"E01026807",2011,"Norwich 004E","Total",965,215,142,146,35,119,256,52
"E01026808",2011,"Norwich 004F","Total",957,337,202,155,16,90,109,48
"E01026809",2011,"Norwich 004G","Total",1243,550,207,202,49,90,97,48
"E01026810",2011,"Norwich 012A","Total",1190,233,130,136,37,122,486,46
"E01026811",2011,"Norwich 012B","Total",1347,185,81,177,24,137,703,40
"E01026812",2011,"Norwich 012C","Total",1201,123,123,186,33,139,554,43
"E01026813",2011,"Norwich 012D","Total",1239,156,110,180,27,116,592,58
"E01026814",2011,"Norwich 012E","Total",1255,378,167,153,44,198,251,64
"E01026815",2011,"Norwich 012F","Total",1235,94,69,133,21,163,706,49
"E01026816",2011,"Norwich 013A","Total",1506,283,167,216,29,171,573,67
"E01026817",2011,"Norwich 013B","Total",1177,360,143,155,36,115,303,65
"E01026818",2011,"Norwich 013C","Total",1147,406,214,181,42,77,161,66
"E01026819",2011,"Norwich 013D","Total",1098,351,200,184,29,120,162,52
"E01026820",2011,"Norwich 013E","Total",1340,519,221,195,49,113,166,77
"E01026821",2011,"Norwich 013F","Total",1254,520,230,188,41,83,147,45
"E01026822",2011,"Norwich 007A","Total",1890,361,237,251,32,232,670,107
"E01026823",2011,"Norwich 007B","Total",1797,234,177,203,24,318,746,95
"E01026824",2011,"Norwich 007C","Total",1306,390,144,172,35,148,338,79
"E01026825",2011,"Norwich 007D","Total",1139,241,123,187,26,161,348,53
"E01026826",2011,"Norwich 007E","Total",1279,339,174,183,24,178,287,94
"E01026827",2011,"Norwich 007F","Total",1303,506,187,175,41,118,206,70
"E01026828",2011,"Norwich 002A","Total",1271,468,235,222,24,96,140,86
"E01026829",2011,"Norwich 002B","Total",1617,415,258,217,39,219,345,124
"E01026830",2011,"Norwich 002C","Total",1096,375,149,139,47,104,184,98
"E01026831",2011,"Norwich 002D","Total",1075,127,123,176,31,173,400,45
"E01026832",2011,"Norwich 002E","Total",1012,433,165,153,28,96,89,48
