"lsoa11cd","date","lsoa11nm","Rural Urban","Qualification: All usual residents aged 16 and over; measures: Value","Qualification: No qualifications; measures: Value","Qualification: 1-4 O levels/CSE/GCSEs (any grades), Entry Level, Foundation Diploma; measures: Value","Qualification: NVQ Level 1, Foundation GNVQ, Basic Skills; measures: Value","Qualification: 5+ O level (Passes)/CSEs (Grade 1)/GCSEs (Grades A*-C), School Certificate, 1 A level/2-3 AS levels/VCEs, Higher Diploma, Welsh Baccalaureate Intermediate Diploma; measures: Value","Qualification: NVQ Level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First/General Diploma, RSA Diploma; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: 2+ A levels/VCEs, 4+ AS levels, Higher School Certificate, Progression/Advanced Diploma, Welsh Baccalaureate Advanced Diploma; measures: Value","Qualification: NVQ Level 3, Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma; measures: Value","Qualification: Degree (for example BA, BSc), Higher degree (for example MA, PhD, PGCE); measures: Value","Qualification: NVQ Level 4-5, HNC, HND, RSA Higher Diploma, BTEC Higher Level; measures: Value","Qualification: Professional qualifications (for example teaching, nursing, accountancy); measures: Value","Qualification: Other vocational/work-related qualifications; measures: Value","Qualification: Foreign qualifications; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1164,329,444,126,283,176,37,176,91,105,32,82,158,75
"E01026792",2011,"Norwich 005B","Total",1167,323,395,126,255,199,72,121,99,103,31,100,200,67
"E01026793",2011,"Norwich 005C","Total",1283,473,393,116,244,170,44,142,81,108,15,85,179,87
"E01026794",2011,"Norwich 005D","Total",1679,376,649,181,500,285,109,241,196,248,80,203,298,90
"E01026796",2011,"Norwich 005F","Total",1350,407,415,99,447,162,36,341,86,137,22,91,157,94
"E01026797",2011,"Norwich 001A","Total",1936,390,764,232,586,404,104,255,245,217,68,214,339,180
"E01026798",2011,"Norwich 001B","Total",1179,420,374,106,203,176,54,87,88,68,25,78,188,80
"E01026799",2011,"Norwich 001C","Total",1146,349,418,126,237,193,51,75,104,67,20,74,199,78
"E01026800",2011,"Norwich 001D","Total",1545,454,516,187,369,268,56,198,123,151,51,140,248,153
"E01026801",2011,"Norwich 001E","Total",1386,323,484,118,478,197,92,219,136,183,61,209,258,49
"E01026802",2011,"Norwich 001F","Total",1358,352,501,143,405,226,73,200,135,146,48,107,213,75
"E01026803",2011,"Norwich 004A","Total",1173,515,338,102,199,169,67,61,94,48,26,66,148,18
"E01026804",2011,"Norwich 004B","Total",1176,402,396,102,243,174,101,106,111,87,31,97,201,24
