"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1118,704,141,375,1,2,17,37,83,48,414,114,122,60,94,24
"E01026792",2011,"Norwich 005B","Total",1052,722,171,406,2,7,16,33,49,38,330,154,53,65,41,17
"E01026793",2011,"Norwich 005C","Total",1203,733,163,360,1,4,15,32,78,80,470,124,96,130,83,37
"E01026794",2011,"Norwich 005D","Total",1565,1150,248,681,2,11,29,66,59,54,415,148,77,81,86,23
"E01026796",2011,"Norwich 005F","Total",1208,692,158,273,2,7,20,41,60,131,516,109,242,68,71,26
"E01026797",2011,"Norwich 001A","Total",1846,1509,243,991,4,32,25,76,94,44,337,117,46,77,54,43
"E01026798",2011,"Norwich 001B","Total",1120,783,182,415,4,9,8,47,83,35,337,134,34,68,80,21
"E01026799",2011,"Norwich 001C","Total",1084,800,175,476,0,12,9,37,70,21,284,104,27,57,69,27
"E01026800",2011,"Norwich 001D","Total",1464,1021,223,541,4,18,29,36,131,39,443,128,59,109,108,39
"E01026801",2011,"Norwich 001E","Total",1189,858,203,476,4,11,25,66,35,38,331,204,26,43,41,17
"E01026802",2011,"Norwich 001F","Total",1247,896,172,494,3,11,26,51,76,63,351,162,60,49,59,21
"E01026803",2011,"Norwich 004A","Total",930,595,146,315,2,2,15,34,53,28,335,156,26,63,70,20
"E01026804",2011,"Norwich 004B","Total",984,660,181,339,3,8,23,39,41,26,324,195,35,42,36,16
"E01026805",2011,"Norwich 004C","Total",907,641,174,330,2,9,15,40,45,26,266,125,31,55,40,15
"E01026806",2011,"Norwich 004D","Total",1246,683,172,371,4,7,22,46,40,21,563,205,24,25,41,268
