"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity (Student): All categories: Full-time students and economic activity; measures: Value","Economic Activity (Student): Full-time students: Economically active: In employment; measures: Value","Economic Activity (Student): Full-time students: Economically active: Unemployed; measures: Value","Economic Activity (Student): Full-time students: Economically inactive; measures: Value"
"E01026791",2011,"Norwich 005A","Total",164,38,10,116
"E01026792",2011,"Norwich 005B","Total",90,27,11,52
"E01026793",2011,"Norwich 005C","Total",175,63,17,95
"E01026794",2011,"Norwich 005D","Total",127,44,10,73
"E01026796",2011,"Norwich 005F","Total",370,103,28,239
"E01026797",2011,"Norwich 001A","Total",89,35,9,45
"E01026798",2011,"Norwich 001B","Total",68,20,15,33
"E01026799",2011,"Norwich 001C","Total",48,14,7,27
"E01026800",2011,"Norwich 001D","Total",96,28,11,57
"E01026801",2011,"Norwich 001E","Total",63,28,10,25
"E01026802",2011,"Norwich 001F","Total",123,37,26,60
"E01026803",2011,"Norwich 004A","Total",54,20,8,26
"E01026804",2011,"Norwich 004B","Total",60,18,8,34
"E01026805",2011,"Norwich 004C","Total",54,24,2,28
"E01026806",2011,"Norwich 004D","Total",44,13,8,23
"E01026807",2011,"Norwich 004E","Total",43,10,6,27
"E01026808",2011,"Norwich 004F","Total",74,25,5,44
"E01026809",2011,"Norwich 004G","Total",40,13,4,23
"E01026810",2011,"Norwich 012A","Total",103,29,4,70
"E01026811",2011,"Norwich 012B","Total",73,31,4,38
"E01026812",2011,"Norwich 012C","Total",59,27,2,30
"E01026813",2011,"Norwich 012D","Total",73,21,3,49
"E01026814",2011,"Norwich 012E","Total",194,61,13,120
"E01026815",2011,"Norwich 012F","Total",170,44,16,110
"E01026816",2011,"Norwich 013A","Total",85,39,11,35
"E01026817",2011,"Norwich 013B","Total",42,13,5,24
"E01026818",2011,"Norwich 013C","Total",65,18,9,38
"E01026819",2011,"Norwich 013D","Total",72,30,11,31
"E01026820",2011,"Norwich 013E","Total",76,19,16,41
"E01026821",2011,"Norwich 013F","Total",63,22,4,37
"E01026822",2011,"Norwich 007A","Total",162,59,13,90
"E01026823",2011,"Norwich 007B","Total",235,76,26,133
"E01026824",2011,"Norwich 007C","Total",116,37,12,67
"E01026825",2011,"Norwich 007D","Total",113,35,8,70
"E01026826",2011,"Norwich 007E","Total",70,24,12,34
"E01026827",2011,"Norwich 007F","Total",66,12,11,43
"E01026828",2011,"Norwich 002A","Total",80,31,8,41
"E01026829",2011,"Norwich 002B","Total",113,36,10,67
"E01026830",2011,"Norwich 002C","Total",48,14,5,29
"E01026831",2011,"Norwich 002D","Total",89,30,9,50
"E01026832",2011,"Norwich 002E","Total",74,26,5,43
"E01026833",2011,"Norwich 002F","Total",35,11,3,21
"E01026834",2011,"Norwich 002G","Total",59,16,12,31
"E01026835",2011,"Norwich 009A","Total",369,135,25,209
"E01026836",2011,"Norwich 009B","Total",326,107,21,198
"E01026837",2011,"Norwich 009C","Total",203,77,14,112
"E01026838",2011,"Norwich 009D","Total",308,93,15,200
"E01026839",2011,"Norwich 009E","Total",538,176,39,323
"E01026840",2011,"Norwich 009F","Total",278,105,17,156
"E01026841",2011,"Norwich 003A","Total",96,43,6,47
"E01026842",2011,"Norwich 003B","Total",94,35,6,53
"E01026843",2011,"Norwich 003C","Total",86,25,8,53
"E01026844",2011,"Norwich 003D","Total",82,18,7,57
"E01026845",2011,"Norwich 003E","Total",77,29,3,45
"E01026846",2011,"Norwich 003F","Total",111,38,9,64
"E01026848",2011,"Norwich 015A","Total",72,19,6,47
"E01026849",2011,"Norwich 015B","Total",76,29,16,31
"E01026850",2011,"Norwich 015C","Total",57,15,4,38
"E01026852",2011,"Norwich 011A","Total",66,32,3,31
"E01026853",2011,"Norwich 011B","Total",69,26,6,37
"E01026855",2011,"Norwich 011D","Total",245,85,15,145
"E01026856",2011,"Norwich 011E","Total",492,162,26,304
"E01026857",2011,"Norwich 011F","Total",236,81,12,143
"E01026858",2011,"Norwich 010A","Total",259,59,13,187
"E01026859",2011,"Norwich 010B","Total",228,67,17,144
"E01026860",2011,"Norwich 010C","Total",3406,502,379,2525
"E01026861",2011,"Norwich 010D","Total",359,94,26,239
"E01026862",2011,"Norwich 010E","Total",239,97,14,128
"E01026863",2011,"Norwich 006A","Total",358,117,31,210
"E01026864",2011,"Norwich 006B","Total",77,36,4,37
"E01026865",2011,"Norwich 006C","Total",210,71,18,121
"E01026866",2011,"Norwich 006D","Total",217,75,15,127
"E01026867",2011,"Norwich 006E","Total",153,36,10,107
"E01026868",2011,"Norwich 006F","Total",238,70,9,159
"E01026869",2011,"Norwich 006G","Total",65,14,6,45
"E01033434",2011,"Norwich 011G","Total",110,33,9,68
"E01033435",2011,"Norwich 005G","Total",370,79,14,277
"E01033436",2011,"Norwich 005H","Total",162,57,6,99
"E01033437",2011,"Norwich 011H","Total",120,33,11,76
"E01033438",2011,"Norwich 014A","Total",84,18,3,63
"E01033439",2011,"Norwich 014B","Total",69,31,2,36
"E01033440",2011,"Norwich 014C","Total",76,20,9,47
"E01033441",2011,"Norwich 014D","Total",86,17,7,62
