"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All categories: Hours worked; measures: Value","Hours Worked: Part-time: Total; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: Total; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value"
"E01026791",2011,"Norwich 005A","Total",611,193,80,113,418,370,48
"E01026792",2011,"Norwich 005B","Total",662,212,72,140,450,387,63
"E01026793",2011,"Norwich 005C","Total",638,232,92,140,406,344,62
"E01026794",2011,"Norwich 005D","Total",1081,314,91,223,767,650,117
"E01026796",2011,"Norwich 005F","Total",604,271,115,156,333,277,56
"E01026797",2011,"Norwich 001A","Total",1406,295,81,214,1111,953,158
"E01026798",2011,"Norwich 001B","Total",685,209,57,152,476,417,59
"E01026799",2011,"Norwich 001C","Total",723,196,49,147,527,460,67
"E01026800",2011,"Norwich 001D","Total",879,275,75,200,604,535,69
"E01026801",2011,"Norwich 001E","Total",813,259,82,177,554,474,80
"E01026802",2011,"Norwich 001F","Total",794,234,88,146,560,483,77
"E01026803",2011,"Norwich 004A","Total",534,178,50,128,356,310,46
"E01026804",2011,"Norwich 004B","Total",611,222,67,155,389,340,49
"E01026805",2011,"Norwich 004C","Total",594,209,74,135,385,334,51
"E01026806",2011,"Norwich 004D","Total",635,209,61,148,426,360,66
"E01026807",2011,"Norwich 004E","Total",620,190,53,137,430,361,69
"E01026808",2011,"Norwich 004F","Total",500,203,58,145,297,256,41
"E01026809",2011,"Norwich 004G","Total",573,177,59,118,396,339,57
"E01026810",2011,"Norwich 012A","Total",571,183,66,117,388,307,81
"E01026811",2011,"Norwich 012B","Total",669,218,78,140,451,342,109
"E01026812",2011,"Norwich 012C","Total",741,225,85,140,516,420,96
"E01026813",2011,"Norwich 012D","Total",595,225,81,144,370,294,76
"E01026814",2011,"Norwich 012E","Total",633,226,108,118,407,342,65
"E01026815",2011,"Norwich 012F","Total",711,238,92,146,473,368,105
"E01026816",2011,"Norwich 013A","Total",987,247,80,167,740,643,97
"E01026817",2011,"Norwich 013B","Total",588,201,58,143,387,324,63
"E01026818",2011,"Norwich 013C","Total",627,219,61,158,408,362,46
"E01026819",2011,"Norwich 013D","Total",609,219,76,143,390,344,46
"E01026820",2011,"Norwich 013E","Total",675,251,67,184,424,365,59
"E01026821",2011,"Norwich 013F","Total",621,199,47,152,422,354,68
"E01026822",2011,"Norwich 007A","Total",1008,258,107,151,750,603,147
"E01026823",2011,"Norwich 007B","Total",1134,276,108,168,858,685,173
"E01026824",2011,"Norwich 007C","Total",676,207,77,130,469,400,69
"E01026825",2011,"Norwich 007D","Total",713,208,78,130,505,420,85
"E01026826",2011,"Norwich 007E","Total",647,194,68,126,453,369,84
"E01026827",2011,"Norwich 007F","Total",558,160,58,102,398,344,54
"E01026828",2011,"Norwich 002A","Total",702,254,79,175,448,396,52
"E01026829",2011,"Norwich 002B","Total",983,284,88,196,699,612,87
"E01026830",2011,"Norwich 002C","Total",570,163,54,109,407,352,55
"E01026831",2011,"Norwich 002D","Total",792,174,72,102,618,542,76
"E01026832",2011,"Norwich 002E","Total",553,207,67,140,346,308,38
"E01026833",2011,"Norwich 002F","Total",520,168,41,127,352,299,53
"E01026834",2011,"Norwich 002G","Total",623,224,69,155,399,344,55
"E01026835",2011,"Norwich 009A","Total",819,307,148,159,512,416,96
"E01026836",2011,"Norwich 009B","Total",835,283,136,147,552,452,100
"E01026837",2011,"Norwich 009C","Total",848,271,122,149,577,467,110
"E01026838",2011,"Norwich 009D","Total",790,288,129,159,502,408,94
"E01026839",2011,"Norwich 009E","Total",864,326,176,150,538,432,106
"E01026840",2011,"Norwich 009F","Total",1016,317,130,187,699,591,108
"E01026841",2011,"Norwich 003A","Total",927,209,69,140,718,622,96
"E01026842",2011,"Norwich 003B","Total",1040,253,77,176,787,699,88
"E01026843",2011,"Norwich 003C","Total",961,275,87,188,686,611,75
"E01026844",2011,"Norwich 003D","Total",821,226,57,169,595,524,71
"E01026845",2011,"Norwich 003E","Total",1052,237,61,176,815,726,89
"E01026846",2011,"Norwich 003F","Total",982,262,88,174,720,631,89
"E01026848",2011,"Norwich 015A","Total",778,203,59,144,575,507,68
"E01026849",2011,"Norwich 015B","Total",1073,222,79,143,851,705,146
"E01026850",2011,"Norwich 015C","Total",1101,215,60,155,886,750,136
"E01026852",2011,"Norwich 011A","Total",677,228,86,142,449,364,85
"E01026853",2011,"Norwich 011B","Total",853,243,77,166,610,523,87
"E01026855",2011,"Norwich 011D","Total",890,273,119,154,617,516,101
"E01026856",2011,"Norwich 011E","Total",1014,345,184,161,669,552,117
"E01026857",2011,"Norwich 011F","Total",694,241,122,119,453,351,102
"E01026858",2011,"Norwich 010A","Total",496,192,82,110,304,258,46
"E01026859",2011,"Norwich 010B","Total",634,248,101,147,386,333,53
"E01026860",2011,"Norwich 010C","Total",876,618,446,172,258,217,41
"E01026861",2011,"Norwich 010D","Total",555,258,114,144,297,257,40
"E01026862",2011,"Norwich 010E","Total",574,234,106,128,340,282,58
"E01026863",2011,"Norwich 006A","Total",908,299,128,171,609,511,98
"E01026864",2011,"Norwich 006B","Total",781,230,68,162,551,460,91
"E01026865",2011,"Norwich 006C","Total",810,277,98,179,533,461,72
"E01026866",2011,"Norwich 006D","Total",842,253,106,147,589,513,76
"E01026867",2011,"Norwich 006E","Total",575,219,65,154,356,292,64
"E01026868",2011,"Norwich 006F","Total",607,254,91,163,353,296,57
"E01026869",2011,"Norwich 006G","Total",513,191,52,139,322,287,35
"E01033434",2011,"Norwich 011G","Total",712,122,40,82,590,464,126
"E01033435",2011,"Norwich 005G","Total",891,236,87,149,655,529,126
"E01033436",2011,"Norwich 005H","Total",530,190,68,122,340,296,44
"E01033437",2011,"Norwich 011H","Total",552,216,66,150,336,301,35
"E01033438",2011,"Norwich 014A","Total",621,147,48,99,474,367,107
"E01033439",2011,"Norwich 014B","Total",930,188,55,133,742,627,115
"E01033440",2011,"Norwich 014C","Total",667,147,43,104,520,425,95
"E01033441",2011,"Norwich 014D","Total",846,113,40,73,733,578,155
