"lsoa11cd","date","lsoa11nm","Rural Urban","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"E01026791",2011,"Norwich 005A","Total",611,4,0,64,18,2,2,11,5,5,21,1,5,46,125,29,50,11,21,3,21,41,19,47,101,22,0,1
"E01026792",2011,"Norwich 005B","Total",662,1,0,72,15,1,2,9,15,10,20,2,2,52,120,32,46,7,25,9,18,38,32,52,127,26,1,0
"E01026793",2011,"Norwich 005C","Total",638,4,0,67,21,2,4,7,6,7,20,2,8,65,113,27,51,5,22,3,20,52,17,56,97,29,0,0
"E01026794",2011,"Norwich 005D","Total",1081,6,1,100,23,2,3,8,16,17,31,2,8,101,187,37,62,32,53,13,57,51,47,105,186,33,0,0
"E01026796",2011,"Norwich 005F","Total",604,2,0,52,11,5,1,5,9,6,15,3,4,36,116,27,59,8,18,4,26,44,16,53,108,26,0,2
"E01026797",2011,"Norwich 001A","Total",1406,3,2,152,22,7,8,24,13,24,54,3,4,129,262,70,86,47,85,10,49,73,59,84,160,127,1,0
"E01026798",2011,"Norwich 001B","Total",685,5,0,68,13,3,1,17,7,13,14,2,4,68,156,39,70,4,22,6,15,51,20,39,73,43,0,0
"E01026799",2011,"Norwich 001C","Total",723,2,2,85,12,2,6,15,12,22,16,2,9,58,142,54,48,14,33,3,24,37,31,40,90,49,0,0
"E01026800",2011,"Norwich 001D","Total",879,2,2,86,22,2,4,7,17,19,15,2,12,71,170,34,68,21,41,3,30,56,32,61,123,64,1,0
"E01026801",2011,"Norwich 001E","Total",813,2,0,77,12,1,2,7,11,13,31,0,12,62,139,35,36,27,45,13,51,35,55,81,104,39,0,0
"E01026802",2011,"Norwich 001F","Total",794,1,1,62,7,4,1,13,7,17,13,0,7,64,161,38,59,20,53,10,37,41,36,58,102,42,2,0
"E01026803",2011,"Norwich 004A","Total",534,4,1,55,8,2,1,16,4,11,13,1,6,42,128,38,34,9,19,3,10,35,24,32,64,29,0,0
"E01026804",2011,"Norwich 004B","Total",611,4,2,57,4,3,1,14,15,8,12,0,3,53,137,41,25,13,31,6,34,32,33,40,84,16,0,0
"E01026805",2011,"Norwich 004C","Total",594,1,2,68,6,3,2,16,11,11,19,0,4,59,145,35,34,8,29,3,11,35,17,36,80,26,1,0
"E01026806",2011,"Norwich 004D","Total",635,2,0,57,11,1,0,11,14,10,10,1,10,51,102,36,42,13,34,7,23,26,58,52,83,35,2,1
"E01026807",2011,"Norwich 004E","Total",620,0,0,45,7,1,1,7,6,10,13,3,6,53,100,27,38,15,40,4,35,34,42,59,84,33,2,0
"E01026808",2011,"Norwich 004F","Total",500,0,0,35,5,5,0,4,7,7,7,1,9,37,129,19,53,8,16,3,14,40,18,36,64,18,0,0
"E01026809",2011,"Norwich 004G","Total",573,1,0,72,12,2,2,14,14,8,20,6,4,65,158,30,29,10,19,6,10,35,24,25,57,22,0,0
"E01026810",2011,"Norwich 012A","Total",571,1,0,30,5,3,0,4,4,6,8,0,1,44,72,9,24,20,32,18,41,27,20,92,118,22,0,0
"E01026811",2011,"Norwich 012B","Total",669,3,2,28,6,1,1,8,1,6,5,4,1,30,60,11,18,27,60,15,76,18,43,107,127,39,0,0
"E01026812",2011,"Norwich 012C","Total",741,1,2,28,6,1,0,1,4,10,6,3,1,38,127,13,25,33,60,9,65,10,35,131,129,30,0,1
"E01026813",2011,"Norwich 012D","Total",595,1,1,32,9,1,0,4,4,4,10,0,0,36,68,11,26,22,40,8,44,22,46,112,96,29,1,0
"E01026814",2011,"Norwich 012E","Total",633,0,0,42,12,2,3,7,4,7,7,1,4,43,120,28,52,13,27,7,44,27,19,98,81,26,1,0
"E01026815",2011,"Norwich 012F","Total",711,2,1,37,5,0,2,3,8,14,5,0,0,28,79,15,29,37,43,10,72,19,32,131,153,23,0,0
"E01026816",2011,"Norwich 013A","Total",987,2,0,45,9,2,2,3,7,9,13,2,7,46,176,26,55,44,105,19,63,33,63,127,118,56,0,0
"E01026817",2011,"Norwich 013B","Total",588,2,3,45,9,0,2,6,6,11,11,1,1,35,95,26,48,15,33,9,36,32,30,60,91,26,0,0
"E01026818",2011,"Norwich 013C","Total",627,1,0,55,8,3,4,6,14,11,9,1,5,49,116,29,52,15,23,4,27,40,30,53,97,30,0,0
"E01026819",2011,"Norwich 013D","Total",609,1,0,43,6,3,1,7,4,11,11,2,6,52,134,25,55,20,29,1,12,36,26,48,80,38,1,0
"E01026820",2011,"Norwich 013E","Total",675,2,1,48,14,1,3,4,5,10,11,1,5,41,163,53,50,11,26,9,24,39,21,54,95,32,0,0
"E01026821",2011,"Norwich 013F","Total",621,2,1,56,12,2,3,4,11,11,13,1,10,58,139,34,36,12,28,5,22,49,16,48,77,27,0,0
