"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1118,52,9,0,9,43,25,15,1,2,142,84,69,9,6,0,30,28,105,55,30,14,6,69,6,6,0,63,61,2,81,46,35,34,1,227,75,91,9,34,1,15,2,185,25,23,37,100,0,93,55,38,164,164,0
"E01026792",2011,"Norwich 005B","Total",1052,56,11,0,11,45,28,13,3,1,176,107,96,5,6,0,44,25,125,77,32,13,3,69,9,9,0,60,60,0,83,41,42,35,7,207,66,86,9,30,1,10,5,191,34,21,45,90,1,55,34,21,90,90,0
"E01026793",2011,"Norwich 005C","Total",1203,44,5,0,5,39,27,10,1,1,114,63,52,8,2,1,31,20,110,36,45,22,7,71,11,11,0,60,60,0,81,52,29,27,2,236,78,82,19,39,1,10,7,263,32,29,69,133,0,109,76,33,175,175,0
"E01026794",2011,"Norwich 005D","Total",1565,123,18,0,18,105,70,28,2,5,306,193,151,27,11,4,66,47,201,92,72,32,5,113,15,14,1,98,95,3,139,81,58,49,9,283,91,105,19,37,2,17,12,191,29,19,54,88,1,82,57,25,127,127,0
"E01026796",2011,"Norwich 005F","Total",1208,38,9,0,9,29,22,3,3,1,133,93,74,6,10,3,23,17,81,48,16,13,4,70,11,11,0,59,59,0,65,37,28,24,4,176,55,71,12,23,4,8,3,201,15,22,60,103,1,74,47,27,370,370,0
"E01026797",2011,"Norwich 001A","Total",1846,135,30,0,30,105,51,48,4,2,373,229,190,26,10,3,90,54,252,133,71,20,28,148,39,37,2,109,109,0,190,102,88,72,16,327,107,119,20,53,0,22,6,261,27,31,74,129,0,71,36,35,89,89,0
"E01026798",2011,"Norwich 001B","Total",1120,38,7,0,7,31,19,11,1,0,128,64,55,8,1,0,46,18,88,42,27,14,5,92,20,20,0,72,71,1,105,54,51,42,9,255,89,99,16,34,0,15,2,261,25,33,78,124,1,85,54,31,68,68,0
"E01026799",2011,"Norwich 001C","Total",1084,41,6,0,6,35,17,15,2,1,145,100,78,13,7,2,15,30,128,71,35,14,8,67,15,15,0,52,52,0,96,49,47,40,7,253,80,96,22,33,0,21,1,235,20,20,81,113,1,71,37,34,48,48,0
"E01026800",2011,"Norwich 001D","Total",1464,82,14,0,14,68,35,24,6,3,218,132,112,12,8,0,53,33,123,58,39,18,8,116,30,29,1,86,86,0,117,77,40,36,4,283,100,101,17,46,4,12,3,292,33,28,69,161,1,137,79,58,96,96,0
"E01026801",2011,"Norwich 001E","Total",1189,111,24,0,24,87,51,26,10,0,256,149,123,11,10,5,68,39,181,108,47,16,10,106,21,19,2,85,85,0,88,44,44,35,9,203,63,69,11,37,0,17,6,144,17,11,53,63,0,37,21,16,63,63,0
"E01026802",2011,"Norwich 001F","Total",1247,71,13,0,13,58,39,13,5,1,215,140,106,15,15,4,49,26,168,101,46,15,6,96,16,16,0,80,80,0,96,57,39,36,3,234,77,101,11,25,0,19,1,178,20,16,56,81,5,66,34,32,123,123,0
