"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC of household reference person; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,86,19,0,19,67,40,25,1,1,210,130,109,16,5,0,45,35,118,71,22,17,8,120,8,8,0,112,110,2,117,63,54,54,0,313,98,111,14,65,1,18,6,281,28,48,56,149,0,107,68,39,123,120,3
"E01026792",2011,"Norwich 005B","Total",1445,108,28,0,28,80,55,14,9,2,248,161,152,2,7,0,57,30,136,73,39,19,5,129,16,16,0,113,113,0,169,78,91,80,11,245,69,92,21,48,2,9,4,295,39,29,103,121,3,64,33,31,51,51,0
"E01026793",2011,"Norwich 005C","Total",1817,85,8,0,8,77,44,26,2,5,214,117,97,13,5,2,58,39,147,39,56,35,17,179,32,32,0,147,147,0,173,97,76,76,0,293,63,115,27,76,0,4,8,498,37,64,159,238,0,131,73,58,97,97,0
"E01026794",2011,"Norwich 005D","Total",2021,208,24,0,24,184,123,57,0,4,426,268,187,48,21,12,91,67,224,104,61,48,11,158,23,23,0,135,129,6,218,120,98,72,26,336,75,138,28,62,4,19,10,266,20,33,107,103,3,95,54,41,90,90,0
"E01026796",2011,"Norwich 005F","Total",1636,53,11,0,11,42,31,5,3,3,216,165,122,20,18,5,30,21,83,38,18,23,4,128,23,23,0,105,105,0,123,62,61,50,11,264,60,124,16,45,5,8,6,375,24,35,146,170,0,96,58,38,298,298,0
"E01026797",2011,"Norwich 001A","Total",2400,227,53,0,53,174,81,81,4,8,528,318,272,31,11,4,152,58,247,109,54,30,54,261,81,80,1,180,180,0,300,157,143,121,22,400,93,154,37,85,0,24,7,325,23,43,131,128,0,87,30,57,25,25,0
"E01026798",2011,"Norwich 001B","Total",1533,49,12,0,12,37,21,15,1,0,211,88,72,15,1,0,75,48,108,46,32,15,15,202,52,52,0,150,146,4,179,89,90,74,16,295,75,123,21,56,2,18,0,381,49,59,120,149,4,91,38,53,17,17,0
"E01026799",2011,"Norwich 001C","Total",1459,75,15,0,15,60,25,34,1,0,200,130,99,22,4,5,17,53,174,87,49,23,15,120,29,29,0,91,91,0,163,88,75,67,8,302,71,110,41,65,0,15,0,358,30,31,153,143,1,65,23,42,2,2,0
"E01026800",2011,"Norwich 001D","Total",1991,133,19,0,19,114,55,40,14,5,288,154,125,22,7,0,86,48,176,73,71,22,10,216,67,65,2,149,149,0,194,139,55,48,7,384,119,149,32,59,5,13,7,419,35,52,105,227,0,134,61,73,47,47,0
"E01026801",2011,"Norwich 001E","Total",1560,206,53,0,53,153,91,48,14,0,398,217,178,26,4,9,115,66,224,133,44,40,7,168,42,37,5,126,126,0,141,66,75,66,9,188,28,54,24,63,0,16,3,199,10,13,107,67,2,31,15,16,5,5,0
"E01026802",2011,"Norwich 001F","Total",1536,112,26,0,26,86,57,19,9,1,331,219,149,22,40,8,74,38,178,119,36,10,13,157,31,27,4,126,126,0,143,78,65,60,5,280,94,112,22,38,0,14,0,243,23,28,92,97,3,69,35,34,23,23,0
