"lsoa11cd","date","lsoa11nm","Rural Urban","Social Grade: Approximated social grade; measures: Value","Social Grade: Approximated social grade AB; measures: Value","Social Grade: Approximated social grade C1; measures: Value","Social Grade: Approximated social grade C2; measures: Value","Social Grade: Approximated social grade DE; measures: Value"
"E01026791",2011,"Norwich 005A","Total",554,38,156,106,254
"E01026792",2011,"Norwich 005B","Total",464,53,131,112,168
"E01026793",2011,"Norwich 005C","Total",495,43,104,136,212
"E01026794",2011,"Norwich 005D","Total",712,117,226,161,208
"E01026796",2011,"Norwich 005F","Total",474,42,170,101,161
"E01026797",2011,"Norwich 001A","Total",934,130,291,247,266
"E01026798",2011,"Norwich 001B","Total",542,39,99,157,247
"E01026799",2011,"Norwich 001C","Total",519,33,131,130,225
"E01026800",2011,"Norwich 001D","Total",755,69,154,177,355
"E01026801",2011,"Norwich 001E","Total",445,99,149,103,94
"E01026802",2011,"Norwich 001F","Total",610,78,176,145,211
"E01026803",2011,"Norwich 004A","Total",390,24,94,93,179
"E01026804",2011,"Norwich 004B","Total",390,50,105,97,138
"E01026805",2011,"Norwich 004C","Total",394,29,76,125,164
"E01026806",2011,"Norwich 004D","Total",329,43,116,94,76
"E01026807",2011,"Norwich 004E","Total",409,74,125,102,108
"E01026808",2011,"Norwich 004F","Total",403,37,91,72,203
"E01026809",2011,"Norwich 004G","Total",514,21,112,139,242
"E01026810",2011,"Norwich 012A","Total",363,157,100,48,58
"E01026811",2011,"Norwich 012B","Total",381,216,112,34,19
"E01026812",2011,"Norwich 012C","Total",437,183,142,54,58
"E01026813",2011,"Norwich 012D","Total",332,148,106,48,30
"E01026814",2011,"Norwich 012E","Total",418,80,134,97,107
"E01026815",2011,"Norwich 012F","Total",467,221,172,39,35
"E01026816",2011,"Norwich 013A","Total",741,194,252,105,190
"E01026817",2011,"Norwich 013B","Total",436,80,114,86,156
"E01026818",2011,"Norwich 013C","Total",480,56,105,121,198
"E01026819",2011,"Norwich 013D","Total",510,51,115,117,227
"E01026820",2011,"Norwich 013E","Total",489,47,110,122,210
"E01026821",2011,"Norwich 013F","Total",457,34,109,119,195
"E01026822",2011,"Norwich 007A","Total",923,204,298,124,297
"E01026823",2011,"Norwich 007B","Total",922,268,323,109,222
"E01026824",2011,"Norwich 007C","Total",665,98,170,126,271
"E01026825",2011,"Norwich 007D","Total",602,110,209,111,172
"E01026826",2011,"Norwich 007E","Total",653,79,185,111,278
"E01026827",2011,"Norwich 007F","Total",630,56,158,137,279
"E01026828",2011,"Norwich 002A","Total",528,42,114,126,246
"E01026829",2011,"Norwich 002B","Total",736,95,207,125,309
"E01026830",2011,"Norwich 002C","Total",489,59,125,106,199
"E01026831",2011,"Norwich 002D","Total",574,121,231,96,126
"E01026832",2011,"Norwich 002E","Total",374,21,82,91,180
"E01026833",2011,"Norwich 002F","Total",547,33,82,119,313
"E01026834",2011,"Norwich 002G","Total",474,41,92,139,202
"E01026835",2011,"Norwich 009A","Total",555,211,235,37,72
"E01026836",2011,"Norwich 009B","Total",563,239,220,54,50
"E01026837",2011,"Norwich 009C","Total",597,236,216,59,86
"E01026838",2011,"Norwich 009D","Total",533,226,227,38,42
"E01026839",2011,"Norwich 009E","Total",613,201,288,55,69
"E01026840",2011,"Norwich 009F","Total",683,228,276,87,92
"E01026841",2011,"Norwich 003A","Total",654,152,243,111,148
"E01026842",2011,"Norwich 003B","Total",701,148,245,157,151
"E01026843",2011,"Norwich 003C","Total",709,130,199,159,221
"E01026844",2011,"Norwich 003D","Total",683,91,198,145,249
"E01026845",2011,"Norwich 003E","Total",718,153,291,141,133
"E01026846",2011,"Norwich 003F","Total",711,129,276,116,190
"E01026848",2011,"Norwich 015A","Total",757,83,188,145,341
"E01026849",2011,"Norwich 015B","Total",783,256,301,95,131
"E01026850",2011,"Norwich 015C","Total",812,213,296,131,172
"E01026852",2011,"Norwich 011A","Total",424,194,137,45,48
"E01026853",2011,"Norwich 011B","Total",726,145,207,120,254
"E01026855",2011,"Norwich 011D","Total",611,210,243,61,97
"E01026856",2011,"Norwich 011E","Total",751,245,326,66,114
"E01026857",2011,"Norwich 011F","Total",458,205,164,40,49
"E01026858",2011,"Norwich 010A","Total",476,47,154,100,175
"E01026859",2011,"Norwich 010B","Total",487,99,154,95,139
"E01026860",2011,"Norwich 010C","Total",295,56,116,54,69
"E01026861",2011,"Norwich 010D","Total",415,36,131,82,166
"E01026862",2011,"Norwich 010E","Total",337,69,123,59,86
"E01026863",2011,"Norwich 006A","Total",614,141,245,103,125
"E01026864",2011,"Norwich 006B","Total",499,56,138,147,158
"E01026865",2011,"Norwich 006C","Total",672,78,169,149,276
"E01026866",2011,"Norwich 006D","Total",622,142,223,105,152
"E01026867",2011,"Norwich 006E","Total",457,35,89,110,223
"E01026868",2011,"Norwich 006F","Total",473,45,125,97,206
"E01026869",2011,"Norwich 006G","Total",520,19,95,118,288
"E01033434",2011,"Norwich 011G","Total",532,215,211,47,59
"E01033435",2011,"Norwich 005G","Total",658,198,268,86,106
"E01033436",2011,"Norwich 005H","Total",440,51,134,83,172
"E01033437",2011,"Norwich 011H","Total",599,92,166,95,246
"E01033438",2011,"Norwich 014A","Total",524,163,188,60,113
"E01033439",2011,"Norwich 014B","Total",695,173,243,99,180
"E01033440",2011,"Norwich 014C","Total",619,152,199,85,183
"E01033441",2011,"Norwich 014D","Total",710,299,233,63,115
