"lsoa11cd","date","lsoa11nm","Rural Urban","Year Last Worked: All categories: Year last worked; measures: Value","Year Last Worked: In employment; measures: Value","Year Last Worked: Not in employment: Total; measures: Value","Year Last Worked: Last worked in 2011; measures: Value","Year Last Worked: Last worked in 2010; measures: Value","Year Last Worked: Last worked in 2009; measures: Value","Year Last Worked: Last worked in 2008; measures: Value","Year Last Worked: Last worked in 2007; measures: Value","Year Last Worked: Last worked in 2006; measures: Value","Year Last Worked: Last worked in 2001 - 2005; measures: Value","Year Last Worked: Last worked before 2001; measures: Value","Year Last Worked: Never worked; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1118,611,507,27,84,52,32,11,24,59,113,105
"E01026792",2011,"Norwich 005B","Total",1052,662,390,12,44,42,29,18,19,56,101,69
"E01026793",2011,"Norwich 005C","Total",1203,638,565,27,69,43,31,22,22,80,133,138
"E01026794",2011,"Norwich 005D","Total",1565,1081,484,22,49,55,29,19,14,67,122,107
"E01026796",2011,"Norwich 005F","Total",1208,604,604,40,127,62,35,18,19,60,103,140
"E01026797",2011,"Norwich 001A","Total",1846,1406,440,26,83,47,28,29,14,62,82,69
"E01026798",2011,"Norwich 001B","Total",1120,685,435,14,52,33,27,8,18,79,112,92
"E01026799",2011,"Norwich 001C","Total",1084,723,361,15,41,28,19,16,29,49,101,63
"E01026800",2011,"Norwich 001D","Total",1464,879,585,18,91,41,32,31,29,72,145,126
"E01026801",2011,"Norwich 001E","Total",1189,813,376,11,34,30,19,13,17,73,131,48
"E01026802",2011,"Norwich 001F","Total",1247,794,453,25,92,31,26,30,30,65,89,65
"E01026803",2011,"Norwich 004A","Total",930,534,396,5,47,32,27,10,10,74,122,69
"E01026804",2011,"Norwich 004B","Total",984,611,373,9,48,29,24,21,10,56,123,53
"E01026805",2011,"Norwich 004C","Total",907,594,313,13,32,26,20,12,12,55,88,55
"E01026806",2011,"Norwich 004D","Total",1246,635,611,22,114,59,37,45,24,87,138,85
"E01026807",2011,"Norwich 004E","Total",893,620,273,12,49,24,20,22,5,34,63,44
"E01026808",2011,"Norwich 004F","Total",887,500,387,10,46,24,21,13,17,59,99,98
"E01026809",2011,"Norwich 004G","Total",1054,573,481,11,58,31,38,31,19,84,139,70
"E01026810",2011,"Norwich 012A","Total",963,571,392,14,49,39,22,12,21,70,117,48
"E01026811",2011,"Norwich 012B","Total",1051,669,382,20,45,23,29,15,17,73,125,35
"E01026812",2011,"Norwich 012C","Total",1044,741,303,11,32,25,15,21,14,69,87,29
"E01026813",2011,"Norwich 012D","Total",990,595,395,20,37,29,20,18,25,78,121,47
"E01026814",2011,"Norwich 012E","Total",1051,633,418,19,79,36,25,16,22,48,100,73
"E01026815",2011,"Norwich 012F","Total",1084,711,373,18,59,30,22,17,20,52,81,74
