"lsoa11cd","date","lsoa11nm","Social Grade: All categories: Approximated social grade; measures: Value","Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value","Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value","Social Grade: C2 Skilled manual occupations; measures: Value","Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value"
"E01026791",2011,"Norwich 005A",1028,71,328,211,418
"E01026792",2011,"Norwich 005B",934,103,252,247,332
"E01026793",2011,"Norwich 005C",1093,93,241,312,447
"E01026794",2011,"Norwich 005D",1439,230,452,339,418
"E01026796",2011,"Norwich 005F",1099,79,455,233,332
"E01026797",2011,"Norwich 001A",1742,243,532,488,479
"E01026798",2011,"Norwich 001B",1000,68,188,310,434
"E01026799",2011,"Norwich 001C",992,65,234,273,420
"E01026800",2011,"Norwich 001D",1355,147,276,330,602
"E01026801",2011,"Norwich 001E",983,197,318,257,211
"E01026802",2011,"Norwich 001F",1038,137,292,264,345
"E01026803",2011,"Norwich 004A",765,45,179,197,344
"E01026804",2011,"Norwich 004B",813,107,222,222,262
"E01026805",2011,"Norwich 004C",782,52,147,267,316
"E01026806",2011,"Norwich 004D",696,85,238,221,152
"E01026807",2011,"Norwich 004E",809,139,234,213,223
"E01026808",2011,"Norwich 004F",812,69,160,168,415
"E01026809",2011,"Norwich 004G",879,42,198,257,382
"E01026810",2011,"Norwich 012A",771,334,224,106,107
"E01026811",2011,"Norwich 012B",834,472,245,78,39
"E01026812",2011,"Norwich 012C",886,376,285,110,115
"E01026813",2011,"Norwich 012D",772,332,241,114,85
"E01026814",2011,"Norwich 012E",929,158,335,218,218
"E01026815",2011,"Norwich 012F",939,443,359,73,64
"E01026816",2011,"Norwich 013A",1224,341,427,170,286
"E01026817",2011,"Norwich 013B",834,159,222,179,274
"E01026818",2011,"Norwich 013C",942,102,211,255,374
"E01026819",2011,"Norwich 013D",949,81,207,237,424
"E01026820",2011,"Norwich 013E",989,85,218,258,428
"E01026821",2011,"Norwich 013F",892,73,205,250,364
"E01026822",2011,"Norwich 007A",1446,344,476,184,442
"E01026823",2011,"Norwich 007B",1456,435,514,183,324
"E01026824",2011,"Norwich 007C",1053,173,304,194,382
"E01026825",2011,"Norwich 007D",996,181,356,194,265
"E01026826",2011,"Norwich 007E",990,117,296,168,409
"E01026827",2011,"Norwich 007F",936,85,237,232,382
"E01026828",2011,"Norwich 002A",1075,86,229,281,479
"E01026829",2011,"Norwich 002B",1417,192,386,256,583
"E01026830",2011,"Norwich 002C",804,92,214,183,315
"E01026831",2011,"Norwich 002D",993,217,393,161,222
"E01026832",2011,"Norwich 002E",834,46,182,229,377
"E01026833",2011,"Norwich 002F",884,57,133,218,476
"E01026834",2011,"Norwich 002G",929,70,178,294,387
"E01026835",2011,"Norwich 009A",1136,391,551,69,125
"E01026836",2011,"Norwich 009B",1175,482,498,97,98
"E01026837",2011,"Norwich 009C",1083,436,398,113,136
"E01026838",2011,"Norwich 009D",1117,425,520,82,90
"E01026839",2011,"Norwich 009E",1331,369,731,104,127
"E01026840",2011,"Norwich 009F",1307,418,572,169,148
"E01026841",2011,"Norwich 003A",1133,251,420,198,264
"E01026842",2011,"Norwich 003B",1246,263,427,275,281
"E01026843",2011,"Norwich 003C",1290,229,360,317,384
"E01026844",2011,"Norwich 003D",1177,157,335,275,410
"E01026845",2011,"Norwich 003E",1247,249,496,261,241
"E01026846",2011,"Norwich 003F",1245,208,480,223,334
"E01026848",2011,"Norwich 015A",1217,134,300,248,535
"E01026849",2011,"Norwich 015B",1313,453,506,154,200
"E01026850",2011,"Norwich 015C",1363,354,484,229,296
"E01026852",2011,"Norwich 011A",816,384,251,91,90
"E01026853",2011,"Norwich 011B",1193,257,357,201,378
"E01026855",2011,"Norwich 011D",1182,377,496,115,194
"E01026856",2011,"Norwich 011E",1500,459,746,118,177
"E01026857",2011,"Norwich 011F",964,381,408,82,93
"E01026858",2011,"Norwich 010A",918,83,342,203,290
"E01026859",2011,"Norwich 010B",1021,198,358,198,267
"E01026860",2011,"Norwich 010C",716,113,322,137,144
"E01026861",2011,"Norwich 010D",1054,85,403,210,356
"E01026862",2011,"Norwich 010E",842,154,337,150,201
"E01026863",2011,"Norwich 006A",1351,279,590,228,254
"E01026864",2011,"Norwich 006B",997,93,275,322,307
"E01026865",2011,"Norwich 006C",1311,149,348,304,510
"E01026866",2011,"Norwich 006D",1162,259,446,216,241
"E01026867",2011,"Norwich 006E",998,82,206,255,455
"E01026868",2011,"Norwich 006F",1057,95,318,225,419
"E01026869",2011,"Norwich 006G",883,30,160,230,463
"E01033434",2011,"Norwich 011G",870,333,350,86,101
"E01033435",2011,"Norwich 005G",1351,366,621,162,202
"E01033436",2011,"Norwich 005H",896,110,286,170,330
"E01033437",2011,"Norwich 011H",925,166,265,136,358
"E01033438",2011,"Norwich 014A",833,273,303,92,165
"E01033439",2011,"Norwich 014B",1146,301,407,160,278
"E01033440",2011,"Norwich 014C",913,222,310,125,256
"E01033441",2011,"Norwich 014D",1058,433,361,99,165
