"lsoa11cd","date","lsoa11nm","Rural Urban","Method of Travel to Work: All categories: Method of travel to work; measures: Value","Method of Travel to Work: Work mainly at or from home; measures: Value","Method of Travel to Work: Underground, metro, light rail, tram; measures: Value","Method of Travel to Work: Train; measures: Value","Method of Travel to Work: Bus, minibus or coach; measures: Value","Method of Travel to Work: Taxi; measures: Value","Method of Travel to Work: Motorcycle, scooter or moped; measures: Value","Method of Travel to Work: Driving a car or van; measures: Value","Method of Travel to Work: Passenger in a car or van; measures: Value","Method of Travel to Work: Bicycle; measures: Value","Method of Travel to Work: On foot; measures: Value","Method of Travel to Work: Other method of travel to work; measures: Value","Method of Travel to Work: Not in employment; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1118,16,0,2,74,5,11,354,41,46,55,7,507
"E01026792",2011,"Norwich 005B","Total",1052,9,0,3,80,4,14,394,42,47,65,4,390
"E01026793",2011,"Norwich 005C","Total",1203,17,1,2,80,4,15,340,60,53,65,1,565
"E01026794",2011,"Norwich 005D","Total",1565,31,2,4,101,4,10,688,79,55,102,5,484
"E01026796",2011,"Norwich 005F","Total",1208,11,1,1,88,7,11,294,48,57,83,3,604
"E01026797",2011,"Norwich 001A","Total",1846,32,1,15,110,7,17,796,67,106,243,12,440
"E01026798",2011,"Norwich 001B","Total",1120,12,1,2,51,4,14,359,43,49,146,4,435
"E01026799",2011,"Norwich 001C","Total",1084,9,0,2,56,4,9,413,46,46,133,5,361
"E01026800",2011,"Norwich 001D","Total",1464,10,2,5,76,4,13,455,64,91,150,9,585
"E01026801",2011,"Norwich 001E","Total",1189,33,1,8,49,2,8,457,55,71,125,4,376
"E01026802",2011,"Norwich 001F","Total",1247,26,1,6,76,8,13,431,41,59,128,5,453
"E01026803",2011,"Norwich 004A","Total",930,7,1,9,59,3,2,300,33,39,77,4,396
"E01026804",2011,"Norwich 004B","Total",984,18,2,7,44,3,15,365,41,41,71,4,373
"E01026805",2011,"Norwich 004C","Total",907,15,0,1,46,4,12,352,44,39,76,5,313
"E01026806",2011,"Norwich 004D","Total",1246,15,2,12,30,4,10,359,37,42,119,5,611
"E01026807",2011,"Norwich 004E","Total",893,21,1,14,43,4,10,317,43,42,125,0,273
"E01026808",2011,"Norwich 004F","Total",887,18,0,7,49,5,9,248,47,27,89,1,387
"E01026809",2011,"Norwich 004G","Total",1054,9,1,3,60,5,6,305,48,35,97,4,481
"E01026810",2011,"Norwich 012A","Total",963,32,1,12,50,2,5,316,23,55,72,3,392
"E01026811",2011,"Norwich 012B","Total",1051,63,2,9,34,4,7,357,25,78,83,7,382
"E01026812",2011,"Norwich 012C","Total",1044,39,0,9,63,1,7,426,37,78,76,5,303
"E01026813",2011,"Norwich 012D","Total",990,43,2,11,50,1,4,312,37,65,65,5,395
"E01026814",2011,"Norwich 012E","Total",1051,20,0,7,75,2,5,298,32,81,108,5,418
"E01026815",2011,"Norwich 012F","Total",1084,62,2,13,46,1,3,353,17,95,114,5,373
"E01026816",2011,"Norwich 013A","Total",1324,43,2,6,55,1,8,408,36,81,341,6,337
"E01026817",2011,"Norwich 013B","Total",1009,35,1,7,26,8,8,283,40,46,128,6,421
"E01026818",2011,"Norwich 013C","Total",1021,18,0,6,31,4,4,335,44,41,143,1,394
"E01026819",2011,"Norwich 013D","Total",1022,14,0,8,43,5,14,273,35,46,167,4,413
"E01026820",2011,"Norwich 013E","Total",1134,24,0,2,37,4,20,361,41,56,124,6,459
"E01026821",2011,"Norwich 013F","Total",1020,14,0,3,48,3,14,346,54,47,91,1,399
"E01026822",2011,"Norwich 007A","Total",1674,52,4,24,82,6,10,289,22,86,422,11,666
"E01026823",2011,"Norwich 007B","Total",1687,72,2,28,91,8,9,340,24,78,463,19,553
"E01026824",2011,"Norwich 007C","Total",1183,22,3,6,60,4,4,233,29,79,232,4,507
"E01026825",2011,"Norwich 007D","Total",1065,31,0,12,46,8,4,309,28,73,196,6,352
"E01026826",2011,"Norwich 007E","Total",1100,30,1,7,61,3,1,201,31,48,261,3,453
"E01026827",2011,"Norwich 007F","Total",1110,18,4,6,41,6,6,234,34,42,162,5,552
"E01026828",2011,"Norwich 002A","Total",1182,18,0,2,40,7,14,365,40,56,155,5,480
"E01026829",2011,"Norwich 002B","Total",1522,25,0,10,66,8,7,480,56,78,238,15,539
"E01026830",2011,"Norwich 002C","Total",975,15,0,5,46,4,7,262,34,57,136,4,405
"E01026831",2011,"Norwich 002D","Total",1044,32,0,11,47,4,9,325,28,82,249,5,252
"E01026832",2011,"Norwich 002E","Total",936,13,0,2,44,8,6,256,33,54,134,3,383
"E01026833",2011,"Norwich 002F","Total",990,4,0,0,44,3,6,270,25,60,103,5,470
"E01026834",2011,"Norwich 002G","Total",1049,14,0,5,46,7,12,298,51,56,129,5,426
"E01026835",2011,"Norwich 009A","Total",1217,67,2,9,58,2,5,292,22,120,233,9,398
"E01026836",2011,"Norwich 009B","Total",1244,54,4,20,56,3,4,319,25,129,218,3,409
"E01026837",2011,"Norwich 009C","Total",1203,65,5,17,51,2,6,307,26,116,249,4,355
"E01026838",2011,"Norwich 009D","Total",1184,64,2,6,53,3,5,325,17,112,196,7,394
"E01026839",2011,"Norwich 009E","Total",1374,43,1,11,75,0,4,289,23,124,290,4,510
"E01026840",2011,"Norwich 009F","Total",1386,52,0,19,62,5,8,395,36,142,290,7,370
"E01026841",2011,"Norwich 003A","Total",1211,26,2,6,49,2,11,389,46,78,312,6,284
"E01026842",2011,"Norwich 003B","Total",1353,50,2,14,52,2,16,514,62,79,243,6,313
"E01026843",2011,"Norwich 003C","Total",1426,50,1,13,55,2,14,473,65,70,214,4,465
"E01026844",2011,"Norwich 003D","Total",1289,16,0,12,55,6,12,388,49,71,209,3,468
"E01026845",2011,"Norwich 003E","Total",1297,38,0,10,46,2,13,479,47,88,325,4,245
"E01026846",2011,"Norwich 003F","Total",1333,45,0,16,64,2,7,386,36,87,336,3,351
"E01026848",2011,"Norwich 015A","Total",1366,15,1,10,54,5,9,353,46,36,245,4,588
"E01026849",2011,"Norwich 015B","Total",1463,61,0,28,94,0,3,492,37,60,289,9,390
"E01026850",2011,"Norwich 015C","Total",1470,48,1,33,78,5,8,468,50,68,337,5,369
"E01026852",2011,"Norwich 011A","Total",924,49,3,9,37,2,4,277,18,86,189,3,247
"E01026853",2011,"Norwich 011B","Total",1342,38,0,10,81,3,7,297,33,62,321,1,489
"E01026855",2011,"Norwich 011D","Total",1286,43,2,12,82,2,9,310,23,70,334,3,396
"E01026856",2011,"Norwich 011E","Total",1566,49,2,26,96,1,4,346,25,114,350,1,552
"E01026857",2011,"Norwich 011F","Total",1122,61,2,20,47,1,2,256,26,85,183,11,428
"E01026858",2011,"Norwich 010A","Total",1069,11,1,3,53,3,4,213,30,59,112,7,573
"E01026859",2011,"Norwich 010B","Total",1104,29,0,3,50,1,10,312,34,74,116,5,470
"E01026860",2011,"Norwich 010C","Total",4026,48,2,7,209,8,5,248,49,80,211,9,3150
"E01026861",2011,"Norwich 010D","Total",1143,6,1,5,65,8,10,264,49,43,101,3,588
"E01026862",2011,"Norwich 010E","Total",952,22,1,4,36,4,11,262,31,82,121,0,378
"E01026863",2011,"Norwich 006A","Total",1471,37,3,5,70,6,11,447,53,108,162,6,563
"E01026864",2011,"Norwich 006B","Total",1121,34,0,5,42,5,15,484,59,65,61,11,340
"E01026865",2011,"Norwich 006C","Total",1395,25,1,4,87,0,9,415,75,74,116,4,585
"E01026866",2011,"Norwich 006D","Total",1265,26,0,6,64,2,13,369,44,116,190,12,423
"E01026867",2011,"Norwich 006E","Total",1077,16,1,1,56,4,11,313,46,52,72,3,502
"E01026868",2011,"Norwich 006F","Total",1140,17,1,2,55,6,15,291,58,65,89,8,533
"E01026869",2011,"Norwich 006G","Total",1006,9,0,3,69,3,4,280,35,43,64,3,493
"E01033434",2011,"Norwich 011G","Total",926,33,2,12,65,1,4,279,22,38,247,9,214
"E01033435",2011,"Norwich 005G","Total",1394,28,1,8,78,2,5,567,47,86,63,6,503
"E01033436",2011,"Norwich 005H","Total",999,14,0,2,59,2,8,283,50,47,65,0,469
"E01033437",2011,"Norwich 011H","Total",1060,24,0,5,61,7,2,171,16,52,211,3,508
"E01033438",2011,"Norwich 014A","Total",1006,51,0,18,35,1,2,182,24,25,275,8,385
"E01033439",2011,"Norwich 014B","Total",1209,36,0,24,75,0,12,317,33,67,355,11,279
"E01033440",2011,"Norwich 014C","Total",950,26,1,18,61,0,6,222,30,32,270,1,283
"E01033441",2011,"Norwich 014D","Total",1106,42,3,27,56,2,5,361,25,32,282,11,260
