"lsoa11cd","date","lsoa11nm","Rural Urban","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: Other; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E01026791",2011,"Norwich 005A","Total",611,76,251,87,45,20,13,10,16,39,54,5965.6,11.5
"E01026792",2011,"Norwich 005B","Total",662,75,237,155,48,18,23,8,18,28,52,6520.6,11.2
"E01026793",2011,"Norwich 005C","Total",638,93,273,88,25,17,22,12,18,31,59,7512.2,13.7
"E01026794",2011,"Norwich 005D","Total",1081,141,259,319,75,34,26,17,32,82,96,11167.6,12.4
"E01026796",2011,"Norwich 005F","Total",604,118,243,62,22,18,12,22,20,31,56,6897.8,13.3
"E01026797",2011,"Norwich 001A","Total",1406,345,461,199,75,52,23,17,44,94,96,14095.9,11.6
"E01026798",2011,"Norwich 001B","Total",685,208,202,85,46,15,17,5,15,34,58,5251.1,8.9
"E01026799",2011,"Norwich 001C","Total",723,175,248,116,52,22,12,12,13,29,44,6322.4,9.7
"E01026800",2011,"Norwich 001D","Total",879,202,301,121,49,33,32,13,24,47,57,9610.9,12.4
"E01026801",2011,"Norwich 001E","Total",813,150,345,88,40,33,12,4,27,58,56,8428.4,12.1
"E01026802",2011,"Norwich 001F","Total",794,116,361,87,56,21,14,6,25,46,62,7543.6,11
"E01026803",2011,"Norwich 004A","Total",534,85,247,69,35,16,2,2,11,25,42,4235.2,9.1
"E01026804",2011,"Norwich 004B","Total",611,109,247,61,53,17,9,4,19,43,49,5420.4,10.4
"E01026805",2011,"Norwich 004C","Total",594,107,267,67,28,18,6,7,7,37,50,4128.3,8.1
"E01026806",2011,"Norwich 004D","Total",635,143,215,67,25,21,9,3,26,63,63,6767.9,13.3
"E01026807",2011,"Norwich 004E","Total",620,180,185,74,35,22,11,5,22,37,49,6352.6,11.9
"E01026808",2011,"Norwich 004F","Total",500,105,193,54,25,17,6,11,13,35,41,4544.3,10.7
"E01026809",2011,"Norwich 004G","Total",573,102,231,73,32,15,5,15,10,35,55,4387.3,9.1
"E01026810",2011,"Norwich 012A","Total",571,78,249,66,22,16,19,8,25,50,38,7198.5,14.9
"E01026811",2011,"Norwich 012B","Total",669,83,266,84,36,12,19,13,15,99,42,5851.8,11.1
"E01026812",2011,"Norwich 012C","Total",741,83,335,113,36,22,18,5,26,69,34,7578.7,11.9
"E01026813",2011,"Norwich 012D","Total",595,65,262,65,33,14,20,8,30,67,31,8026.9,16.2
"E01026814",2011,"Norwich 012E","Total",633,122,267,60,20,26,19,4,23,41,51,7438.3,13.7
"E01026815",2011,"Norwich 012F","Total",711,104,282,54,30,24,28,5,33,107,44,7961.3,14.2
"E01026816",2011,"Norwich 013A","Total",987,403,161,118,57,61,20,11,27,69,60,8737,10.2
"E01026817",2011,"Norwich 013B","Total",588,192,120,83,30,22,13,9,15,53,51,5505.9,11.4
"E01026818",2011,"Norwich 013C","Total",627,163,150,132,32,25,12,5,19,36,53,6773.6,12.6
"E01026819",2011,"Norwich 013D","Total",609,206,120,107,37,27,9,3,13,29,58,4687.1,9
"E01026820",2011,"Norwich 013E","Total",675,163,209,89,51,28,14,9,19,46,47,6276.1,10.8
"E01026821",2011,"Norwich 013F","Total",621,103,215,116,47,22,12,4,16,37,49,5950.3,11.1
"E01026822",2011,"Norwich 007A","Total",1008,429,201,76,38,49,19,14,40,85,57,12039,13.9
"E01026823",2011,"Norwich 007B","Total",1134,475,234,85,43,34,19,5,35,120,84,10121,10.9
"E01026824",2011,"Norwich 007C","Total",676,250,203,41,33,21,15,3,18,45,47,5987.6,10.3
"E01026825",2011,"Norwich 007D","Total",713,204,224,45,48,17,19,13,20,69,54,6729.1,11.4
"E01026826",2011,"Norwich 007E","Total",647,281,136,47,27,24,21,5,13,46,47,4748.5,8.6
"E01026827",2011,"Norwich 007F","Total",558,201,187,35,21,14,14,2,6,40,38,3337.4,7
"E01026828",2011,"Norwich 002A","Total",702,178,290,40,33,27,10,6,16,54,48,5646.1,9.4
"E01026829",2011,"Norwich 002B","Total",983,258,346,101,34,42,24,12,33,53,80,10693.2,12.6
"E01026830",2011,"Norwich 002C","Total",570,171,183,60,32,24,12,3,10,35,40,4210,8.5
"E01026831",2011,"Norwich 002D","Total",792,284,193,73,39,42,14,7,24,52,64,7232.2,10.7
"E01026832",2011,"Norwich 002E","Total",553,178,193,48,17,23,1,4,12,27,50,4455.4,9.4
"E01026833",2011,"Norwich 002F","Total",520,165,176,48,21,18,8,4,12,27,41,4301.6,9.5
"E01026834",2011,"Norwich 002G","Total",623,168,238,51,29,22,13,2,17,26,57,5137.1,9.5
