"lsoa11cd","date","lsoa11nm","Method of Travel to Work: All categories: Method of travel to work; measures: Value","Method of Travel to Work: Work mainly at or from home; measures: Value","Method of Travel to Work: Underground, metro, light rail, tram; measures: Value","Method of Travel to Work: Train; measures: Value","Method of Travel to Work: Bus, minibus or coach; measures: Value","Method of Travel to Work: Taxi; measures: Value","Method of Travel to Work: Motorcycle, scooter or moped; measures: Value","Method of Travel to Work: Driving a car or van; measures: Value","Method of Travel to Work: Passenger in a car or van; measures: Value","Method of Travel to Work: Bicycle; measures: Value","Method of Travel to Work: On foot; measures: Value","Method of Travel to Work: Other method of travel to work; measures: Value","Method of Travel to Work: Not in employment; measures: Value"
"E01026791",2011,"Norwich 005A",1118,39,0,2,72,4,10,341,40,43,53,7,507
"E01026792",2011,"Norwich 005B",1052,28,0,3,77,4,14,383,41,46,63,3,390
"E01026793",2011,"Norwich 005C",1203,31,1,2,79,4,15,331,59,51,64,1,565
"E01026794",2011,"Norwich 005D",1565,82,2,4,99,4,10,650,76,53,97,4,484
"E01026796",2011,"Norwich 005F",1208,31,1,0,88,7,11,283,47,55,78,3,604
"E01026797",2011,"Norwich 001A",1846,94,1,14,103,7,17,761,66,106,228,9,440
"E01026798",2011,"Norwich 001B",1120,34,1,2,50,4,13,344,43,48,142,4,435
"E01026799",2011,"Norwich 001C",1084,29,0,2,55,4,9,397,46,45,132,4,361
"E01026800",2011,"Norwich 001D",1464,47,2,5,74,4,13,429,63,90,144,8,585
"E01026801",2011,"Norwich 001E",1189,58,1,7,49,2,8,438,55,69,123,3,376
"E01026802",2011,"Norwich 001F",1247,46,1,5,74,8,13,421,39,59,123,5,453
"E01026803",2011,"Norwich 004A",930,25,1,9,59,3,2,286,33,38,75,3,396
"E01026804",2011,"Norwich 004B",984,43,2,7,44,3,15,345,41,41,67,3,373
"E01026805",2011,"Norwich 004C",907,37,0,1,45,4,12,340,42,38,72,3,313
"E01026806",2011,"Norwich 004D",1246,63,1,12,30,4,10,338,36,40,98,3,611
"E01026807",2011,"Norwich 004E",893,37,1,14,42,4,10,307,43,42,120,0,273
"E01026808",2011,"Norwich 004F",887,35,0,7,49,5,9,238,46,27,83,1,387
"E01026809",2011,"Norwich 004G",1054,35,0,3,60,5,6,286,43,35,97,3,481
"E01026810",2011,"Norwich 012A",963,50,1,12,50,2,5,307,23,53,66,2,392
"E01026811",2011,"Norwich 012B",1051,99,1,5,34,3,7,340,25,74,77,4,382
"E01026812",2011,"Norwich 012C",1044,69,0,8,62,1,6,403,37,75,75,5,303
"E01026813",2011,"Norwich 012D",990,67,2,11,49,1,4,301,37,65,57,1,395
"E01026814",2011,"Norwich 012E",1051,41,0,7,75,1,5,287,32,79,102,4,418
"E01026815",2011,"Norwich 012F",1084,107,1,12,46,1,3,328,17,90,104,2,373
"E01026816",2011,"Norwich 013A",1324,69,2,6,54,1,8,394,35,79,336,3,337
"E01026817",2011,"Norwich 013B",1009,53,1,6,26,8,8,268,39,46,128,5,421
"E01026818",2011,"Norwich 013C",1021,36,0,6,31,3,4,321,44,41,140,1,394
"E01026819",2011,"Norwich 013D",1022,29,0,8,43,5,14,263,34,44,165,4,413
"E01026820",2011,"Norwich 013E",1134,46,0,1,37,4,19,347,40,55,120,6,459
"E01026821",2011,"Norwich 013F",1020,37,0,3,46,3,14,333,51,47,86,1,399
"E01026822",2011,"Norwich 007A",1674,85,3,22,81,5,10,281,21,85,405,10,666
"E01026823",2011,"Norwich 007B",1687,120,2,24,90,8,9,327,24,77,439,14,553
"E01026824",2011,"Norwich 007C",1183,45,3,5,59,4,4,224,29,77,223,3,507
"E01026825",2011,"Norwich 007D",1065,69,0,12,46,8,3,286,28,70,187,4,352
"E01026826",2011,"Norwich 007E",1100,46,1,6,61,3,1,193,31,48,254,3,453
"E01026827",2011,"Norwich 007F",1110,40,4,5,41,6,6,219,34,42,156,5,552
"E01026828",2011,"Norwich 002A",1182,54,0,2,39,7,14,339,40,53,149,5,480
"E01026829",2011,"Norwich 002B",1522,53,0,10,66,5,7,462,56,78,234,12,539
"E01026830",2011,"Norwich 002C",975,35,0,4,46,4,7,251,34,56,133,0,405
"E01026831",2011,"Norwich 002D",1044,52,0,11,46,4,8,311,28,82,245,5,252
"E01026832",2011,"Norwich 002E",936,27,0,2,43,8,6,245,33,52,134,3,383
"E01026833",2011,"Norwich 002F",990,27,0,0,42,3,6,255,24,58,100,5,470
"E01026834",2011,"Norwich 002G",1049,26,0,5,46,7,12,290,49,56,127,5,426
"E01026835",2011,"Norwich 009A",1217,97,2,7,58,1,5,280,22,115,225,7,398
"E01026836",2011,"Norwich 009B",1244,85,4,18,56,3,3,302,24,127,212,1,409
"E01026837",2011,"Norwich 009C",1203,97,5,14,51,1,6,294,26,111,239,4,355
"E01026838",2011,"Norwich 009D",1184,86,2,4,52,2,5,315,17,110,190,7,394
"E01026839",2011,"Norwich 009E",1374,69,1,10,74,0,4,280,23,122,279,2,510
"E01026840",2011,"Norwich 009F",1386,89,0,17,62,5,8,376,35,139,279,6,370
"E01026841",2011,"Norwich 003A",1211,48,2,6,47,0,11,379,46,78,306,4,284
"E01026842",2011,"Norwich 003B",1353,80,2,13,51,2,15,499,62,79,231,6,313
"E01026843",2011,"Norwich 003C",1426,84,1,11,54,2,14,457,64,68,202,4,465
"E01026844",2011,"Norwich 003D",1289,50,0,12,54,6,11,370,47,68,200,3,468
"E01026845",2011,"Norwich 003E",1297,66,0,9,45,2,12,466,46,85,317,4,245
"E01026846",2011,"Norwich 003F",1333,73,0,13,63,2,7,370,35,87,329,3,351
"E01026848",2011,"Norwich 015A",1366,39,1,10,53,5,8,338,46,35,239,4,588
"E01026849",2011,"Norwich 015B",1463,95,0,27,92,0,3,473,37,57,282,7,390
"E01026850",2011,"Norwich 015C",1470,96,1,30,76,4,8,440,49,63,331,3,369
"E01026852",2011,"Norwich 011A",924,74,3,9,34,2,4,263,17,84,184,3,247
"E01026853",2011,"Norwich 011B",1342,67,0,9,81,3,7,282,32,60,311,1,489
"E01026855",2011,"Norwich 011D",1286,65,2,12,82,2,9,298,23,67,328,2,396
"E01026856",2011,"Norwich 011E",1566,85,2,24,95,1,4,332,25,110,336,0,552
"E01026857",2011,"Norwich 011F",1122,92,2,17,46,1,2,243,24,82,177,8,428
"E01026858",2011,"Norwich 010A",1069,24,1,3,53,3,4,209,29,58,106,6,573
"E01026859",2011,"Norwich 010B",1104,56,0,3,50,1,10,297,34,71,108,4,470
"E01026860",2011,"Norwich 010C",4026,145,2,5,206,8,5,232,49,77,142,5,3150
"E01026861",2011,"Norwich 010D",1143,22,0,4,64,8,10,254,49,42,99,3,588
"E01026862",2011,"Norwich 010E",952,38,1,4,36,4,11,251,31,81,117,0,378
"E01026863",2011,"Norwich 006A",1471,70,3,5,70,5,11,424,51,105,158,6,563
"E01026864",2011,"Norwich 006B",1121,71,0,5,40,3,15,456,58,63,60,10,340
"E01026865",2011,"Norwich 006C",1395,43,1,4,85,0,9,407,70,74,115,2,585
"E01026866",2011,"Norwich 006D",1265,49,0,6,64,2,13,361,44,114,183,6,423
"E01026867",2011,"Norwich 006E",1077,35,0,1,56,4,11,298,46,50,71,3,502
"E01026868",2011,"Norwich 006F",1140,44,1,2,52,6,15,278,58,62,83,6,533
"E01026869",2011,"Norwich 006G",1006,26,0,3,68,3,3,268,34,42,63,3,493
"E01033434",2011,"Norwich 011G",926,48,2,11,65,1,4,272,22,38,241,8,214
"E01033435",2011,"Norwich 005G",1394,55,1,7,78,2,5,547,46,84,62,4,503
"E01033436",2011,"Norwich 005H",999,22,0,2,59,2,8,277,50,47,63,0,469
"E01033437",2011,"Norwich 011H",1060,50,0,5,56,4,2,160,16,50,208,1,508
"E01033438",2011,"Norwich 014A",1006,92,0,16,33,1,1,177,24,24,246,7,385
"E01033439",2011,"Norwich 014B",1209,55,0,23,75,0,12,312,31,65,347,10,279
"E01033440",2011,"Norwich 014C",950,48,0,15,60,0,6,212,29,32,264,1,283
"E01033441",2011,"Norwich 014D",1106,75,2,27,55,2,5,343,25,30,273,9,260
