"lsoa11cd","date","lsoa11nm","Rural Urban","Year of Arrival: All categories: Year of arrival in the UK; measures: Value","Year of Arrival: Born in the UK; measures: Value","Year of Arrival: Arrived before 1941; measures: Value","Year of Arrival: Arrived 1941-1950; measures: Value","Year of Arrival: Arrived 1951-1960; measures: Value","Year of Arrival: Arrived 1961-1970; measures: Value","Year of Arrival: Arrived 1971-1980; measures: Value","Year of Arrival: Arrived 1981-1990; measures: Value","Year of Arrival: Arrived 1991-2000; measures: Value","Year of Arrival: Arrived 2001-2003; measures: Value","Year of Arrival: Arrived 2004-2006; measures: Value","Year of Arrival: Arrived 2007-2009; measures: Value","Year of Arrival: Arrived 2010-2011; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,1280,0,3,3,9,6,7,14,33,40,58,22
"E01026792",2011,"Norwich 005B","Total",1445,1289,1,3,4,8,7,10,13,39,42,24,5
"E01026793",2011,"Norwich 005C","Total",1817,1611,0,2,3,3,9,13,20,35,48,45,28
"E01026794",2011,"Norwich 005D","Total",2065,1824,2,0,2,10,8,5,25,43,40,59,47
"E01026796",2011,"Norwich 005F","Total",1643,1426,1,3,4,2,5,6,25,22,18,75,56
"E01026797",2011,"Norwich 001A","Total",2402,2026,0,1,6,14,8,9,33,37,112,113,43
"E01026798",2011,"Norwich 001B","Total",1533,1369,0,0,2,3,6,6,15,33,49,42,8
"E01026799",2011,"Norwich 001C","Total",1459,1313,0,1,2,10,4,10,19,10,42,43,5
"E01026800",2011,"Norwich 001D","Total",1991,1706,1,5,5,7,8,7,29,38,89,65,31
"E01026801",2011,"Norwich 001E","Total",1606,1479,1,3,9,14,8,6,14,11,33,23,5
"E01026802",2011,"Norwich 001F","Total",1605,1440,0,1,4,13,11,9,18,17,34,37,21
"E01026803",2011,"Norwich 004A","Total",1438,1366,0,2,3,3,6,6,8,4,16,24,0
"E01026804",2011,"Norwich 004B","Total",1429,1353,1,2,4,8,6,5,10,13,6,20,1
"E01026805",2011,"Norwich 004C","Total",1421,1362,0,2,3,6,5,3,9,9,8,12,2
"E01026806",2011,"Norwich 004D","Total",1503,1404,0,3,9,9,8,11,16,11,15,14,3
"E01026807",2011,"Norwich 004E","Total",1252,1149,1,4,3,10,10,11,15,8,22,16,3
"E01026808",2011,"Norwich 004F","Total",1320,1215,1,1,2,5,3,3,12,14,26,31,7
"E01026809",2011,"Norwich 004G","Total",1492,1428,1,2,4,4,3,6,6,8,21,4,5
"E01026810",2011,"Norwich 012A","Total",1389,1247,2,8,4,6,23,10,30,12,18,16,13
"E01026811",2011,"Norwich 012B","Total",1544,1395,5,9,11,19,18,20,22,4,15,14,12
"E01026812",2011,"Norwich 012C","Total",1425,1246,1,4,9,18,19,19,37,16,40,11,5
"E01026813",2011,"Norwich 012D","Total",1426,1270,3,7,6,13,21,23,26,19,17,9,12
"E01026814",2011,"Norwich 012E","Total",1522,1367,1,6,4,11,5,6,20,14,24,39,25
"E01026815",2011,"Norwich 012F","Total",1475,1270,4,4,8,19,21,15,33,12,31,40,18
"E01026816",2011,"Norwich 013A","Total",1741,1503,2,1,7,11,19,17,33,24,48,49,27
"E01026817",2011,"Norwich 013B","Total",1415,1293,0,5,7,11,8,6,11,16,19,30,9
"E01026818",2011,"Norwich 013C","Total",1462,1337,0,3,4,6,5,5,27,16,38,15,6
"E01026819",2011,"Norwich 013D","Total",1439,1320,0,0,5,12,9,7,14,15,26,19,12
"E01026820",2011,"Norwich 013E","Total",1727,1555,0,2,7,10,6,3,19,30,56,28,11
"E01026821",2011,"Norwich 013F","Total",1542,1442,0,0,2,4,7,5,12,15,27,26,2
"E01026822",2011,"Norwich 007A","Total",2031,1657,9,8,11,14,19,15,51,40,66,91,50
"E01026823",2011,"Norwich 007B","Total",1906,1570,1,4,11,14,11,25,39,32,41,80,78
"E01026824",2011,"Norwich 007C","Total",1471,1225,2,4,7,10,8,17,27,16,60,63,32
"E01026825",2011,"Norwich 007D","Total",1276,1132,0,3,4,7,1,11,14,21,29,31,23
"E01026826",2011,"Norwich 007E","Total",1456,1247,5,3,8,10,10,13,22,26,38,43,31
"E01026827",2011,"Norwich 007F","Total",1501,1320,1,3,4,4,9,9,25,24,32,53,17
"E01026828",2011,"Norwich 002A","Total",1744,1591,0,2,1,2,7,6,15,32,38,41,9
"E01026829",2011,"Norwich 002B","Total",2093,1786,0,0,3,6,8,23,27,29,112,80,19
"E01026830",2011,"Norwich 002C","Total",1276,1101,0,1,6,6,4,1,14,24,45,49,25
"E01026831",2011,"Norwich 002D","Total",1242,1091,1,1,2,6,5,7,19,19,31,39,21
"E01026832",2011,"Norwich 002E","Total",1415,1312,1,0,1,4,3,7,10,8,23,39,7
"E01026833",2011,"Norwich 002F","Total",1382,1239,0,2,2,7,2,8,19,19,42,35,7
"E01026834",2011,"Norwich 002G","Total",1503,1365,0,1,4,2,5,6,14,10,29,51,16
"E01026835",2011,"Norwich 009A","Total",1502,1323,1,4,11,17,9,14,26,17,28,40,12
"E01026836",2011,"Norwich 009B","Total",1566,1377,2,2,8,16,12,14,30,15,25,42,23
"E01026837",2011,"Norwich 009C","Total",1471,1281,1,5,11,10,13,16,22,9,34,50,19
"E01026838",2011,"Norwich 009D","Total",1551,1338,1,3,8,17,16,18,34,16,22,46,32
"E01026839",2011,"Norwich 009E","Total",1596,1407,0,3,4,9,13,16,30,13,26,60,15
"E01026840",2011,"Norwich 009F","Total",1611,1428,1,2,9,9,19,15,23,11,24,44,26
"E01026841",2011,"Norwich 003A","Total",1453,1284,0,1,2,4,9,16,12,21,55,38,11
"E01026842",2011,"Norwich 003B","Total",1648,1455,0,1,5,10,11,10,25,13,42,56,20
"E01026843",2011,"Norwich 003C","Total",1905,1722,0,3,1,9,12,9,26,24,40,53,6
"E01026844",2011,"Norwich 003D","Total",1741,1546,1,1,1,6,8,15,24,34,40,41,24
"E01026845",2011,"Norwich 003E","Total",1561,1365,0,0,4,0,14,17,20,16,43,56,26
"E01026846",2011,"Norwich 003F","Total",1626,1360,0,0,6,9,6,14,35,22,57,84,33
"E01026848",2011,"Norwich 015A","Total",1856,1624,0,8,6,14,6,13,32,24,66,41,22
"E01026849",2011,"Norwich 015B","Total",1738,1505,0,6,9,9,13,13,19,19,45,58,42
"E01026850",2011,"Norwich 015C","Total",1827,1605,1,0,9,13,16,17,22,12,47,50,35
"E01026852",2011,"Norwich 011A","Total",1295,1171,4,2,5,15,8,11,20,5,24,20,10
"E01026853",2011,"Norwich 011B","Total",1751,1481,1,7,7,16,10,14,37,26,53,49,50
"E01026855",2011,"Norwich 011D","Total",1568,1361,2,5,7,11,12,19,26,19,30,58,18
"E01026856",2011,"Norwich 011E","Total",1821,1595,1,2,8,9,11,15,38,13,32,58,39
"E01026857",2011,"Norwich 011F","Total",1515,1365,5,7,7,17,11,13,27,8,18,29,8
"E01026858",2011,"Norwich 010A","Total",1512,1279,1,1,5,8,8,12,19,25,50,63,41
"E01026859",2011,"Norwich 010B","Total",1659,1517,0,2,11,9,1,10,18,10,21,44,16
"E01026860",2011,"Norwich 010C","Total",4313,2831,0,1,3,4,9,7,85,48,75,308,942
"E01026861",2011,"Norwich 010D","Total",1493,1300,0,1,3,5,4,10,19,17,23,74,37
"E01026862",2011,"Norwich 010E","Total",1302,1179,2,2,5,11,5,8,26,19,12,18,15
"E01026863",2011,"Norwich 006A","Total",1814,1559,0,2,8,11,8,12,23,21,49,74,47
"E01026864",2011,"Norwich 006B","Total",1547,1402,1,1,1,10,2,4,19,48,25,22,12
"E01026865",2011,"Norwich 006C","Total",1949,1695,1,1,4,7,10,10,32,35,65,60,29
"E01026866",2011,"Norwich 006D","Total",1574,1397,0,1,3,7,8,10,24,18,33,56,17
"E01026867",2011,"Norwich 006E","Total",1592,1396,0,0,2,11,8,12,19,21,55,45,23
"E01026868",2011,"Norwich 006F","Total",1628,1450,0,0,4,8,2,10,9,29,28,46,42
"E01026869",2011,"Norwich 006G","Total",1400,1289,0,2,3,4,3,6,14,30,25,22,2
"E01033434",2011,"Norwich 011G","Total",1076,849,0,3,11,6,10,22,37,20,27,44,47
"E01033435",2011,"Norwich 005G","Total",1845,1359,0,4,5,4,10,18,77,76,63,140,89
"E01033436",2011,"Norwich 005H","Total",1393,1203,0,2,0,3,4,8,25,22,30,59,37
"E01033437",2011,"Norwich 011H","Total",1378,1152,5,4,12,8,14,10,27,20,48,44,34
"E01033438",2011,"Norwich 014A","Total",1397,1165,5,7,7,9,8,16,25,21,39,52,43
"E01033439",2011,"Norwich 014B","Total",1440,1196,0,5,3,7,6,20,24,21,64,66,28
"E01033440",2011,"Norwich 014C","Total",1070,793,0,1,3,8,10,14,21,21,51,94,54
"E01033441",2011,"Norwich 014D","Total",1229,915,1,2,2,7,8,14,20,35,47,97,81
