"lsoa11cd","date","lsoa11nm","Rural Urban","Age of Arrival in UK: All categories: Age of arrival in the UK; measures: Value","Age of Arrival in UK: Born in the UK; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 0 to 4; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 5 to 7; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 8 to 9; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 10 to 14; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 15; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 16 to 17; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 18 to 19; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 20 to 24; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 25 to 29; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 30 to 44; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 45 to 59; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 60 to 64; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 65 to 74; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 75 to 84; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 85 to 89; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 90 and over; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,1280,25,13,6,12,6,2,12,30,26,55,8,0,0,0,0,0
"E01026792",2011,"Norwich 005B","Total",1445,1289,23,8,2,3,2,4,12,20,39,39,4,0,0,0,0,0
"E01026793",2011,"Norwich 005C","Total",1817,1611,29,10,6,10,2,8,18,34,36,42,8,0,3,0,0,0
"E01026794",2011,"Norwich 005D","Total",2065,1824,49,13,9,11,1,4,10,28,51,62,3,0,0,0,0,0
"E01026796",2011,"Norwich 005F","Total",1643,1426,20,7,11,12,4,9,22,57,31,37,7,0,0,0,0,0
"E01026797",2011,"Norwich 001A","Total",2402,2026,36,12,4,21,3,7,25,93,86,72,17,0,0,0,0,0
"E01026798",2011,"Norwich 001B","Total",1533,1369,18,10,4,4,1,7,9,41,29,34,5,2,0,0,0,0
"E01026799",2011,"Norwich 001C","Total",1459,1313,18,9,1,11,0,2,5,45,34,20,1,0,0,0,0,0
"E01026800",2011,"Norwich 001D","Total",1991,1706,25,4,7,13,5,17,26,77,48,57,5,0,1,0,0,0
"E01026801",2011,"Norwich 001E","Total",1606,1479,16,4,4,6,2,5,11,34,20,17,8,0,0,0,0,0
"E01026802",2011,"Norwich 001F","Total",1605,1440,27,4,0,8,4,9,12,31,37,25,6,1,1,0,0,0
"E01026803",2011,"Norwich 004A","Total",1438,1366,16,4,1,5,2,3,6,14,7,10,3,0,1,0,0,0
"E01026804",2011,"Norwich 004B","Total",1429,1353,18,1,2,5,2,1,4,11,17,13,2,0,0,0,0,0
"E01026805",2011,"Norwich 004C","Total",1421,1362,11,1,4,2,2,6,6,10,4,11,2,0,0,0,0,0
"E01026806",2011,"Norwich 004D","Total",1503,1404,16,10,7,6,2,5,6,15,13,16,3,0,0,0,0,0
"E01026807",2011,"Norwich 004E","Total",1252,1149,23,2,5,5,0,5,7,19,19,18,0,0,0,0,0,0
"E01026808",2011,"Norwich 004F","Total",1320,1215,17,10,3,11,2,2,4,14,15,21,5,1,0,0,0,0
"E01026809",2011,"Norwich 004G","Total",1492,1428,12,2,0,3,2,1,2,15,18,8,1,0,0,0,0,0
"E01026810",2011,"Norwich 012A","Total",1389,1247,17,4,1,4,8,9,6,30,25,31,6,0,0,0,1,0
"E01026811",2011,"Norwich 012B","Total",1544,1395,24,5,5,7,1,9,8,21,24,35,8,0,1,0,0,1
"E01026812",2011,"Norwich 012C","Total",1425,1246,29,11,4,9,4,5,10,22,23,57,3,0,2,0,0,0
"E01026813",2011,"Norwich 012D","Total",1426,1270,25,7,6,7,2,4,7,20,39,36,3,0,0,0,0,0
"E01026814",2011,"Norwich 012E","Total",1522,1367,22,6,4,7,1,13,9,42,26,21,4,0,0,0,0,0
"E01026815",2011,"Norwich 012F","Total",1475,1270,38,16,6,7,3,8,15,37,32,37,4,0,2,0,0,0
"E01026816",2011,"Norwich 013A","Total",1741,1503,34,9,11,15,5,3,10,47,39,57,8,0,0,0,0,0
"E01026817",2011,"Norwich 013B","Total",1415,1293,23,8,4,9,4,4,6,26,15,19,2,1,1,0,0,0
"E01026818",2011,"Norwich 013C","Total",1462,1337,36,4,2,4,1,4,4,26,24,19,1,0,0,0,0,0
"E01026819",2011,"Norwich 013D","Total",1439,1320,29,7,6,5,0,3,6,20,17,24,2,0,0,0,0,0
"E01026820",2011,"Norwich 013E","Total",1727,1555,32,12,5,10,1,6,7,22,32,38,5,1,1,0,0,0
"E01026821",2011,"Norwich 013F","Total",1542,1442,24,3,1,6,0,0,7,14,20,24,1,0,0,0,0,0
"E01026822",2011,"Norwich 007A","Total",2031,1657,45,11,5,16,4,37,27,82,62,68,15,0,2,0,0,0
"E01026823",2011,"Norwich 007B","Total",1906,1570,41,15,11,15,3,20,30,53,59,79,6,1,3,0,0,0
