"lsoa11cd","date","lsoa11nm","Rural Urban","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,1280,41,42,67,45
"E01026792",2011,"Norwich 005B","Total",1445,1289,13,33,58,52
"E01026793",2011,"Norwich 005C","Total",1817,1611,54,27,69,56
"E01026794",2011,"Norwich 005D","Total",2065,1824,71,45,68,57
"E01026796",2011,"Norwich 005F","Total",1643,1426,97,41,31,48
"E01026797",2011,"Norwich 001A","Total",2402,2026,69,134,98,75
"E01026798",2011,"Norwich 001B","Total",1533,1369,20,44,64,36
"E01026799",2011,"Norwich 001C","Total",1459,1313,17,50,33,46
"E01026800",2011,"Norwich 001D","Total",1991,1706,46,88,87,64
"E01026801",2011,"Norwich 001E","Total",1606,1479,17,27,25,58
"E01026802",2011,"Norwich 001F","Total",1605,1440,24,46,38,57
"E01026803",2011,"Norwich 004A","Total",1438,1366,8,18,16,30
"E01026804",2011,"Norwich 004B","Total",1429,1353,6,15,19,36
"E01026805",2011,"Norwich 004C","Total",1421,1362,9,8,12,30
"E01026806",2011,"Norwich 004D","Total",1503,1404,7,13,22,57
"E01026807",2011,"Norwich 004E","Total",1252,1149,5,22,21,55
"E01026808",2011,"Norwich 004F","Total",1320,1215,15,30,32,28
"E01026809",2011,"Norwich 004G","Total",1492,1428,6,10,20,28
"E01026810",2011,"Norwich 012A","Total",1389,1247,19,16,23,84
"E01026811",2011,"Norwich 012B","Total",1544,1395,15,14,15,105
"E01026812",2011,"Norwich 012C","Total",1425,1246,8,24,38,109
"E01026813",2011,"Norwich 012D","Total",1426,1270,16,9,32,99
"E01026814",2011,"Norwich 012E","Total",1522,1367,33,36,32,54
"E01026815",2011,"Norwich 012F","Total",1475,1270,36,27,37,105
"E01026816",2011,"Norwich 013A","Total",1741,1503,47,47,50,94
"E01026817",2011,"Norwich 013B","Total",1415,1293,17,31,25,49
"E01026818",2011,"Norwich 013C","Total",1462,1337,8,22,42,53
"E01026819",2011,"Norwich 013D","Total",1439,1320,18,22,32,47
"E01026820",2011,"Norwich 013E","Total",1727,1555,17,29,78,48
